Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:05AM_2020-11-10,9.59,9.74,9.29,9.29,9130,,,,,,,,
11:10AM_2020-11-10,9.41,9.49,8.7,8.93,10248,,,,,,,,
11:15AM_2020-11-10,8.91,9.04,8.78,8.99,3816,,,,,,,,
11:20AM_2020-11-10,8.9,8.9,8.8,8.8,1000,,,,,,,,
11:30AM_2020-11-10,8.32,8.4,8.32,8.4,600,,,,,,,,
11:35AM_2020-11-10,8.27,8.35,8.27,8.31,850,8.79,,,,,,,
11:40AM_2020-11-10,8.37,8.7,8.34,8.55,3300,8.66,,,,,,,
11:45AM_2020-11-10,8.59,8.59,8.44,8.44,600,8.58,,,,,,,
11:50AM_2020-11-10,8.42,8.56,8.42,8.56,1416,8.51,8.7,,,,,,
11:55AM_2020-11-10,8.45,8.47,8.45,8.47,4000,8.46,8.61,8.67,,,,,
12:00PM_2020-11-10,8.51,8.51,8.31,8.31,600,8.44,8.54,8.58,,,,,
12:05PM_2020-11-10,8.33,8.33,7.61,7.66,11354,8.33,8.39,8.45,,,,,
12:10PM_2020-11-10,7.74,7.98,7.74,7.98,2480,8.24,8.3,8.35,,,,,
12:15PM_2020-11-10,8.33,8.44,8.07,8.35,9496,8.22,8.29,8.3,,,,,
12:20PM_2020-11-10,8.46,8.98,8.4,8.82,12104,8.27,8.35,8.35,,43.53,,,
12:25PM_2020-11-10,8.69,8.94,8.5,8.58,14750,8.28,8.35,8.37,,40.63,,,
12:30PM_2020-11-10,8.56,8.73,8.43,8.465,11688,8.31,8.36,8.36,,39.29,,,
12:35PM_2020-11-10,8.38,8.46,8.36,8.39,7310,8.43,8.34,8.36,,38.39,,,
12:40PM_2020-11-10,8.45,8.58,8.39,8.58,10704,8.53,8.35,8.36,,41.99,,,
12:45PM_2020-11-10,8.52,8.87,8.52,8.804,7126,8.61,8.4,8.39,8.53,46.0,,,
12:50PM_2020-11-10,8.78,8.82,8.58,8.59,22968,8.57,8.51,8.42,8.5,42.95,,,
12:55PM_2020-11-10,8.63,8.82,8.63,8.79,10852,8.6,8.6,8.53,8.49,46.52,,,
01:00PM_2020-11-10,8.83,8.83,8.83,8.83,200,8.66,8.65,8.62,8.48,47.23,,,
01:10PM_2020-11-10,8.49,8.49,8.49,8.49,200,8.68,8.61,8.63,8.47,42.1,,,
06:30AM_2020-11-11,8.29,8.635,8.29,8.61,2064,8.69,8.62,8.61,8.48,44.4,,,
06:35AM_2020-11-11,8.89,9.17,8.775,9.17,5580,8.75,8.69,8.67,8.52,53.63,0.11,,
06:40AM_2020-11-11,9.2,10.25,9.2,10.25,11434,9.02,8.9,8.85,8.61,65.53,0.23,,
06:45AM_2020-11-11,10.52,11.91,10.37,11.63,26022,9.5,9.24,9.17,8.77,74.52,0.43,,
06:50AM_2020-11-11,11.83,11.99,10.19,10.19,29708,9.72,9.39,9.34,8.85,57.63,0.46,,
06:55AM_2020-11-11,10.03,10.03,9.91,9.97,1518,9.97,9.55,9.45,8.92,55.55,0.47,,
07:00AM_2020-11-11,10.055,10.1,9.145,9.475,18458,10.11,9.62,9.54,8.98,51.1,0.43,,
07:05AM_2020-11-11,9.58,9.75,9.33,9.75,7094,10.21,9.73,9.64,9.09,53.34,0.41,,
07:10AM_2020-11-11,9.87,9.87,9.64,9.7,3438,10.12,9.86,9.72,9.17,52.87,0.39,,
07:15AM_2020-11-11,9.84,10.46,9.84,10.275,8432,9.89,10.05,9.9,9.27,57.54,0.42,0.37,0.045175399829926244
