Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:20AM_2020-11-10,1.095,1.1,1.09,1.095,17062,,,,,,,,
11:25AM_2020-11-10,1.095,1.1,1.09,1.095,14822,,,,,,,,
11:30AM_2020-11-10,1.095,1.1,1.095,1.095,32624,,,,,,,,
11:35AM_2020-11-10,1.095,1.1,1.095,1.095,14220,,,,,,,,
11:40AM_2020-11-10,1.095,1.1,1.095,1.095,19480,,,,,,,,
11:45AM_2020-11-10,1.1,1.1,1.095,1.095,34250,1.1,,,,,,,
11:50AM_2020-11-10,1.095,1.1,1.095,1.095,75958,1.1,,,,,,,
11:55AM_2020-11-10,1.095,1.1,1.095,1.1,22700,1.1,,,,,,,
12:00PM_2020-11-10,1.095,1.11,1.095,1.105,127722,1.1,1.1,,,,,,
12:05PM_2020-11-10,1.105,1.105,1.1,1.1,9186,1.1,1.1,1.1,,,,,
12:10PM_2020-11-10,1.105,1.105,1.1,1.105,16000,1.1,1.1,1.1,,,,,
12:15PM_2020-11-10,1.105,1.105,1.1,1.105,8430,1.1,1.1,1.1,,,,,
12:20PM_2020-11-10,1.11,1.115,1.1,1.11,117506,1.1,1.1,1.1,,,,,
12:25PM_2020-11-10,1.11,1.115,1.11,1.115,32892,1.11,1.1,1.1,,,,,
12:30PM_2020-11-10,1.115,1.12,1.11,1.12,22320,1.11,1.11,1.1,,85.71,,,
12:35PM_2020-11-10,1.12,1.12,1.115,1.115,2100,1.11,1.11,1.11,,74.29,,,
12:40PM_2020-11-10,1.12,1.12,1.1,1.1,33302,1.11,1.11,1.11,,51.92,,,
12:45PM_2020-11-10,1.105,1.11,1.1,1.105,28978,1.11,1.11,1.11,,56.61,,,
12:50PM_2020-11-10,1.105,1.11,1.1,1.105,124510,1.11,1.11,1.11,,56.61,,,
12:55PM_2020-11-10,1.105,1.105,1.08,1.09,149385,1.11,1.11,1.11,1.1,42.27,,,
06:30AM_2020-11-11,1.12,1.12,1.11,1.12,17898,1.11,1.11,1.11,1.1,62.65,,,
06:35AM_2020-11-11,1.11,1.12,1.11,1.12,2320,1.11,1.11,1.11,1.1,62.65,,,
06:40AM_2020-11-11,1.115,1.115,1.115,1.115,7744,1.11,1.11,1.11,1.11,58.65,,,
06:45AM_2020-11-11,1.11,1.12,1.11,1.12,8516,1.11,1.11,1.11,1.11,61.31,,,
06:50AM_2020-11-11,1.12,1.12,1.11,1.115,43072,1.11,1.11,1.11,1.11,57.33,,,
06:55AM_2020-11-11,1.12,1.12,1.11,1.115,23736,1.12,1.11,1.11,1.11,57.33,0.01,,
