Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
10:40AM_2020-11-11,242.455,242.53,242.455,242.53,629,,,,,,,,
10:45AM_2020-11-11,242.77,242.77,242.635,242.66,616,,,,,,,,
10:50AM_2020-11-11,243.0,243.0,242.945,242.99,828,,,,,,,,
10:55AM_2020-11-11,242.71,242.76,242.71,242.73,1006,,,,,,,,
11:00AM_2020-11-11,242.7,242.7,242.7,242.7,208,,,,,,,,
11:05AM_2020-11-11,242.45,242.63,242.25,242.25,2128,242.643,,,,,,,
11:10AM_2020-11-11,242.27,242.27,242.27,242.27,263,242.6,,,,,,,
11:15AM_2020-11-11,242.205,242.205,241.95,241.95,612,242.482,,,,,,,
11:20AM_2020-11-11,242.04,242.04,241.66,241.695,986,242.266,242.419,,,,,,
11:25AM_2020-11-11,241.69,241.69,241.69,241.69,300,242.092,242.326,242.347,,,,,
11:30AM_2020-11-11,241.63,242.045,241.63,241.995,2403,241.975,242.252,242.293,,,,,
11:35AM_2020-11-11,241.75,242.05,241.68,241.68,2332,241.88,242.107,242.195,,,,,
11:45AM_2020-11-11,241.8,242.14,241.8,242.045,1970,241.843,242.031,242.1,,,,,
11:50AM_2020-11-11,241.78,241.785,241.73,241.73,1604,241.806,241.923,242.001,,,,,
11:55AM_2020-11-11,241.57,241.72,241.44,241.66,2652,241.8,241.857,241.896,,36.28,,,
12:05PM_2020-11-11,241.275,241.515,241.275,241.515,3125,241.771,241.773,241.823,,34.57,,,
12:10PM_2020-11-11,241.39,241.655,241.39,241.655,708,241.714,241.741,241.762,,37.62,,,
12:15PM_2020-11-11,241.82,241.94,241.82,241.94,1314,241.758,241.768,241.761,,43.4,,,
12:20PM_2020-11-11,241.81,241.81,241.67,241.67,456,241.695,241.766,241.758,,39.65,,,
12:25PM_2020-11-11,241.75,241.8,241.75,241.8,392,241.707,241.744,241.769,242.058,42.24,,,
12:30PM_2020-11-11,241.38,241.685,241.38,241.685,1256,241.711,241.744,241.738,242.016,40.58,,,
12:35PM_2020-11-11,241.26,241.87,241.23,241.87,3384,241.77,241.725,241.757,241.976,44.36,,,
12:40PM_2020-11-11,241.86,242.6,241.86,242.51,2079,241.913,241.812,241.804,241.952,55.02,,,
12:45PM_2020-11-11,242.59,242.7,242.44,242.7,6323,242.039,241.927,241.901,241.951,57.61,,,
12:50PM_2020-11-11,243.205,243.205,242.64,242.68,2798,242.208,242.057,242.003,241.95,57.24,,,
12:55PM_2020-11-11,242.5,242.615,242.09,242.2,15424,242.274,242.117,242.071,241.947,49.01,0.06,,
06:30AM_2020-11-12,242.075,242.075,238.84,239.305,2184,241.878,241.824,241.836,241.799,25.34,-0.17,,
06:35AM_2020-11-12,239.55,240.25,239.55,240.05,1886,241.574,241.644,241.647,241.704,34.15,-0.29,,
