Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:15AM_2020-11-11,227.67,228.31,227.56,228.23,3767,,,,,,,,
11:20AM_2020-11-11,228.26,228.64,228.17,228.45,5030,,,,,,,,
11:25AM_2020-11-11,228.305,229.69,228.245,229.44,16794,,,,,,,,
11:30AM_2020-11-11,229.83,230.44,229.115,229.485,13120,,,,,,,,
11:35AM_2020-11-11,229.565,230.44,229.3,229.3,5867,,,,,,,,
11:40AM_2020-11-11,229.57,230.31,229.24,230.31,5019,229.202,,,,,,,
11:45AM_2020-11-11,230.19,231.06,230.16,230.47,4441,229.576,,,,,,,
11:50AM_2020-11-11,230.4,230.65,230.29,230.57,3656,229.929,,,,,,,
11:55AM_2020-11-11,230.54,231.16,230.52,230.9,3429,230.172,229.684,,,,,,
12:00PM_2020-11-11,231.23,231.61,231.08,231.47,3521,230.503,230.044,229.862,,,,,
12:05PM_2020-11-11,231.4,231.83,231.29,231.29,2446,230.835,230.359,230.168,,,,,
12:10PM_2020-11-11,231.34,231.35,230.65,230.89,5747,230.932,230.521,230.412,,,,,
12:15PM_2020-11-11,231.51,231.875,231.21,231.875,6870,231.166,230.786,230.656,,,,,
12:20PM_2020-11-11,230.935,231.04,230.48,230.63,1941,231.176,230.934,230.77,,,,,
12:25PM_2020-11-11,230.61,231.05,230.35,230.37,4326,231.088,230.941,230.877,,66.02,,,
12:30PM_2020-11-11,230.73,230.81,230.04,230.09,2751,230.858,230.898,230.855,,63.17,,,
12:35PM_2020-11-11,230.0,230.3,230.0,230.02,3872,230.646,230.837,230.81,,62.44,,,
12:40PM_2020-11-11,230.07,230.54,229.93,230.54,3322,230.588,230.797,230.807,,65.6,,,
12:45PM_2020-11-11,230.43,231.7,230.41,231.59,6531,230.54,230.811,230.876,,70.93,,,
12:50PM_2020-11-11,231.65,231.65,230.865,231.08,7108,230.615,230.787,230.837,230.35,65.62,,,
12:55PM_2020-11-11,231.02,231.42,230.45,231.34,18244,230.777,230.837,230.842,230.506,66.97,,,
05:00AM_2020-11-12,232.59,232.59,232.59,232.59,100,231.193,230.917,231.012,230.713,72.58,,,
05:30AM_2020-11-12,231.6,231.6,231.6,231.6,100,231.457,231.024,230.985,230.821,63.4,,,
06:30AM_2020-11-12,231.24,232.99,229.11,232.01,11295,231.702,231.207,231.123,230.947,65.35,,,
06:35AM_2020-11-12,231.37,234.2,230.7,233.72,12440,232.057,231.61,231.458,231.168,72.06,,,
06:40AM_2020-11-12,233.79,233.95,232.61,233.92,7606,232.53,232.043,231.841,231.348,72.72,1.12,,
06:45AM_2020-11-12,234.24,234.42,232.52,233.21,9192,232.842,232.34,232.16,231.485,66.66,1.14,,
06:50AM_2020-11-12,233.19,235.19,233.04,235.19,8206,233.275,232.74,232.625,231.716,73.33,1.29,,
