Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:10AM_2020-11-10,40.31,40.31,40.25,40.25,629,,,,,,,,
11:15AM_2020-11-10,40.23,40.23,40.125,40.205,1636,,,,,,,,
11:20AM_2020-11-10,40.2,40.2,40.2,40.2,100,,,,,,,,
11:25AM_2020-11-10,40.19,40.24,40.13,40.13,717,,,,,,,,
11:30AM_2020-11-10,40.18,40.21,40.105,40.13,1019,,,,,,,,
11:35AM_2020-11-10,40.16,40.21,40.13,40.185,1302,40.18,,,,,,,
11:40AM_2020-11-10,40.21,40.265,40.16,40.16,1003,40.17,,,,,,,
11:45AM_2020-11-10,40.21,40.21,40.185,40.185,200,40.16,,,,,,,
11:50AM_2020-11-10,40.2,40.2,40.15,40.15,407,40.16,40.18,,,,,,
11:55AM_2020-11-10,40.12,40.25,40.12,40.24,2327,40.18,40.18,40.18,,,,,
12:00PM_2020-11-10,40.28,40.37,40.28,40.365,1035,40.21,40.19,40.2,,,,,
12:05PM_2020-11-10,40.38,40.44,40.38,40.43,716,40.26,40.22,40.22,,,,,
12:10PM_2020-11-10,40.53,40.59,40.53,40.59,3068,40.33,40.27,40.26,,,,,
12:15PM_2020-11-10,40.615,40.9,40.615,40.9,1543,40.45,40.36,40.33,,,,,
12:20PM_2020-11-10,40.88,40.95,40.88,40.89,1061,40.57,40.43,40.41,,81.37,,,
12:25PM_2020-11-10,40.93,40.93,40.915,40.915,543,40.68,40.52,40.48,,81.85,,,
12:30PM_2020-11-10,40.87,40.87,40.85,40.85,405,40.76,40.59,40.55,,76.35,,,
12:35PM_2020-11-10,40.79,40.79,40.74,40.76,2180,40.82,40.66,40.61,,69.4,,,
12:40PM_2020-11-10,40.74,40.91,40.74,40.875,3797,40.86,40.73,40.68,,72.81,,,
12:45PM_2020-11-10,40.845,40.845,40.71,40.745,3612,40.84,40.77,40.73,40.46,64.12,,,
12:50PM_2020-11-10,40.71,40.91,40.61,40.655,11715,40.8,40.8,40.76,40.48,58.88,,,
12:55PM_2020-11-10,40.67,40.675,40.005,40.525,29080,40.73,40.79,40.77,40.49,52.24,,,
06:30AM_2020-11-11,41.65,41.8,41.27,41.69,9682,40.87,40.88,40.88,40.57,77.13,,,
06:35AM_2020-11-11,41.68,41.865,41.47,41.865,5482,41.06,40.99,40.98,40.66,78.91,,,
06:40AM_2020-11-11,41.79,43.1,41.79,42.74,8402,41.37,41.19,41.16,40.79,85.13,,,
06:45AM_2020-11-11,42.795,42.795,41.98,41.98,13130,41.58,41.32,41.27,40.88,66.72,0.64,,
06:50AM_2020-11-11,42.125,42.38,41.99,42.38,10379,41.86,41.5,41.42,40.99,70.35,0.67,,
06:55AM_2020-11-11,42.39,43.35,42.39,42.75,13309,42.23,41.7,41.62,41.11,73.26,0.72,,
07:00AM_2020-11-11,42.66,43.12,42.66,43.09,4846,42.47,41.96,41.84,41.26,75.63,0.78,,
07:05AM_2020-11-11,43.1,43.17,42.51,42.51,9872,42.57,42.17,42.02,41.38,65.05,0.77,,
07:10AM_2020-11-11,42.55,42.67,42.42,42.65,6305,42.56,42.41,42.22,41.49,66.28,0.76,,
07:15AM_2020-11-11,42.5,42.52,42.23,42.25,17548,42.6,42.47,42.39,41.58,59.82,0.72,,
07:20AM_2020-11-11,42.25,42.32,42.23,42.25,12552,42.58,42.51,42.45,41.66,59.82,0.67,,
07:25AM_2020-11-11,42.17,42.23,41.9,41.975,5223,42.45,42.43,42.46,41.72,55.51,0.61,0.7,-0.09361470020223961
07:30AM_2020-11-11,41.975,42.0,41.89,41.92,4148,42.26,42.42,42.38,41.77,54.66,0.55,0.67,-0.12380263639847278
07:35AM_2020-11-11,41.94,41.99,41.805,41.93,4627,42.16,42.37,42.37,41.82,54.79,0.5,0.64,-0.14172957007739329
07:40AM_2020-11-11,41.925,41.97,41.83,41.85,1865,42.03,42.27,42.32,41.87,53.42,0.44,0.6,-0.156452344811696
07:45AM_2020-11-11,41.85,41.875,41.75,41.77,2946,41.95,42.12,42.22,41.92,52.02,0.39,0.56,-0.16803843607370272
07:50AM_2020-11-11,41.79,41.81,41.51,41.61,4544,41.84,42.02,42.07,41.96,49.23,0.33,0.51,-0.18177357237278935
07:55AM_2020-11-11,41.71,41.86,41.55,41.55,4248,41.77,41.9,41.98,42.0,48.19,0.27,0.46,-0.1893396048039382
08:00AM_2020-11-11,41.6,41.748999999999995,41.5,41.72,10965,41.74,41.84,41.88,42.05,51.33,0.24,0.42,-0.17753273258688101
08:05AM_2020-11-11,41.71,41.73,41.5,41.58,3825,41.68,41.77,41.82,42.1,48.71,0.2,0.38,-0.17358107757814156
08:10AM_2020-11-11,41.72,41.81,41.6,41.81,1436,41.67,41.75,41.77,42.11,52.96,0.19,0.34,-0.1507519108199062
08:15AM_2020-11-11,41.9,41.98,41.81,41.955,4444,41.7,41.75,41.77,42.11,55.47,0.19,0.31,-0.12236833538590303
08:20AM_2020-11-11,41.955,41.965,41.81,41.81,2578,41.74,41.74,41.76,42.07,52.46,0.17,0.28,-0.11021949844480561
08:25AM_2020-11-11,41.91,42.08,41.77,41.875,14379,41.79,41.74,41.75,42.06,53.67,0.16,0.26,-0.09523022124558866
08:30AM_2020-11-11,41.87,42.1,41.87,42.08,2799,41.85,41.78,41.78,42.05,57.37,0.17,0.24,-0.07009485192865184
08:35AM_2020-11-11,42.07,42.11,42.01,42.105,2381,41.94,41.83,41.81,42.01,57.81,0.17,0.23,-0.05124516536952273
08:40AM_2020-11-11,42.105,42.28,42.1,42.145,2329,41.99,41.9,41.86,41.97,58.55,0.18,0.22,-0.036249291651171606
08:45AM_2020-11-11,42.11,42.145,42.06,42.13,2991,42.02,41.94,41.92,41.95,58.14,0.18,0.21,-0.02788237368229518
08:50AM_2020-11-11,42.135,42.2,42.05,42.12,5349,42.08,42.0,41.96,41.92,57.85,0.18,0.2,-0.0237263265298448
08:55AM_2020-11-11,42.1,42.1,42.01,42.1,7325,42.11,42.04,42.01,41.91,57.23,0.17,0.2,-0.0230115380269566
09:00AM_2020-11-11,42.09,42.175,42.085,42.16,2400,42.13,42.06,42.05,41.91,58.66,0.17,0.19,-0.0193332731164787
09:05AM_2020-11-11,42.1,42.155,42.09,42.1,4431,42.13,42.09,42.06,41.92,56.62,0.17,0.19,-0.021604434548412432
09:10AM_2020-11-11,42.09,42.24,42.09,42.1,3785,42.12,42.12,42.09,41.93,56.62,0.16,0.18,-0.0236072224115369
09:15AM_2020-11-11,42.115,42.19,42.1,42.135,1670,42.12,42.12,42.12,41.94,57.61,0.15,0.18,-0.02304938560300976
