Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
06:35AM_2020-10-26,2.22,2.27,2.22,2.27,3610,,,,,,,,
06:40AM_2020-10-26,2.3,2.33,2.3,2.33,400,,,,,,,,
06:45AM_2020-10-26,2.41,2.41,2.41,2.41,200,,,,,,,,
06:50AM_2020-10-26,2.41,2.41,2.41,2.41,100,,,,,,,,
07:00AM_2020-10-26,2.41,2.41,2.39,2.39,400,,,,,,,,
07:05AM_2020-10-26,2.39,2.4,2.36,2.39,800,2.3666666666666667,,,,,,,
07:10AM_2020-10-26,2.32,2.39,2.32,2.39,5355,2.3866666666666667,,,,,,,
07:20AM_2020-10-26,2.36,2.36,2.36,2.36,200,2.3916666666666666,,,,,,,
07:25AM_2020-10-26,2.39,2.4,2.39,2.4,200,2.39,2.372222222222222,,,,,,
07:30AM_2020-10-26,2.39,2.39,2.39,2.39,700,2.3866666666666667,2.3855555555555554,2.3739999999999997,,,,,
07:35AM_2020-10-26,2.39,2.39,2.39,2.39,200,2.3866666666666667,2.3922222222222222,2.386,,,,,
07:40AM_2020-10-26,2.39,2.39,2.39,2.39,1100,2.3866666666666667,2.39,2.3920000000000003,,,,,
07:45AM_2020-10-26,2.4,2.4,2.4,2.4,100,2.388333333333333,2.388888888888889,2.391,,,,,
07:50AM_2020-10-26,2.41,2.45,2.41,2.45,1900,2.403333333333333,2.395555555555555,2.395,,,,,
07:55AM_2020-10-26,2.45,2.45,2.42,2.45,7500,2.411666666666666,2.402222222222222,2.401,,80.0,,,
08:00AM_2020-10-26,2.45,2.45,2.44,2.45,800,2.4216666666666664,2.4088888888888884,2.4069999999999996,,80.0,,,
08:05AM_2020-10-26,2.47,2.53,2.46,2.53,6547,2.445,2.4277777777777776,2.421,,84.72431455257606,,,
08:10AM_2020-10-26,2.52,2.58,2.51,2.57,12822,2.4749999999999996,2.4466666666666668,2.4419999999999997,,86.44803125321269,,,
08:15AM_2020-10-26,2.56,2.58,2.55,2.58,6786,2.505,2.467777777777778,2.46,,86.84760301045492,,,
08:20AM_2020-10-26,2.53,2.58,2.5,2.58,1595,2.526666666666667,2.488888888888889,2.479,2.4265,86.84760301045492,,,
08:25AM_2020-10-26,2.52,2.53,2.49,2.53,840,2.5400000000000005,2.5044444444444443,2.493,2.4395,74.16693593345201,,,
08:30AM_2020-10-26,2.49,2.56,2.49,2.54,2992,2.555,2.52,2.508,2.45,74.95457517592038,,,
08:35AM_2020-10-26,2.54,2.58,2.54,2.58,1900,2.563333333333334,2.5344444444444445,2.526,2.4585,77.86215378852623,,,
08:40AM_2020-10-26,2.58,2.58,2.56,2.58,2760,2.565000000000001,2.548888888888889,2.5389999999999997,2.467,77.86215378852623,,,
08:50AM_2020-10-26,2.54,2.56,2.54,2.55,1300,2.560000000000001,2.5600000000000005,2.549,2.475,70.7207953846795,,,
08:55AM_2020-10-26,2.56,2.56,2.54,2.56,2003,2.5566666666666675,2.5633333333333335,2.5599999999999996,2.4835000000000003,71.65406813253686,0.07546491520264809,,
09:00AM_2020-10-26,2.56,2.56,2.56,2.56,100,2.561666666666668,2.562222222222222,2.5629999999999997,2.492,71.65406813253686,0.07210827034789036,,
09:05AM_2020-10-26,2.56,2.56,2.56,2.56,600,2.5650000000000013,2.56,2.5619999999999994,2.5020000000000002,71.65406813253686,0.06865667371982775,,
09:15AM_2020-10-26,2.55,2.59,2.55,2.59,2500,2.5666666666666678,2.561111111111111,2.5629999999999997,2.5115000000000007,74.67831485620108,0.0675631815044535,,
09:20AM_2020-10-26,2.58,2.62,2.58,2.59,5984,2.5683333333333347,2.5677777777777773,2.563999999999999,2.5215000000000005,74.67831485620108,0.06593650604791268,,
09:30AM_2020-10-26,2.67,2.68,2.64,2.65,1935,2.5850000000000013,2.5799999999999996,2.575999999999999,2.5345000000000004,79.70159830735994,0.06869695683212784,,
09:35AM_2020-10-26,2.65,2.65,2.56,2.6,1100,2.591666666666668,2.5822222222222218,2.5819999999999994,2.5450000000000004,67.65655423878817,0.06608822788150315,,
09:40AM_2020-10-26,2.6,2.62,2.6,2.62,1514,2.601666666666668,2.586666666666666,2.5859999999999994,2.556,69.63344025932659,0.06488665132039806,,
09:45AM_2020-10-26,2.62,2.62,2.6,2.6,400,2.6083333333333347,2.5922222222222215,2.5879999999999996,2.5635000000000003,65.33300270066998,0.061610354569442194,0.06789019304735595,-0.00627983847791376
09:50AM_2020-10-26,2.6,2.6,2.6,2.6,200,2.610000000000001,2.5966666666666662,2.5929999999999995,2.571,65.33300270066998,0.058341343102802146,0.06598042305844519,-0.007639079955643044
09:55AM_2020-10-26,2.6,2.6,2.59,2.59,700,2.610000000000001,2.5999999999999996,2.5959999999999996,2.5780000000000003,63.07416174933092,0.054317572374206424,0.06364785292159744,-0.009330280547391018
10:00AM_2020-10-26,2.61,2.61,2.6,2.6,500,2.601666666666668,2.604444444444445,2.6,2.5815,64.39969738219682,0.05134376257403339,0.06118703485208464,-0.009843272278051249
10:05AM_2020-10-26,2.59,2.6,2.59,2.6,500,2.601666666666668,2.605555555555556,2.604,2.583,64.39969738219682,0.04842874050752721,0.05863537598317316,-0.010206635475645945
10:15AM_2020-10-26,2.61,2.61,2.6,2.6,600,2.5983333333333345,2.6066666666666674,2.6050000000000004,2.5840000000000005,64.39969738219682,0.04559299683140372,0.056026900152819276,-0.010433903321415555
10:30AM_2020-10-26,2.59,2.61,2.59,2.61,2000,2.600000000000001,2.6022222222222227,2.607,2.5855000000000006,65.9273378719198,0.043649402819268435,0.05355140068610911,-0.009901997866840678
10:40AM_2020-10-26,2.62,2.78,2.62,2.75,7615,2.6250000000000013,2.6188888888888893,2.6170000000000004,2.5965000000000003,79.31183691867837,0.05279730605398569,0.05340058175968443,-0.0006032757056987359
10:45AM_2020-10-26,2.73,2.73,2.73,2.73,100,2.6483333333333348,2.6311111111111116,2.6300000000000003,2.6060000000000003,74.79185200608303,0.05776734641105463,0.05427393468995847,0.0034934117210961638
10:50AM_2020-10-26,2.68,2.68,2.65,2.67,790,2.6600000000000015,2.638888888888889,2.6350000000000007,2.6105000000000005,63.16230303874746,0.056216610549373325,0.054662469861841444,0.0015541406875318811
10:55AM_2020-10-26,2.66,2.71,2.66,2.71,900,2.6783333333333346,2.651111111111111,2.6460000000000004,2.6170000000000004,66.86170994901198,0.05755188461159566,0.05524035281179229,0.002311531799803368
11:00AM_2020-10-26,2.72,2.78,2.72,2.78,3057,2.7083333333333344,2.6722222222222225,2.6640000000000006,2.6285000000000007,72.13540588268926,0.06352622315479994,0.056897526880393824,0.006628696274406119
11:05AM_2020-10-26,2.83,2.87,2.8,2.86,5693,2.7500000000000013,2.701111111111111,2.6910000000000003,2.6435000000000004,76.69925632216984,0.07386479354443543,0.060290980213202144,0.013573813331233281
11:10AM_2020-10-26,2.87,2.92,2.87,2.92,1200,2.7783333333333347,2.7366666666666664,2.7230000000000003,2.6615000000000006,79.42156281350775,0.08590937383780295,0.06541465893812232,0.020494714899680633
11:15AM_2020-10-26,2.92,2.92,2.86,2.86,519,2.800000000000001,2.765555555555555,2.749,2.6765000000000003,70.5454842301379,0.08958066183018154,0.07024785951653417,0.019332802313647368
11:20AM_2020-10-26,2.86,2.86,2.86,2.86,300,2.8316666666666683,2.7933333333333326,2.775,2.6900000000000004,70.5454842301379,0.0914361648232962,0.07448552057788659,0.01695064424540961
11:25AM_2020-10-26,2.8,2.8,2.8,2.8,200,2.846666666666668,2.798888888888888,2.794,2.7005000000000003,62.45096217758796,0.08706157412191029,0.07700073128669133,0.010060842835218964
11:30AM_2020-10-26,2.82,2.83,2.82,2.83,881,2.8550000000000018,2.8099999999999996,2.8020000000000005,2.7095000000000002,64.63590097991764,0.0850351959470701,0.07860762421876707,0.006427571728303022
11:35AM_2020-10-26,2.84,2.9,2.83,2.83,3366,2.8500000000000014,2.8277777777777775,2.8120000000000003,2.721,64.63590097991764,0.08247851565684394,0.07938180250638245,0.0030967131504614914
11:40AM_2020-10-26,2.87,2.89,2.87,2.89,900,2.845000000000001,2.847777777777777,2.8340000000000005,2.7345,68.84140193473674,0.0843218172453355,0.08036980545417306,0.0039520117911624325
11:45AM_2020-10-26,2.87,2.87,2.87,2.87,100,2.846666666666668,2.8577777777777773,2.8500000000000005,2.748,66.02293220479132,0.08320962541585919,0.0809377694465103,0.002271855969348896
11:50AM_2020-10-26,2.88,2.88,2.84,2.86,500,2.846666666666668,2.8577777777777773,2.858,2.761,64.59882406448376,0.08059227141366687,0.08086866983994162,-0.00027639842627474875
11:55AM_2020-10-26,2.85,2.85,2.85,2.85,100,2.8550000000000018,2.8499999999999996,2.857,2.774,63.13231563665854,0.07682548669498468,0.08006003321095023,-0.003234546515965553
12:00PM_2020-10-26,2.88,2.88,2.88,2.88,200,2.8633333333333346,2.852222222222222,2.853,2.7880000000000003,65.65157411056423,0.07539196035761231,0.07912641864028265,-0.0037344582826703415
12:15PM_2020-10-26,2.82,2.82,2.803,2.803,300,2.8588333333333344,2.8458888888888887,2.8473,2.79815,55.22146310887973,0.06726720940545317,0.07675457679331676,-0.009487367387863599
12:30PM_2020-10-26,2.68,2.68,2.67,2.68,470,2.8238333333333343,2.8325555555555555,2.8293000000000004,2.80215,43.36870737238331,0.050323120090736584,0.07146828545280073,-0.02114516536206415
12:35PM_2020-10-26,2.6,2.6,2.6,2.6,300,2.7788333333333344,2.807,2.8093000000000004,2.80165,37.70070009436981,0.030092587207801724,0.06319314580380093,-0.03310055859599921
12:50PM_2020-10-26,2.69,2.69,2.65,2.65,1150,2.7438333333333342,2.787,2.7913000000000006,2.79665,42.737864888821434,0.017888123129060407,0.05413214126885284,-0.03624401813979243
12:55PM_2020-10-26,2.65,2.69,2.65,2.69,2431,2.7171666666666674,2.764777777777778,2.7773000000000003,2.79465,46.46692877134166,0.011313251008918002,0.04556836321686587,-0.03425511220794787
06:35AM_2020-10-27,2.6,2.67,2.6,2.67,500,2.6821666666666677,2.742555555555555,2.7553000000000005,2.79465,44.892718020107104,0.004437630390471181,0.03734221665158694,-0.03290458626111576
06:40AM_2020-10-27,2.65,2.68,2.62,2.68,1000,2.6616666666666675,2.722555555555555,2.7363000000000004,2.79315,45.87997805574462,-0.00020210234922890535,0.029833352851423776,-0.03003545520065268
06:45AM_2020-10-27,2.6,2.6,2.6,2.6,100,2.6483333333333348,2.6947777777777775,2.7103000000000006,2.78415,39.745407199076986,-0.010216683813675242,0.021823345518403973,-0.032040029332079216
07:00AM_2020-10-27,2.675,2.675,2.67,2.67,200,2.6600000000000015,2.671444444444444,2.6923000000000004,2.7746500000000003,46.48769628772454,-0.012362390843498439,0.01498619824602349,-0.02734858908952193
07:05AM_2020-10-27,2.64,2.64,2.64,2.64,500,2.6583333333333345,2.653333333333333,2.6683000000000003,2.76065,44.204758212119145,-0.016295780786026448,0.008729802439613504,-0.02502558322563995
