Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:35AM_2020-11-11,15.03,15.04,15.03,15.04,900,,,,,,,,
11:40AM_2020-11-11,15.08,15.08,15.03,15.03,975,,,,,,,,
11:45AM_2020-11-11,14.99,15.03,14.95,15.03,3525,,,,,,,,
11:50AM_2020-11-11,15.03,15.04,14.98,15.0,800,,,,,,,,
11:55AM_2020-11-11,14.98,14.99,14.98,14.98,2635,,,,,,,,
12:00PM_2020-11-11,15.0,15.025,15.0,15.025,810,15.018,,,,,,,
12:05PM_2020-11-11,15.015,15.02,15.015,15.02,300,15.014,,,,,,,
12:10PM_2020-11-11,15.02,15.025,15.02,15.025,650,15.013,,,,,,,
12:15PM_2020-11-11,15.045,15.045,15.04,15.04,310,15.015,15.021,,,,,,
12:20PM_2020-11-11,15.055,15.08,15.055,15.08,1700,15.028,15.026,15.027,,,,,
12:25PM_2020-11-11,15.09,15.11,15.08,15.11,1585,15.05,15.034,15.034,,,,,
12:30PM_2020-11-11,15.09,15.11,15.09,15.09,1785,15.061,15.041,15.04,,,,,
12:35PM_2020-11-11,15.11,15.11,15.11,15.11,100,15.076,15.053,15.048,,,,,
12:40PM_2020-11-11,15.065,15.07,15.02,15.02,5836,15.075,15.058,15.05,,,,,
12:45PM_2020-11-11,15.04,15.045,15.01,15.01,1574,15.07,15.056,15.053,,45.59,,,
12:50PM_2020-11-11,14.99,14.99,14.98,14.99,2270,15.055,15.053,15.05,,42.87,,,
12:55PM_2020-11-11,15.015,15.015,14.995,15.0,10768,15.037,15.05,15.048,,44.65,,,
01:10PM_2020-11-11,15.01,15.01,15.01,15.01,801,15.023,15.047,15.046,,46.44,,,
01:30PM_2020-11-11,14.941,14.941,14.941,14.941,4200,14.995,15.031,15.036,,37.43,,,
01:40PM_2020-11-11,14.92,14.92,14.92,14.92,179,14.978,15.01,15.02,15.024,35.19,,,
05:55AM_2020-11-12,14.95,14.95,14.95,14.95,100,14.968,14.995,15.004,15.019,40.65,,,
06:10AM_2020-11-12,14.92,14.92,14.92,14.92,1400,14.957,14.973,14.987,15.014,37.27,,,
06:20AM_2020-11-12,14.88,14.88,14.88,14.88,100,14.937,14.958,14.964,15.006,33.3,,,
06:25AM_2020-11-12,14.86,14.86,14.86,14.86,1400,14.912,14.941,14.948,14.999,31.49,,,
06:30AM_2020-11-12,14.875,14.88,14.84,14.88,4780,14.902,14.929,14.935,14.994,35.27,,,
06:35AM_2020-11-12,14.9,14.9,14.88,14.88,800,14.895,14.916,14.924,14.987,35.27,-0.07,,
06:40AM_2020-11-12,14.915,14.955,14.88,14.88,1609,14.883,14.901,14.912,14.98,35.27,-0.06,,
06:45AM_2020-11-12,14.895,14.895,14.86,14.86,1001,14.873,14.892,14.897,14.972,33.0,-0.06,,
06:50AM_2020-11-12,14.865,14.91,14.76,14.775,6683,14.856,14.876,14.88,14.958,25.47,-0.07,,
06:55AM_2020-11-12,14.785,14.785,14.73,14.745,13501,14.837,14.853,14.863,14.942,23.44,-0.08,,
07:00AM_2020-11-12,14.745,14.775,14.715,14.775,4132,14.819,14.837,14.845,14.925,29.5,-0.08,,
07:05AM_2020-11-12,14.78,14.795,14.665,14.68,3900,14.786,14.815,14.821,14.904,23.23,-0.09,,
07:10AM_2020-11-12,14.66,14.7,14.655,14.69,2966,14.754,14.796,14.802,14.883,25.03,-0.09,,
07:15AM_2020-11-12,14.67,14.715,14.67,14.695,900,14.727,14.776,14.786,14.867,25.97,-0.09,-0.08,-0.016575330323090123
07:20AM_2020-11-12,14.76,14.765,14.75,14.76,495,14.724,14.762,14.774,14.855,37.0,-0.09,-0.08,-0.009583622057568339
07:25AM_2020-11-12,14.735,14.735,14.7,14.73,1900,14.722,14.746,14.759,14.842,34.45,-0.09,-0.08,-0.005892091892304385
07:30AM_2020-11-12,14.72,14.72,14.7,14.71,900,14.711,14.729,14.742,14.827,32.83,-0.09,-0.08,-0.003810959628989738
07:35AM_2020-11-12,14.73,14.735,14.68,14.725,975,14.718,14.723,14.728,14.813,35.29,-0.08,-0.08,-0.0006059857826830745
07:40AM_2020-11-12,14.745,14.745,14.71,14.725,461,14.724,14.721,14.723,14.802,35.29,-0.08,-0.08,0.002179496377332543
07:45AM_2020-11-12,14.725,14.75,14.72,14.72,789,14.728,14.715,14.721,14.792,34.8,-0.08,-0.08,0.004231973865468711
07:50AM_2020-11-12,14.69,14.69,14.685,14.685,500,14.716,14.716,14.712,14.779,31.48,-0.08,-0.08,0.0037932485254356524
07:55AM_2020-11-12,14.65,14.68,14.65,14.66,1975,14.704,14.712,14.71,14.766,29.33,-0.08,-0.08,0.002445615280098623
08:00AM_2020-11-12,14.81,15.09,14.81,15.06,28860,14.762,14.753,14.747,14.775,67.55,-0.04,-0.07,0.02771587440035428
08:05AM_2020-11-12,15.015,15.065,14.995,15.04,5961,14.815,14.784,14.781,14.784,65.64,-0.02,-0.06,0.041478415153368614
08:10AM_2020-11-12,15.02,15.02,14.92,14.96,8724,14.854,14.809,14.801,14.788,58.51,-0.01,-0.05,0.04338308832013767
08:15AM_2020-11-12,14.9,14.95,14.895,14.895,3524,14.883,14.83,14.818,14.789,53.43,-0.0,-0.04,0.03861401981768206
