Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
10:40AM_2020-10-26,5.805,5.82,5.805,5.815,15473,,,,,,,,
10:45AM_2020-10-26,5.81,5.82,5.81,5.82,14553,,,,,,,,
10:50AM_2020-10-26,5.82,5.82,5.815,5.82,8509,,,,,,,,
10:55AM_2020-10-26,5.82,5.82,5.81,5.815,16224,,,,,,,,
11:00AM_2020-10-26,5.82,5.82,5.81,5.815,58873,,,,,,,,
11:05AM_2020-10-26,5.815,5.84,5.815,5.835,69782,5.82,,,,,,,
11:10AM_2020-10-26,5.835,5.835,5.81,5.81,65199,5.819166666666668,,,,,,,
11:15AM_2020-10-26,5.82,5.83,5.815,5.83,43344,5.820833333333334,,,,,,,
11:20AM_2020-10-26,5.825,5.83,5.825,5.83,8758,5.822500000000001,5.821111111111112,,,,,,
11:25AM_2020-10-26,5.825,5.84,5.82,5.84,16412,5.826666666666668,5.82388888888889,5.823,,,,,
11:30AM_2020-10-26,5.84,5.84,5.83,5.835,12281,5.830000000000002,5.825555555555557,5.825,,,,,
11:35AM_2020-10-26,5.835,5.84,5.82,5.825,28858,5.828333333333336,5.826111111111112,5.8255,,,,,
11:40AM_2020-10-26,5.82,5.84,5.82,5.83,59270,5.831666666666668,5.827777777777779,5.826500000000001,,,,,
11:45AM_2020-10-26,5.82,5.825,5.81,5.815,37511,5.829166666666668,5.827777777777779,5.826500000000001,,,,,
11:50AM_2020-10-26,5.82,5.83,5.81,5.825,35715,5.828333333333336,5.826666666666668,5.827500000000002,,53.8461538461538,,,
11:55AM_2020-10-26,5.825,5.83,5.82,5.825,47728,5.825833333333335,5.828333333333335,5.826500000000002,,53.8461538461538,,,
12:00PM_2020-10-26,5.82,5.83,5.81,5.825,102419,5.824166666666669,5.827777777777779,5.828000000000001,,53.8461538461538,,,
12:05PM_2020-10-26,5.825,5.825,5.81,5.81,54289,5.821666666666669,5.825555555555558,5.826000000000002,,47.06368393671357,,,
12:10PM_2020-10-26,5.81,5.82,5.8,5.805,48937,5.817500000000003,5.821666666666669,5.823500000000003,,45.027690880139545,,,
12:15PM_2020-10-26,5.81,5.82,5.805,5.81,39924,5.81666666666667,5.818888888888892,5.820500000000003,5.82175,47.47474312737088,,,
12:20PM_2020-10-26,5.81,5.82,5.81,5.82,35729,5.8158333333333365,5.818333333333336,5.8190000000000035,5.822,52.07011177973957,,,
12:25PM_2020-10-26,5.82,5.82,5.815,5.815,16155,5.814166666666669,5.816666666666669,5.818000000000003,5.82175,49.72748370433103,,,
12:30PM_2020-10-26,5.82,5.83,5.81,5.825,134213,5.814166666666669,5.817777777777781,5.817500000000004,5.822,54.168604575400366,,,
12:35PM_2020-10-26,5.825,5.83,5.82,5.82,98664,5.815833333333335,5.817222222222225,5.818000000000004,5.8222499999999995,51.7089053656256,,,
12:40PM_2020-10-26,5.82,5.825,5.81,5.81,134063,5.816666666666669,5.815555555555559,5.816500000000004,5.822,47.10220204662989,,,
12:45PM_2020-10-26,5.815,5.815,5.79,5.79,67201,5.813333333333335,5.811666666666669,5.813000000000004,5.819750000000001,39.51910404846988,-0.006426934922242111,,
12:50PM_2020-10-26,5.79,5.8,5.785,5.79,189287,5.8083333333333345,5.809444444444447,5.809500000000003,5.8187500000000005,39.519104048469885,-0.007815997312025758,,
12:55PM_2020-10-26,5.79,5.8,5.79,5.79,184850,5.804166666666668,5.80777777777778,5.807500000000003,5.816750000000001,39.51910404846988,-0.008815222861718652,,
06:30AM_2020-10-27,5.85,5.855,5.76,5.805,23075,5.800833333333334,5.807222222222224,5.807500000000003,5.815500000000001,47.44478503580646,-0.008301052305362155,,
06:35AM_2020-10-27,5.805,5.82,5.8,5.82,9707,5.800833333333334,5.807222222222224,5.808500000000003,5.814500000000001,53.94437206126931,-0.006607032042628802,,
06:40AM_2020-10-27,5.82,5.85,5.81,5.85,39946,5.807500000000001,5.811111111111114,5.811500000000003,5.815250000000001,63.63176383873967,-0.002811351984445487,,
06:45AM_2020-10-27,5.85,5.86,5.84,5.84,35573,5.815833333333334,5.812777777777779,5.814000000000003,5.816000000000001,59.164431326870265,-0.0006032111755054359,,
06:50AM_2020-10-27,5.83,5.86,5.83,5.85,21259,5.8258333333333345,5.816111111111113,5.816500000000003,5.817000000000001,62.03484308139469,0.001931408673954138,,
06:55AM_2020-10-27,5.85,5.85,5.84,5.85,29261,5.835833333333334,5.820555555555557,5.819500000000003,5.8187500000000005,62.03484308139469,0.003895211591064651,-0.0039504647043232905,0.007845676295387943
07:00AM_2020-10-27,5.84,5.85,5.84,5.84,32388,5.841666666666668,5.826111111111112,5.8225000000000025,5.819500000000001,57.358834726254265,0.00459169294673778,-0.0022420331741110767,0.006833726120848857
07:05AM_2020-10-27,5.84,5.85,5.84,5.845,18493,5.845833333333334,5.8322222222222235,5.828000000000002,5.820500000000001,59.022035432663614,0.005483902636262528,-0.0006968460120363557,0.006180748648298883
07:10AM_2020-10-27,5.85,5.85,5.84,5.84,35241,5.844166666666667,5.837777777777779,5.833000000000002,5.821250000000001,56.64276017692946,0.005721572305989575,0.0005868376515688306,0.005134734654420744
07:15AM_2020-10-27,5.84,5.845,5.83,5.845,32783,5.8450000000000015,5.842222222222223,5.8385000000000025,5.823,58.446694674911484,0.00624143803234567,0.0017177577277241985,0.004523680304621471
07:20AM_2020-10-27,5.84,5.84,5.835,5.84,17525,5.843333333333335,5.844444444444446,5.842000000000002,5.82475,55.94019420461741,0.006178752341800653,0.0026099566505394895,0.0035687956912611634
07:25AM_2020-10-27,5.83,5.84,5.83,5.83,31681,5.840000000000001,5.842222222222223,5.843000000000003,5.82575,51.2100167704006,0.005261505691465551,0.003140266458724702,0.002121239232740849
07:30AM_2020-10-27,5.83,5.84,5.83,5.84,22568,5.840000000000001,5.842222222222223,5.842000000000002,5.82675,55.28212492162992,0.0052806257723547745,0.0035683383214507166,0.0017122874509040579
07:35AM_2020-10-27,5.84,5.85,5.84,5.85,38880,5.840833333333335,5.842222222222223,5.843000000000002,5.8285,58.96998935637761,0.006033148618950435,0.00406130038095066,0.0019718482379997744
07:40AM_2020-10-27,5.85,5.85,5.84,5.84,37082,5.840833333333333,5.841111111111113,5.842000000000002,5.82925,54.15986762590549,0.005756257417635524,0.004400291788287634,0.0013559656293478904
07:45AM_2020-10-27,5.84,5.86,5.84,5.86,44458,5.843333333333334,5.8433333333333355,5.843000000000003,5.83125,61.00991907641734,0.007069163087059849,0.004934066048042077,0.0021350970390177715
07:50AM_2020-10-27,5.86,5.86,5.85,5.85,25103,5.8450000000000015,5.843888888888891,5.844000000000003,5.83325,56.466396102047376,0.007219511824220426,0.005391155203277747,0.001828356620942679
07:55AM_2020-10-27,5.85,5.855,5.85,5.85,25643,5.848333333333335,5.845000000000002,5.844500000000002,5.836249999999999,56.466396102047376,0.007255032779839077,0.0057639307185900135,0.0014911020612490633
08:00AM_2020-10-27,5.85,5.86,5.845,5.86,15995,5.851666666666669,5.8466666666666685,5.846500000000002,5.839749999999999,59.927451930652616,0.007997904949855972,0.0062107255648432055,0.0017871793850127663
08:05AM_2020-10-27,5.86,5.86,5.85,5.85,27042,5.851666666666669,5.847777777777781,5.847000000000001,5.842749999999998,55.201196814797925,0.007691062291608652,0.006506792910196296,0.0011842693814123565
08:10AM_2020-10-27,5.85,5.86,5.85,5.855,10768,5.854166666666669,5.850555555555559,5.848500000000001,5.845249999999998,57.02614424140257,0.007761871464871284,0.0067578086211312945,0.0010040628437399893
08:15AM_2020-10-27,5.855,5.86,5.85,5.85,44779,5.852500000000003,5.85166666666667,5.850500000000001,5.846749999999998,54.62954079655075,0.007330033962842819,0.0068722536894736,0.00045778027336921927
08:20AM_2020-10-27,5.85,5.855,5.84,5.845,82439,5.851666666666669,5.8511111111111145,5.851000000000001,5.846499999999999,52.26410913073054,0.006509306188172914,0.006799664189213463,-0.00029035800104054883
08:25AM_2020-10-27,5.84,5.85,5.83,5.83,25078,5.848333333333335,5.850000000000004,5.849,5.845999999999998,45.85010637592217,0.004595524527810646,0.0063588362569329,-0.001763311729122254
08:30AM_2020-10-27,5.835,5.84,5.82,5.84,14196,5.8450000000000015,5.847777777777782,5.848999999999999,5.8454999999999995,50.23485117477866,0.0038414730898885807,0.005855363623524036,-0.0020138905336354552
08:35AM_2020-10-27,5.84,5.85,5.84,5.85,5676,5.8450000000000015,5.847777777777782,5.847999999999999,5.8454999999999995,54.226442448984585,0.00400463537539153,0.005485217973897535,-0.0014805825985060054
08:40AM_2020-10-27,5.86,5.86,5.845,5.85,49304,5.844166666666669,5.847777777777782,5.847999999999998,5.845999999999998,54.226442448984585,0.004086832204484914,0.0052055408200150114,-0.0011187086155300978
08:45AM_2020-10-27,5.85,5.86,5.84,5.84,53510,5.842500000000002,5.84555555555556,5.846999999999998,5.845749999999999,49.61143979426851,0.003306937045461922,0.004825820065104394,-0.001518883019642472
08:50AM_2020-10-27,5.85,5.85,5.845,5.85,70207,5.843333333333336,5.84555555555556,5.845999999999998,5.846249999999999,53.84195206535143,0.003455942980181703,0.004551844648119856,-0.0010959016679381525
