Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:30AM_2020-10-26,41.665,41.74,41.645,41.7,30900,,,,,,,,
11:35AM_2020-10-26,41.68,41.69,41.53,41.62,34100,,,,,,,,
11:40AM_2020-10-26,41.62,41.68,41.58,41.67,40858,,,,,,,,
11:45AM_2020-10-26,41.65,41.65,41.5,41.6,39748,,,,,,,,
11:50AM_2020-10-26,41.6,41.7,41.48,41.61,53755,,,,,,,,
11:55AM_2020-10-26,41.65,41.94,41.63,41.825,101577,41.67083333333333,,,,,,,
12:00PM_2020-10-26,41.84,41.84,41.68,41.72,56406,41.67416666666667,,,,,,,
12:05PM_2020-10-26,41.73,41.73,41.48,41.52,38240,41.6575,,,,,,,
12:10PM_2020-10-26,41.555,41.555,41.29,41.375,39000,41.60833333333333,41.626666666666665,,,,,,
12:15PM_2020-10-26,41.375,41.525,41.37,41.4,42875,41.574999999999996,41.593333333333334,41.604,,,,,
12:20PM_2020-10-26,41.39,41.49,41.28,41.3,46584,41.52333333333332,41.55777777777777,41.564,,,,,
12:25PM_2020-10-26,41.29,41.385,41.29,41.33,37678,41.44083333333332,41.519999999999996,41.535,,,,,
12:30PM_2020-10-26,41.34,41.44,41.23,41.36,47630,41.38083333333332,41.493333333333325,41.504,,,,,
12:35PM_2020-10-26,41.37,41.39,41.24,41.375,51078,41.35666666666666,41.46722222222221,41.4815,,,,,
12:40PM_2020-10-26,41.36,41.44,41.335,41.435,38601,41.36666666666665,41.42388888888888,41.46399999999999,,38.325991189427484,,,
12:45PM_2020-10-26,41.445,41.48,41.28,41.295,87611,41.349166666666655,41.376666666666665,41.410999999999994,,33.8318875261743,,,
12:50PM_2020-10-26,41.3,41.49,41.295,41.38,184604,41.36249999999999,41.361111111111114,41.376999999999995,,38.543737043448694,,,
12:55PM_2020-10-26,41.375,41.47,41.245,41.25,181951,41.34916666666666,41.34722222222222,41.35,,34.49759941850469,,,
04:30AM_2020-10-27,41.44,41.44,41.44,41.44,200,41.36249999999999,41.35166666666667,41.3565,,43.78573047255447,,,
05:15AM_2020-10-27,41.39,41.4,41.39,41.4,600,41.36666666666665,41.36277777777778,41.3565,41.48025,42.42192459012748,,,
05:25AM_2020-10-27,41.11,41.11,41.11,41.11,200,41.31249999999999,41.33833333333334,41.3375,41.45074999999999,34.123491272278926,,,
05:30AM_2020-10-27,41.24,41.24,41.24,41.24,200,41.30333333333332,41.325,41.328500000000005,41.431749999999994,39.80778012626502,,,
05:45AM_2020-10-27,41.1,41.1,41.1,41.1,200,41.25666666666666,41.29444444444445,41.3025,41.40325,36.186504627409526,,,
05:50AM_2020-10-27,41.06,41.06,41.06,41.06,200,41.224999999999994,41.25277777777778,41.271,41.37625,35.20120619788169,,,
06:05AM_2020-10-27,40.93,40.93,40.93,40.93,200,41.13999999999999,41.21222222222222,41.2205,41.34224999999999,32.1384390559909,,,
06:10AM_2020-10-27,41.05,41.05,41.05,41.05,200,41.08166666666666,41.17555555555556,41.196000000000005,41.30349999999999,37.540706478244154,-0.19389079628439987,,
06:15AM_2020-10-27,41.13,41.13,41.13,41.13,200,41.085,41.162222222222226,41.17100000000001,41.27399999999999,40.91750011573178,-0.18466411668947558,,
06:25AM_2020-10-27,41.31,41.52,41.31,41.52,600,41.13166666666666,41.17111111111112,41.198,41.27399999999999,53.97969711455839,-0.14421969117561417,,
06:30AM_2020-10-27,41.67,41.8,41.225,41.3,123454,41.165,41.160000000000004,41.184000000000005,41.27024999999999,47.588241457629806,-0.12843879151460413,,
06:35AM_2020-10-27,41.3,41.94,41.16,41.57,246594,41.25,41.211111111111116,41.20100000000001,41.27874999999999,54.680438634737634,-0.0930726873184966,,
06:40AM_2020-10-27,41.56,41.7,41.08,41.185,133790,41.2925,41.205000000000005,41.2085,41.27299999999999,45.27297133619516,-0.09501579443187325,,
06:45AM_2020-10-27,41.18,41.19,40.805,40.87,172884,41.262499999999996,41.17944444444444,41.1715,41.249999999999986,39.313390255121995,-0.12058357585196688,,
06:50AM_2020-10-27,40.89,41.105,40.83,40.929,74294,41.229000000000006,41.16488888888889,41.154399999999995,41.22844999999999,40.883083004674404,-0.1345345889206797,,
06:55AM_2020-10-27,40.97,41.42,40.925,41.37,91678,41.204,41.21377777777778,41.1854,41.22819999999999,51.070494791373584,-0.1087522249269881,-0.13368580745712202,0.02493358253013392
07:00AM_2020-10-27,41.38,41.7,41.38,41.51,506510,41.239000000000004,41.26488888888888,41.243399999999994,41.23194999999998,53.79279438886494,-0.07614493433447223,-0.12217763283259207,0.04603269849811985
07:05AM_2020-10-27,41.47,41.58,41.39,41.475,93232,41.22316666666668,41.30322222222222,41.2859,41.240949999999984,52.99891096754542,-0.05252218604307046,-0.10824654347468775,0.055724357431617286
07:10AM_2020-10-27,41.45,42.04,41.45,41.74,149030,41.31566666666668,41.327666666666666,41.3469,41.258949999999984,58.04732326504549,-0.012276190247320073,-0.08905247282921422,0.07677628258189415
07:15AM_2020-10-27,41.74,41.785,41.53,41.6,95630,41.43733333333335,41.361000000000004,41.3549,41.27644999999999,54.70433042120515,0.008227381276377344,-0.0695965020080959,0.07782388328447325
07:20AM_2020-10-27,41.66,41.755,41.485,41.505,79805,41.533333333333346,41.35377777777778,41.3754,41.27969999999999,52.495045060465046,0.016619326130829393,-0.052353336380310846,0.06897266251114023
07:25AM_2020-10-27,41.49,41.83,41.47,41.79,89300,41.603333333333346,41.42100000000001,41.397400000000005,41.29919999999999,57.97797864653244,0.04573986040561806,-0.032734697023125064,0.07847455742874312
07:30AM_2020-10-27,41.81,42.025,41.81,41.93,55850,41.673333333333346,41.53877777777778,41.471900000000005,41.34019999999999,60.39610942998336,0.07920193300945044,-0.010347371016609964,0.0895493040260604
07:35AM_2020-10-27,41.93,42.34,41.88,42.32,120709,41.81416666666668,41.693333333333335,41.6169,41.39419999999999,66.22652887816372,0.13562718153940523,0.018847539494593075,0.11677964204481216
07:40AM_2020-10-27,42.31,42.31,42.03,42.215,130723,41.893333333333345,41.787222222222226,41.74550000000001,41.44994999999999,63.51539881656441,0.16991332005673598,0.04906069560702166,0.12085262444971433
07:45AM_2020-10-27,42.24,42.27,42.03,42.155,46906,41.98583333333335,41.85888888888889,41.824,41.50469999999999,61.954629360487104,0.19005302037593452,0.07725916056080423,0.11279385981513029
