Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:25AM_2020-11-11,0.4248,0.42700000000000005,0.4198,0.42,12631,,,,,,,,
11:30AM_2020-11-11,0.4185,0.4199,0.4165,0.4165,6852,,,,,,,,
11:35AM_2020-11-11,0.415,0.42,0.4145,0.419,23214,,,,,,,,
11:40AM_2020-11-11,0.4192,0.424,0.4192,0.42100000000000004,14882,,,,,,,,
11:45AM_2020-11-11,0.42100000000000004,0.42100000000000004,0.4143,0.4177,5744,,,,,,,,
11:50AM_2020-11-11,0.419,0.419,0.396,0.4014,30017,0.416,,,,,,,
11:55AM_2020-11-11,0.4017,0.4095,0.4015,0.4062,10770,0.414,,,,,,,
12:00PM_2020-11-11,0.4068,0.4096,0.4068,0.4092,3000,0.412,,,,,,,
12:05PM_2020-11-11,0.4088,0.4088,0.4047,0.405,3400,0.41,0.413,,,,,,
12:10PM_2020-11-11,0.4048,0.4048,0.39545,0.39545,12052,0.406,0.41,0.411,,,,,
12:15PM_2020-11-11,0.3951,0.3999,0.3951,0.3996,7400,0.403,0.408,0.409,,,,,
12:20PM_2020-11-11,0.4003,0.4004,0.3986,0.3986,8745,0.402,0.406,0.407,,,,,
12:25PM_2020-11-11,0.3902,0.3919,0.3814,0.3818,8000,0.398,0.402,0.404,,,,,
12:30PM_2020-11-11,0.3817,0.3964,0.381,0.3944,12474,0.396,0.399,0.401,,,,,
12:35PM_2020-11-11,0.39475,0.3948,0.391,0.391,3400,0.393,0.398,0.398,,33.35,,,
12:40PM_2020-11-11,0.3902,0.3904,0.3822,0.3822,8275,0.391,0.395,0.396,,30.08,,,
12:45PM_2020-11-11,0.3822,0.3933,0.3821,0.3921,6437,0.39,0.393,0.395,,37.51,,,
12:50PM_2020-11-11,0.395,0.395,0.3901,0.3909,6127,0.389,0.392,0.393,,37.0,,,
12:55PM_2020-11-11,0.386,0.3937,0.3855,0.3903,17658,0.39,0.391,0.392,,36.73,,,
01:05PM_2020-11-11,0.43,0.43,0.43,0.43,100,0.396,0.395,0.395,0.403,58.4,,,
01:20PM_2020-11-11,0.4,0.4,0.4,0.4,3119,0.398,0.395,0.395,0.402,45.67,,,
01:30PM_2020-11-11,0.375,0.375,0.375,0.375,700,0.396,0.394,0.393,0.4,38.2,,,
01:35PM_2020-11-11,0.31,0.33,0.31,0.33,8603,0.386,0.387,0.388,0.396,29.0,,,
01:40PM_2020-11-11,0.33,0.35,0.32,0.35,8653,0.379,0.382,0.383,0.392,36.34,,,
01:45PM_2020-11-11,0.3548,0.3548,0.3548,0.3548,100,0.373,0.379,0.38,0.389,37.99,,,
05:00AM_2020-11-12,0.3495,0.3495,0.3495,0.3495,1407,0.36,0.375,0.376,0.386,36.85,-0.02,,
05:15AM_2020-11-12,0.35,0.35,0.35,0.35,100,0.352,0.37,0.372,0.383,37.04,-0.02,,
06:30AM_2020-11-12,0.3381,0.35,0.335,0.348,50647,0.347,0.365,0.368,0.38,36.57,-0.02,,
06:35AM_2020-11-12,0.3456,0.3456,0.3433,0.3433,42762,0.349,0.356,0.363,0.377,35.41,-0.02,,
06:40AM_2020-11-12,0.3411,0.3411,0.3321,0.3344,6562,0.347,0.348,0.354,0.374,33.26,-0.02,,
06:45AM_2020-11-12,0.3363,0.3431,0.3363,0.3385,56101,0.344,0.344,0.347,0.371,35.21,-0.02,,
06:50AM_2020-11-12,0.3437,0.3437,0.3412,0.342,16971,0.343,0.346,0.344,0.368,36.9,-0.02,,
06:55AM_2020-11-12,0.348,0.3615,0.348,0.35700000000000004,8504,0.344,0.346,0.347,0.367,43.7,-0.02,,
07:00AM_2020-11-12,0.3684,0.3684,0.3555,0.36200000000000004,8200,0.346,0.347,0.348,0.366,45.8,-0.02,-0.02,0.003293099476813468
07:05AM_2020-11-12,0.36,0.36,0.3581,0.3581,20100,0.349,0.348,0.348,0.364,44.41,-0.02,-0.02,0.003856570188474271
07:15AM_2020-11-12,0.3625,0.3625,0.3625,0.3625,1100,0.353,0.35,0.35,0.363,46.38,-0.01,-0.02,0.0044668395155031786
07:20AM_2020-11-12,0.3545,0.3545,0.35100000000000003,0.3511,4460,0.355,0.35,0.35,0.361,42.2,-0.01,-0.02,0.004055950062336264
07:25AM_2020-11-12,0.3537,0.358,0.3537,0.3575,21600,0.358,0.351,0.351,0.359,45.19,-0.01,-0.02,0.004153267658301318
07:30AM_2020-11-12,0.3571,0.358,0.3571,0.358,26097,0.358,0.354,0.352,0.358,45.43,-0.01,-0.02,0.004178027684228303
07:35AM_2020-11-12,0.3576,0.3576,0.354,0.354,1815,0.357,0.356,0.354,0.354,43.79,-0.01,-0.01,0.0038593100120561195
07:40AM_2020-11-12,0.3512,0.3538,0.341,0.3423,16124,0.354,0.356,0.354,0.351,39.33,-0.01,-0.01,0.0028418227204437176
07:45AM_2020-11-12,0.3445,0.3514,0.3445,0.3514,13864,0.352,0.355,0.355,0.35,44.1,-0.01,-0.01,0.0027606288525135504
07:50AM_2020-11-12,0.3504,0.3504,0.3452,0.3452,6360,0.351,0.353,0.354,0.35,41.7,-0.01,-0.01,0.0022878395922700835
07:55AM_2020-11-12,0.3477,0.349,0.3477,0.349,3100,0.35,0.352,0.353,0.35,43.72,-0.01,-0.01,0.0022273525098206945
08:00AM_2020-11-12,0.3442,0.3442,0.3425,0.3425,1900,0.347,0.35,0.351,0.35,41.09,-0.01,-0.01,0.0017660607533653335
08:05AM_2020-11-12,0.344,0.344,0.335,0.335,5300,0.344,0.348,0.349,0.349,38.24,-0.01,-0.01,0.0010098911947298336
08:10AM_2020-11-12,0.335,0.3403,0.335,0.3389,34700,0.344,0.346,0.347,0.349,40.55,-0.01,-0.01,0.0008337572214033584
08:20AM_2020-11-12,0.33299999999999996,0.3342,0.3312,0.3342,1025,0.341,0.344,0.345,0.348,38.67,-0.01,-0.01,0.00047967933953014727
08:25AM_2020-11-12,0.336,0.336,0.335,0.335,2100,0.339,0.342,0.343,0.347,39.19,-0.01,-0.01,0.00038253487553313245
08:30AM_2020-11-12,0.33399999999999996,0.33399999999999996,0.33399999999999996,0.33399999999999996,1000,0.337,0.341,0.341,0.347,38.75,-0.01,-0.01,0.00033578010432781975
08:40AM_2020-11-12,0.3365,0.3365,0.3365,0.3365,500,0.336,0.339,0.34,0.347,40.54,-0.01,-0.01,0.0005456560913016505
08:45AM_2020-11-12,0.3365,0.3367,0.33,0.332,10000,0.335,0.337,0.338,0.347,38.36,-0.01,-0.01,0.00045741391236681084
08:50AM_2020-11-12,0.3345,0.3345,0.3311,0.3311,1130,0.334,0.335,0.337,0.346,37.92,-0.01,-0.01,0.00041564389429407135
08:55AM_2020-11-12,0.3307,0.3307,0.325,0.325,158214,0.332,0.334,0.334,0.344,35.0,-0.01,-0.01,7.239219134033865e-05
09:00AM_2020-11-12,0.324,0.324,0.3112,0.3131,45651,0.329,0.331,0.331,0.341,30.12,-0.01,-0.01,-0.0008121360161505321
09:05AM_2020-11-12,0.3155,0.3214,0.3155,0.3201,14200,0.326,0.329,0.33,0.339,35.79,-0.01,-0.01,-0.0007815525517537291
09:10AM_2020-11-12,0.318,0.318,0.3155,0.3155,600,0.323,0.327,0.328,0.338,33.85,-0.01,-0.01,-0.000917501639744963
09:15AM_2020-11-12,0.3151,0.3151,0.3141,0.3141,582,0.32,0.325,0.326,0.335,33.25,-0.01,-0.01,-0.000944395733418665
09:20AM_2020-11-12,0.319,0.319,0.3026,0.3046,600,0.315,0.321,0.323,0.333,29.48,-0.01,-0.01,-0.0014162970445846714
