Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
08:45AM_2020-10-07,1.99,1.99,1.99,1.99,100,,,,,,,,
07:15AM_2020-10-08,1.89,1.89,1.8,1.8,2500,,,,,,,,
10:05AM_2020-10-08,2.02,2.02,2.02,2.02,192,,,,,,,,
07:05AM_2020-10-09,2.0,2.0,2.0,2.0,100,,,,,,,,
09:05AM_2020-10-13,1.9,1.9,1.9,1.9,100,,,,,,,,
08:50AM_2020-10-14,1.87,1.87,1.87,1.87,100,1.93,,,,,,,
10:45AM_2020-10-22,1.55,1.55,1.55,1.55,200,1.86,,,,,,,
12:00PM_2020-10-22,1.59,1.59,1.59,1.59,100,1.82,,,,,,,
07:05AM_2020-10-23,1.765,1.765,1.765,1.765,900,1.78,1.83,,,,,,
07:20AM_2020-10-23,2.005,2.005,2.005,2.005,100,1.78,1.83,1.85,,,,,
07:25AM_2020-10-23,2.055,2.055,1.97,1.97,300,1.79,1.85,1.85,,,,,
07:30AM_2020-10-23,2.025,2.025,2.025,2.025,100,1.82,1.85,1.87,,,,,
07:35AM_2020-10-23,2.145,2.189,2.145,2.189,300,1.92,1.87,1.89,,,,,
07:40AM_2020-10-23,2.21,2.445,2.21,2.445,1221,2.07,1.93,1.93,,,,,
07:45AM_2020-10-23,2.451,2.84,2.37,2.8,7697,2.24,2.04,2.02,,68.41,,,
07:50AM_2020-10-23,2.88,3.179,2.741,2.97,16602,2.4,2.2,2.13,,70.84,,,
07:55AM_2020-10-23,2.9189999999999996,2.9189999999999996,2.571,2.6310000000000002,10895,2.51,2.31,2.24,,60.8,,,
08:00AM_2020-10-23,2.59,2.65,2.41,2.42,8199,2.58,2.38,2.32,,55.53,,,
08:05AM_2020-10-23,2.459,2.49,2.22,2.22,10271,2.58,2.41,2.37,,51.02,,,
08:10AM_2020-10-23,2.23,2.27,2.15,2.27,3210,2.55,2.44,2.39,2.12,52.07,,,
08:15AM_2020-10-23,2.29,2.43,2.249,2.43,6490,2.49,2.49,2.44,2.14,55.36,,,
08:20AM_2020-10-23,2.339,2.41,2.25,2.41,2410,2.4,2.51,2.48,2.17,54.85,,,
08:25AM_2020-10-23,2.401,2.45,2.27,2.421,2902,2.36,2.51,2.5,2.19,55.1,,,
08:30AM_2020-10-23,2.45,2.45,2.26,2.26,3486,2.34,2.45,2.48,2.21,50.78,,,
08:35AM_2020-10-23,2.295,2.295,2.08,2.109,2030,2.32,2.35,2.41,2.22,47.05,,,
08:40AM_2020-10-23,2.08,2.1590000000000003,2.05,2.1590000000000003,600,2.3,2.3,2.33,2.23,48.4,0.12,,
08:45AM_2020-10-23,2.14,2.161,2.14,2.161,800,2.25,2.27,2.29,2.26,48.45,0.1,,
08:55AM_2020-10-23,2.04,2.04,1.94,1.94,2706,2.18,2.24,2.24,2.28,42.86,0.07,,
09:00AM_2020-10-23,1.97,1.98,1.969,1.979,500,2.1,2.21,2.21,2.29,44.08,0.04,,
