Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
08:20AM_2020-10-26,220.0,220.0,220.0,220.0,103,,,,,,,,
08:25AM_2020-10-26,219.86,219.86,219.86,219.86,100,,,,,,,,
08:30AM_2020-10-26,219.86,219.86,219.86,219.86,100,,,,,,,,
08:35AM_2020-10-26,219.3,219.775,219.3,219.62,543,,,,,,,,
08:40AM_2020-10-26,219.79,219.79,219.76,219.76,258,,,,,,,,
08:45AM_2020-10-26,219.27,219.63,219.27,219.63,218,219.78833333333333,,,,,,,
08:50AM_2020-10-26,219.345,220.165,219.345,220.165,363,219.81583333333333,,,,,,,
08:55AM_2020-10-26,220.23,220.56,220.12,220.45,800,219.9141666666667,,,,,,,
09:00AM_2020-10-26,219.63,219.63,219.63,219.63,168,219.87583333333336,219.8861111111111,,,,,,
09:05AM_2020-10-26,219.62,219.62,219.62,219.62,185,219.87583333333336,219.84388888888887,219.85949999999997,,,,,
09:10AM_2020-10-26,219.83,219.83,219.83,219.83,266,219.88750000000002,219.8405555555555,219.84249999999997,,,,,
09:15AM_2020-10-26,219.99,219.99,219.99,219.99,102,219.9475,219.8549999999999,219.85549999999998,,,,,
09:20AM_2020-10-26,219.79,219.79,219.79,219.79,100,219.885,219.8738888888888,219.84849999999997,,,,,
09:30AM_2020-10-26,219.51,219.51,219.36,219.36,202,219.70333333333335,219.8294444444444,219.8225,,,,,
09:40AM_2020-10-26,219.08,219.08,219.08,219.08,101,219.61166666666668,219.7683333333333,219.7545,,37.15083798882684,,,
09:45AM_2020-10-26,218.98,218.98,218.98,218.98,110,219.50500000000002,219.63666666666663,219.6895,,36.06591572799309,,,
09:50AM_2020-10-26,218.365,218.365,218.365,218.365,103,219.26083333333338,219.40499999999992,219.50950000000003,,30.2207701409056,,,
09:55AM_2020-10-26,218.37,218.425,218.37,218.425,205,219.00000000000003,219.27111111111103,219.30700000000007,,31.389065156729217,,,
10:05AM_2020-10-26,218.19,218.19,218.19,218.19,104,218.73333333333338,219.11222222222216,219.16300000000007,,29.318586866682807,,,
10:10AM_2020-10-26,218.65,218.89,218.65,218.89,301,218.65500000000006,219.0077777777777,219.09000000000006,219.47475,41.662549679395234,,,
10:15AM_2020-10-26,218.795,218.86,218.715,218.715,769,218.59416666666672,218.86611111111105,218.97850000000008,219.4105,39.79158614105129,,,
10:20AM_2020-10-26,218.92,218.92,218.92,218.92,103,218.58416666666673,218.76944444444436,218.8715000000001,219.36350000000002,43.01967089359709,,,
10:25AM_2020-10-26,218.19,218.19,218.19,218.19,123,218.55500000000006,218.63944444444436,218.71150000000011,219.28000000000003,35.68294750123279,,,
10:30AM_2020-10-26,218.0,218.0,217.9,217.9,230,218.4675000000001,218.50833333333327,218.5655000000001,219.19400000000002,33.2564972668313,,,
10:35AM_2020-10-26,217.95,217.95,217.9,217.9,233,218.41916666666677,218.38833333333326,218.44750000000013,219.10099999999997,33.25649726683132,,,
10:40AM_2020-10-26,218.23,218.23,218.23,218.23,100,218.30916666666675,218.37333333333328,218.37250000000012,219.03099999999995,38.752934369417225,-0.672891415355565,,
10:45AM_2020-10-26,218.37,218.37,218.37,218.37,144,218.25166666666675,218.36722222222218,218.37300000000013,218.94124999999994,40.97376840340945,-0.6360407088949955,,
10:50AM_2020-10-26,218.49,218.71,218.49,218.71,203,218.21666666666673,218.42499999999993,218.4015000000001,218.85424999999995,46.086617370333954,-0.572798238489753,,
11:00AM_2020-10-26,218.91,218.91,218.75,218.85,493,218.3266666666667,218.4205555555555,218.46750000000011,218.81524999999996,48.08086531906221,-0.5055535880185005,,
11:05AM_2020-10-26,219.12,219.12,219.12,219.12,200,218.53000000000006,218.46555555555548,218.4905000000001,218.79024999999996,51.78498722192302,-0.4255692768172139,,
11:10AM_2020-10-26,219.04,219.04,219.04,219.04,102,218.72000000000003,218.47888888888883,218.52300000000008,218.75074999999998,50.63233916284568,-0.36443547998635495,,
11:15AM_2020-10-26,219.07,219.45,219.07,219.29,561,218.89666666666668,218.60111111111104,218.5600000000001,218.71574999999999,54.07265927740514,-0.2924424997913775,,
11:25AM_2020-10-26,219.12,219.12,219.1,219.1,205,219.01833333333335,218.73444444444436,218.65100000000007,218.68125,51.15494854613662,-0.24786176032478124,,
11:30AM_2020-10-26,219.685,219.995,219.685,219.995,439,219.2325,218.96722222222212,218.86050000000006,218.71300000000002,61.65188642063735,-0.1387131837019524,-0.42847846126449934,0.28976527756254694
11:35AM_2020-10-26,219.84,219.84,219.83,219.83,372,219.39583333333334,219.14499999999987,219.05350000000004,218.75050000000002,59.12905302448012,-0.06477953325725139,-0.3557386756630498,0.2909591424057984
11:40AM_2020-10-26,220.23,220.23,219.92,219.92,493,219.5291666666667,219.3172222222221,219.22250000000003,218.79750000000004,60.0884191511166,0.001063406928835775,-0.2843782591446727,0.28544166607350846
