Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
10:10AM_2020-10-26,208.94,209.0,208.735,208.835,754,,,,,,,,
10:15AM_2020-10-26,208.68,208.68,207.98,208.055,1330,,,,,,,,
10:20AM_2020-10-26,208.055,208.11,207.99,208.0,783,,,,,,,,
10:25AM_2020-10-26,208.01,208.01,207.79,207.84,480,,,,,,,,
10:30AM_2020-10-26,207.83,207.99,207.78,207.91,1047,,,,,,,,
10:35AM_2020-10-26,208.03,208.1,207.93,208.055,1228,208.11583333333337,,,,,,,
10:40AM_2020-10-26,207.69,208.06,207.61,207.61,1204,207.91166666666672,,,,,,,
10:45AM_2020-10-26,207.565,207.92,207.35,207.92,1059,207.8891666666667,,,,,,,
10:50AM_2020-10-26,207.9,208.3,207.76,208.3,1127,207.9391666666667,208.05833333333337,,,,,,
10:55AM_2020-10-26,208.16,208.2,208.055,208.2,984,207.99916666666672,207.9877777777778,208.07250000000005,,,,,
11:00AM_2020-10-26,208.19,208.49,207.93,208.49,879,208.0958333333334,208.03611111111113,208.038,,,,,
11:05AM_2020-10-26,208.63,208.69,208.12,208.12,5432,208.10666666666668,208.04944444444448,208.04450000000003,,,,,
11:10AM_2020-10-26,208.13,208.58,208.13,208.485,3353,208.25249999999997,208.12111111111116,208.09300000000002,,,,,
11:15AM_2020-10-26,208.7,209.17,208.7,209.17,892,208.4608333333333,208.26111111111112,208.22600000000003,,,,,
11:20AM_2020-10-26,208.64,209.08,208.6,209.08,729,208.5908333333333,208.37500000000003,208.34300000000002,,52.88574793875152,,,
11:25AM_2020-10-26,209.14,210.02,209.05,209.97,1330,208.8858333333333,208.63722222222225,208.53450000000004,,61.564047601448664,,,
11:30AM_2020-10-26,210.01,210.01,209.53,209.53,1148,209.05916666666664,208.81611111111113,208.72650000000004,,56.065760517799305,,,
11:35AM_2020-10-26,209.5,209.915,209.5,209.915,600,209.35833333333326,208.9955555555556,208.92600000000002,,59.476147841609816,,,
11:40AM_2020-10-26,209.895,209.895,209.6,209.625,1192,209.54833333333326,209.1538888888889,209.0585,,55.952885115748664,,,
11:45AM_2020-10-26,209.5,209.5,208.855,208.855,609,209.49583333333325,209.19444444444443,209.12400000000002,208.59825,47.84805531760009,,,
11:50AM_2020-10-26,209.04,209.2,209.04,209.2,690,209.51583333333326,209.31444444444443,209.195,208.6165,51.25499603955263,,,
11:55AM_2020-10-26,209.01,209.18,208.87,209.08,1258,209.36749999999992,209.38055555555553,209.291,208.66774999999998,50.030724657992685,,,
12:00PM_2020-10-26,208.9,209.31,208.9,209.07,909,209.29083333333324,209.3694444444444,209.34949999999998,208.72124999999997,49.92370790640168,,,
12:05PM_2020-10-26,208.81,208.95,208.75,208.75,1867,209.09666666666658,209.33277777777778,209.30749999999998,208.76674999999994,46.49628358708026,,,
12:10PM_2020-10-26,208.9,208.93,208.49,208.55,2147,208.9174999999999,209.175,209.2545,208.79874999999998,44.44263766352593,,,
12:15PM_2020-10-26,208.63,209.025,208.56,208.78,1835,208.9049999999999,209.09166666666667,209.13550000000004,208.83499999999995,47.324029966168546,0.2527846718392368,,
12:20PM_2020-10-26,208.62,208.78,208.62,208.62,978,208.8083333333332,208.9477777777778,209.04450000000003,208.88549999999995,45.55406472629442,0.20998282225974663,,
12:25PM_2020-10-26,208.4,208.86,208.4,208.86,1286,208.77166666666653,208.8627777777778,208.93900000000002,208.93249999999995,48.65610728198696,0.19320094213614425,,
12:30PM_2020-10-26,208.905,209.07,208.51,209.07,1172,208.77166666666653,208.8866666666667,208.88350000000005,208.97099999999992,51.27219255282786,0.19460316207192818,,
12:35PM_2020-10-26,209.07,209.23,208.69,209.23,1847,208.85166666666655,208.89000000000004,208.92100000000005,209.0224999999999,53.22760373792454,0.2062476003455629,,
12:40PM_2020-10-26,209.24,209.49,209.24,209.39,1097,208.99166666666653,208.9244444444445,208.94000000000005,209.06749999999994,55.16519083469946,0.22578386850474885,,
12:45PM_2020-10-26,209.27,209.3,209.0,209.0,2374,209.0283333333332,208.91666666666674,208.93200000000007,209.11149999999992,49.7547183459123,0.2074059148573042,,
12:50PM_2020-10-26,208.94,209.43,208.94,209.35,3537,209.14999999999986,208.98333333333343,208.96000000000004,209.15474999999998,54.10505661184447,0.21856386097559266,,
12:55PM_2020-10-26,209.38,209.82,209.38,209.65,7789,209.28166666666652,209.10555555555567,209.05000000000004,209.17874999999995,57.50160759815633,0.2487467092338136,0.21747995024711977,0.031266758986693816
06:30AM_2020-10-27,211.16,211.38,210.725,211.19,1208,209.63499999999988,209.37333333333342,209.31400000000002,209.28424999999993,69.8406090683647,0.39240852243634095,0.252465664684964,0.13994285775137694
06:35AM_2020-10-27,212.45,212.92,212.45,212.57,1278,210.19166666666652,209.81222222222232,209.69300000000004,209.4142499999999,76.4414482452959,0.6105776521826272,0.32408806218449665,0.2864895899981305
06:40AM_2020-10-27,212.21,212.95,212.21,212.95,279,210.78499999999985,210.26666666666674,210.12600000000003,209.58524999999992,77.87728232015024,0.8048631224717724,0.42024307424195184,0.38462004822982054
06:45AM_2020-10-27,212.86,213.02,212.7,212.73,502,211.40666666666652,210.6733333333334,210.513,209.72599999999989,75.02630986938641,0.9303589966587538,0.5222662587253123,0.4080927379334415
06:50AM_2020-10-27,212.05,212.21,211.39,211.85,1217,211.82333333333318,210.96444444444452,210.791,209.8372499999999,64.80644595548259,0.9478801630826297,0.6073890395967758,0.34049112348585386
06:55AM_2020-10-27,212.03,212.115,211.74,212.115,592,212.2341666666665,211.26722222222236,211.07949999999997,210.0002499999999,66.29535828561521,0.971945120673098,0.6803002558120403,0.2916448648610577
07:00AM_2020-10-27,211.835,211.835,211.835,211.835,223,212.3416666666665,211.58222222222236,211.32399999999998,210.13199999999992,63.250501878041746,0.9573869521678944,0.7357175950832112,0.22166935708468316
07:05AM_2020-10-27,210.87,211.41,210.87,211.41,641,212.1483333333332,211.81111111111125,211.56499999999997,210.24849999999992,58.83353426530212,0.9011674531718938,0.7688075667009477,0.1323598864709461
07:10AM_2020-10-27,211.11,211.71,211.08,211.63,909,211.92833333333317,212.03111111111124,211.79299999999998,210.37649999999994,60.376073374450876,0.8644009801331265,0.7879262493873835,0.07647473074574296
07:15AM_2020-10-27,211.21,211.42,210.82,210.82,982,211.60999999999981,211.99000000000012,211.91,210.47999999999993,52.5661653553103,0.7611292308277768,0.7825668456754622,-0.02143761484768536
07:20AM_2020-10-27,210.5,210.5,210.48,210.5,3001,211.38499999999985,211.76000000000013,211.84099999999998,210.57749999999993,49.82414573363418,0.6460174132144516,0.7552569591832601,-0.10923954596880847
07:25AM_2020-10-27,210.33,210.38,209.94,210.06,2438,211.04249999999982,211.43888888888904,211.58999999999997,210.64149999999995,46.25159536562047,0.513368354819761,0.7068792383105603,-0.19351088349079937
07:30AM_2020-10-27,210.26,210.26,210.0,210.07,1546,210.74833333333314,211.1433333333335,211.302,210.71399999999994,46.345757127693325,0.40438839904254564,0.6463810704569574,-0.24199267141441172
07:35AM_2020-10-27,210.64,211.13,210.56,211.04,810,210.68666666666647,211.05333333333348,211.13299999999998,210.82299999999995,54.645841871030235,0.39177574538183535,0.595460005441933,-0.20368426006009765
07:40AM_2020-10-27,210.01,210.32,210.01,210.32,300,210.4683333333331,210.85388888888906,210.98000000000002,210.88549999999995,48.63207360625657,0.3199934583783204,0.5403666960292105,-0.22037323765089012
07:45AM_2020-10-27,210.55,211.27,210.55,211.27,506,210.5433333333331,210.7911111111113,210.8955,210.9875,55.5784604604895,0.3358906015137393,0.4994714771261163,-0.163580875612377
07:50AM_2020-10-27,210.76,210.84,210.28,210.34,1636,210.51666666666642,210.67222222222242,210.746,211.035,48.64361481572499,0.2703297808760965,0.4536431378761124,-0.1833133570000159
07:55AM_2020-10-27,210.58,210.85,210.515,210.85,806,210.64833333333308,210.58555555555574,210.69,211.1275,52.16828247055392,0.2565675449819196,0.4142280192972739,-0.1576604743153543
08:00AM_2020-10-27,210.72,210.72,210.69,210.69,480,210.75166666666644,210.57111111111132,210.596,211.19449999999998,50.98603217505966,0.23009778700233596,0.3774019728382863,-0.14730418583595034
08:05AM_2020-10-27,210.55,210.55,210.51,210.51,204,210.6633333333331,210.57222222222242,210.565,211.2375,49.62355885803692,0.1923782012690083,0.3403972185244307,-0.14801901725542244
08:10AM_2020-10-27,210.63,211.11,210.63,211.11,993,210.79499999999982,210.68888888888912,210.62600000000003,211.2335,54.03302621387377,0.20849672297345023,0.31401711941423466,-0.10552039644078443
08:15AM_2020-10-27,210.7,210.7,210.5,210.5,1972,210.6666666666665,210.7366666666669,210.67000000000002,211.13000000000002,49.307651686862755,0.1700881947023163,0.285231334471851,-0.11514313976953472
08:20AM_2020-10-27,210.59,211.19,210.59,211.19,2217,210.80833333333317,210.75333333333356,210.782,211.042,54.1880946137886,0.19310045096051454,0.2668051577695837,-0.07370470680906915
08:25AM_2020-10-27,211.05,211.06,211.05,211.06,210,210.84333333333316,210.83555555555577,210.78400000000002,210.95850000000004,53.149854386070146,0.1985590511518467,0.2531559364460363,-0.0545968852941896
08:30AM_2020-10-27,210.84,210.84,210.315,210.315,326,210.78083333333316,210.72944444444465,210.7835,210.88175,47.529602758738434,0.14114275157353973,0.230753299471537,-0.08961054789799727
08:35AM_2020-10-27,210.64,210.64,210.64,210.64,143,210.8024999999998,210.76277777777798,210.7205,210.80800000000005,50.012871066077494,0.12047593279766033,0.2086978261367617,-0.08822189333910135
08:40AM_2020-10-27,210.7,210.7,210.54,210.58,645,210.7141666666665,210.732777777778,210.74449999999996,210.74525000000003,49.54666672945982,0.09812471087587937,0.18658320308458523,-0.08845849220870586
08:45AM_2020-10-27,210.3,210.3,210.2,210.2,256,210.6641666666665,210.67833333333354,210.67949999999996,210.68475000000004,46.58486236538151,0.049181449132277066,0.1591028522941236,-0.10992140316184654
08:50AM_2020-10-27,209.95,210.06,209.92,209.95,1409,210.45749999999984,210.6161111111113,210.60549999999995,210.60075,44.69202602794153,-0.00966790350599922,0.12534870113409904,-0.13501660464009826
08:55AM_2020-10-27,209.51,210.18,209.49,210.06,1408,210.29083333333315,210.49944444444463,210.56049999999996,210.56275000000005,45.736773245714794,-0.04688984185781919,0.0909009925357154,-0.1377908343935346
09:00AM_2020-10-27,210.14,210.14,209.845,209.99,2145,210.23666666666648,210.44277777777793,210.4484999999999,210.53725000000003,45.15226179721964,-0.08110201758236713,0.0565003905120989,-0.13760240809446603
09:05AM_2020-10-27,209.8,209.89,209.58,209.77,898,210.09166666666647,210.28500000000017,210.37549999999993,210.52275000000003,43.280175611147925,-0.12453204679582086,0.02029390305051495,-0.14482594984633582
09:10AM_2020-10-27,209.75,209.75,209.525,209.525,508,209.91583333333315,210.11444444444462,210.20899999999992,210.49550000000005,41.23001489712552,-0.17668341387991404,-0.01910156033557085,-0.1575818535443432
09:15AM_2020-10-27,209.17,209.4,209.17,209.4,323,209.78249999999983,210.01277777777796,210.04299999999995,210.41350000000003,40.184134264003646,-0.22550077083892006,-0.06038140243624069,-0.16511936840267938
09:20AM_2020-10-27,209.705,209.705,209.285,209.285,724,209.6716666666665,209.86222222222239,209.9399999999999,210.36175000000003,39.19895418738557,-0.2703519676490487,-0.1023755154788023,-0.16797645217024637
09:25AM_2020-10-27,209.37,209.37,209.34,209.34,319,209.5516666666665,209.72444444444466,209.80999999999995,210.26525,39.95713354167985,-0.2980233957179905,-0.14150509152663995,-0.15651830419135057
09:35AM_2020-10-27,209.045,209.78,209.045,209.78,630,209.5166666666665,209.677777777778,209.72999999999996,210.23725,45.781916375376554,-0.2812072963906189,-0.16944553249943575,-0.11176176389118317
09:40AM_2020-10-27,209.63,209.63,209.54,209.54,280,209.47833333333315,209.63222222222245,209.664,210.17174999999997,43.313680512864096,-0.2839729473860757,-0.19235101547676375,-0.09162193190931195
09:55AM_2020-10-27,209.9,209.9,209.9,209.9,123,209.54083333333315,209.61444444444467,209.65900000000002,210.13224999999997,47.854992771450554,-0.25418566030404577,-0.2047179444422202,-0.04946771586182558
10:00AM_2020-10-27,209.8,209.8,209.8,209.8,108,209.60749999999982,209.5933333333336,209.63300000000004,210.09675,46.734968984998225,-0.23592854751549908,-0.21096006505687598,-0.024968482458623098
10:10AM_2020-10-27,209.695,209.695,209.66,209.66,222,209.66999999999982,209.58111111111137,209.6,210.02425,45.14204893984207,-0.2301039885214493,-0.21478884974979068,-0.015315138771658632
10:20AM_2020-10-27,209.62,209.86,209.46,209.86,458,209.75666666666646,209.6183333333336,209.609,209.99224999999996,47.875316176921636,-0.20696390397029063,-0.2132238605938907,0.0062599566236000714
10:25AM_2020-10-27,209.82,209.97,209.82,209.97,556,209.78833333333316,209.6816666666669,209.65349999999998,209.93125,49.36949355649849,-0.1777007163137796,-0.2061192317378685,0.028418515424088908
10:30AM_2020-10-27,209.86,209.945,209.86,209.945,207,209.85583333333315,209.75500000000022,209.708,209.87549999999996,49.025529530356266,-0.15474294004368971,-0.19584397339903276,0.04110103335534304
10:35AM_2020-10-27,209.9,210.23,209.9,210.23,711,209.91083333333313,209.85388888888912,209.8025,209.87124999999997,53.04207582117037,-0.11225758325039692,-0.1791266953693056,0.06686911211890867
10:40AM_2020-10-27,210.24,210.69,210.24,210.69,684,210.05916666666647,209.9550000000002,209.9375,209.87374999999992,58.698747024726856,-0.040996889657350266,-0.1515007342269145,0.11050384456956425
10:45AM_2020-10-27,210.69,210.81,210.69,210.715,400,210.2349999999998,210.08555555555574,210.031,209.88049999999993,58.9879021475775,0.017295641102549553,-0.1177414591610217,0.13503710026357124
10:55AM_2020-10-27,210.75,210.75,210.5,210.66,401,210.3683333333331,210.1700000000002,210.14299999999997,209.90349999999995,58.025418609769176,0.058381861599826834,-0.082516795008852,0.14089865660867884
11:00AM_2020-10-27,210.54,210.54,210.455,210.455,202,210.44916666666643,210.24277777777795,210.19849999999997,209.92874999999995,54.45866426538793,0.07355332368064182,-0.05130277127095324,0.12485609495159507
11:05AM_2020-10-27,210.22,210.65,210.22,210.65,777,210.56666666666646,210.35277777777793,210.28349999999995,209.9582499999999,57.15644033173484,0.10015713786154379,-0.021010789444453837,0.12116792730599762
11:10AM_2020-10-27,210.5,210.5,210.335,210.44,611,210.60166666666646,210.41722222222234,210.36149999999998,209.9807499999999,53.48211130784061,0.10310705338375215,0.003812779121187361,0.09929427426256479
11:15AM_2020-10-27,210.15,210.15,210.15,210.15,100,210.51166666666646,210.43722222222235,210.39049999999997,209.99974999999986,48.81518252101415,0.08110932846946639,0.019272088990843168,0.06183723947862323
11:20AM_2020-10-27,210.01,210.23,210.01,210.17,498,210.42083333333315,210.46222222222232,210.4105,210.03199999999987,49.14477318942923,0.06454576247145383,0.0283268236869653,0.03621893878448852
11:25AM_2020-10-27,210.31,210.52,210.31,210.425,997,210.38166666666646,210.483888888889,210.45850000000002,210.0832499999999,53.275909042420466,0.07117492572118067,0.03689644409380838,0.03427848162737229
11:30AM_2020-10-27,210.41,210.41,210.12,210.18,553,210.33583333333317,210.4272222222223,210.4535,210.12799999999993,49.14519148742414,0.05601344478324677,0.040719844231696056,0.015293600551550712
11:35AM_2020-10-27,209.92,210.22,209.92,210.14,554,210.25083333333313,210.3633333333334,210.39849999999996,210.16799999999995,48.484233648950365,0.04030557858081352,0.040636991101519554,-0.000331412520706037
11:40AM_2020-10-27,209.625,209.77,209.59,209.6,955,210.1108333333331,210.24555555555563,210.28699999999995,210.15899999999996,40.554627847847186,-0.015537400108627253,0.029402112859490195,-0.04493951296811745
11:45AM_2020-10-27,209.08,209.305,209.01,209.26,1939,209.96249999999975,210.11277777777786,210.14699999999993,210.14499999999998,36.50619053124935,-0.08623446432275728,0.006274797423040702,-0.09250926174579797
11:50AM_2020-10-27,209.265,209.265,208.81,209.05,2436,209.77583333333305,209.9350000000001,210.00649999999996,210.10250000000002,34.233092363919695,-0.15739330991135603,-0.026458824043838647,-0.13093448586751738
11:55AM_2020-10-27,208.87,209.63,208.87,209.63,1933,209.6433333333331,209.8450000000001,209.90449999999996,210.094,44.50994667971326,-0.1650830799889036,-0.05418367523285164,-0.11089940475605195
12:00PM_2020-10-27,209.4,209.57,209.37,209.37,720,209.5083333333331,209.7583333333334,209.79749999999996,210.0795,41.38778759812006,-0.1899672807051047,-0.08134039632730226,-0.10862688437780245
12:05PM_2020-10-27,209.26,209.28,208.93,208.93,937,209.30666666666647,209.6205555555556,209.67549999999991,210.03300000000004,36.69655217902205,-0.24239829516127998,-0.11355197609409781,-0.12884631906718216
12:10PM_2020-10-27,209.01,209.02,208.97,209.02,594,209.2099999999998,209.4644444444445,209.5604999999999,209.98550000000006,38.23863056246402,-0.27353486437726815,-0.1455485537507319,-0.12798631062653626
12:15PM_2020-10-27,208.87,208.95,208.775,208.95,1212,209.15833333333316,209.32777777777784,209.41299999999987,209.93575000000004,37.474003971275906,-0.30039645149091143,-0.1765181332987678,-0.12387831819214362
