Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram,Delta_SMA6_SMA20
08:30AM_2020-11-20,62.69,62.71,62.63,62.7,946,,,,,,,,,
08:35AM_2020-11-20,62.72,62.75,62.71,62.75,873,,,,,,,,,
08:40AM_2020-11-20,62.681000000000004,62.681000000000004,62.601000000000006,62.601000000000006,700,,,,,,,,,
08:45AM_2020-11-20,62.601000000000006,62.66,62.31,62.31,2522,,,,,,,,,
08:50AM_2020-11-20,62.36,62.4,62.36,62.38,500,,,,,,,,,
08:55AM_2020-11-20,62.4,62.44,62.4,62.42,600,62.527,,,,,,,,
09:00AM_2020-11-20,62.35,62.51,62.35,62.46,1101,62.487,,,,,,,,
09:05AM_2020-11-20,62.47,62.47,62.44,62.44,569,62.435,,,,,,,,
09:10AM_2020-11-20,62.42,62.42,62.38,62.4,647,62.402,62.496,,,,,,,
09:15AM_2020-11-20,62.41,62.41,62.34,62.34,1100,62.407,62.456,62.48,,,,,,
09:20AM_2020-11-20,62.38,62.38,62.37,62.37,219,62.405,62.413,62.447,,,,,,
09:25AM_2020-11-20,62.4,62.45,62.4,62.441,549,62.408,62.396,62.416,,,,,,
09:30AM_2020-11-20,62.381,62.381,62.381,62.381,540,62.395,62.404,62.394,,,,,,
09:35AM_2020-11-20,62.42,62.46,62.37,62.37,1150,62.384,62.402,62.4,,,,,,
09:40AM_2020-11-20,62.41,62.481,62.36,62.481,500,62.397,62.409,62.41,,39.5,,,,
09:45AM_2020-11-20,62.47,62.47,62.35,62.35,404,62.399,62.397,62.403,,34.8,,,,
09:50AM_2020-11-20,62.33,62.33,62.31,62.32,300,62.39,62.384,62.389,,33.8,,,,
09:55AM_2020-11-20,62.35,62.48,62.35,62.48,1076,62.397,62.393,62.393,,43.13,,,,
10:00AM_2020-11-20,62.49,62.501000000000005,62.39,62.4,1500,62.4,62.399,62.393,,40.09,,,,
10:05AM_2020-11-20,62.38,62.38,62.36,62.37,300,62.4,62.399,62.396,62.438,38.98,,,,-0.038
10:10AM_2020-11-20,62.31,62.48,62.31,62.48,1500,62.4,62.404,62.407,62.427,44.99,,,,-0.0272
10:15AM_2020-11-20,62.47,62.479,62.42,62.479,1029,62.422,62.414,62.411,62.414,44.95,,,,0.0079
10:25AM_2020-11-20,62.6,62.63,62.6,62.63,300,62.473,62.443,62.436,62.415,52.41,,,,0.0581
10:30AM_2020-11-20,62.6,62.6,62.52,62.54,492,62.483,62.45,62.453,62.427,48.21,,,,0.0566
10:35AM_2020-11-20,62.56,62.66,62.56,62.66,1132,62.527,62.484,62.471,62.441,53.55,,,,0.0859
10:40AM_2020-11-20,62.62,62.62,62.62,62.62,214,62.568,62.518,62.498,62.451,51.64,0.05,,,0.1176
10:45AM_2020-11-20,62.64,62.65,62.6,62.65,506,62.597,62.537,62.531,62.46,52.99,0.06,,,0.1364
10:50AM_2020-11-20,62.66,62.66,62.59,62.59,865,62.615,62.558,62.542,62.468,49.98,0.06,,,0.1474
10:55AM_2020-11-20,62.57,62.59,62.57,62.59,200,62.608,62.582,62.561,62.477,49.98,0.06,,,0.1312
11:00AM_2020-11-20,62.54,62.56,62.54,62.56,206,62.612,62.591,62.58,62.488,48.38,0.05,,,0.1236
11:05AM_2020-11-20,62.55,62.55,62.5,62.52,400,62.588,62.596,62.584,62.496,46.26,0.05,,,0.0927
11:10AM_2020-11-20,62.47,62.47,62.47,62.47,100,62.563,62.578,62.583,62.497,43.68,0.04,,,0.0663
11:15AM_2020-11-20,62.48,62.48,62.43,62.43,200,62.527,62.566,62.563,62.499,41.68,0.03,,,0.0272
11:20AM_2020-11-20,62.41,62.55,62.41,62.55,2200,62.52,62.553,62.564,62.508,49.2,0.03,0.05,-0.020322511162761875,0.0115
11:25AM_2020-11-20,62.5,62.5,62.47,62.49,415,62.503,62.539,62.547,62.509,46.01,0.02,0.04,-0.02008438395287284,-0.0056
11:30AM_2020-11-20,62.54,62.55,62.5,62.55,760,62.502,62.528,62.54,62.519,49.54,0.02,0.04,-0.015431348668638399,-0.0173
11:35AM_2020-11-20,62.67,62.73,62.57,62.57,1324,62.51,62.526,62.532,62.531,50.69,0.02,0.03,-0.010772589720417634,-0.0214
11:40AM_2020-11-20,62.41,62.46,62.36,62.43,1521,62.503,62.508,62.516,62.529,43.22,0.01,0.03,-0.01654073643256881,-0.0256
11:45AM_2020-11-20,62.4,62.45,62.36,62.45,542,62.507,62.496,62.502,62.531,44.48,0.01,0.03,-0.018293363932856452,-0.0248
11:50AM_2020-11-20,62.44,62.49,62.42,62.45,1500,62.49,62.488,62.491,62.535,44.48,0.0,0.02,-0.01867192515461035,-0.0454
11:55AM_2020-11-20,62.44,62.46,62.33,62.39,800,62.473,62.479,62.478,62.531,41.3,-0.01,0.02,-0.02195590618298144,-0.0576
12:00PM_2020-11-20,62.45,62.47,62.32,62.32,1150,62.435,62.467,62.463,62.523,37.89,-0.02,0.01,-0.02747693103353313,-0.088
12:05PM_2020-11-20,62.28,62.42,62.16,62.16,2558,62.367,62.423,62.436,62.5,31.49,-0.04,-0.0,-0.039791634627113236,-0.1328
12:10PM_2020-11-20,62.16,62.218999999999994,61.94,62.03,2862,62.3,62.372,62.384,62.474,27.44,-0.07,-0.01,-0.053713704231062226,-0.174
12:15PM_2020-11-20,61.95,61.95,61.751000000000005,61.87,2283,62.203,62.297,62.322,62.434,23.44,-0.1,-0.03,-0.06970552733413145,-0.2312
12:20PM_2020-11-20,61.89,62.04,61.89,62.01,600,62.13,62.234,62.268,62.404,32.68,-0.12,-0.05,-0.06685214189827958,-0.274
12:25PM_2020-11-20,61.94,62.08,61.94,62.04,1200,62.072,62.191,62.215,62.373,34.51,-0.12,-0.06,-0.05920409748788902,-0.3018
