Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram,Delta_SMA6_SMA20
08:15AM_2020-11-20,4.59,4.59,4.59,4.59,100,,,,,,,,,
08:20AM_2020-11-20,4.59,4.59,4.58,4.59,12207,,,,,,,,,
08:25AM_2020-11-20,4.58,4.58,4.58,4.58,22343,,,,,,,,,
08:30AM_2020-11-20,4.58,4.58,4.58,4.58,2689,,,,,,,,,
08:35AM_2020-11-20,4.57,4.57,4.57,4.57,5524,,,,,,,,,
08:40AM_2020-11-20,4.58,4.58,4.58,4.58,1530,4.582,,,,,,,,
08:45AM_2020-11-20,4.59,4.61,4.5889999999999995,4.61,3549,4.585,,,,,,,,
08:50AM_2020-11-20,4.601,4.601,4.6,4.6,6000,4.587,,,,,,,,
08:55AM_2020-11-20,4.6,4.6,4.6,4.6,4900,4.59,4.589,,,,,,,
09:00AM_2020-11-20,4.6,4.6,4.6,4.6,1533,4.593,4.59,4.59,,,,,,
09:05AM_2020-11-20,4.6,4.6,4.6,4.6,101,4.598,4.591,4.591,,,,,,
09:10AM_2020-11-20,4.6,4.6,4.6,4.6,5600,4.602,4.593,4.592,,,,,,
09:15AM_2020-11-20,4.605,4.605,4.605,4.605,1000,4.601,4.596,4.595,,,,,,
09:20AM_2020-11-20,4.6,4.6,4.6,4.6,1807,4.601,4.599,4.597,,,,,,
09:25AM_2020-11-20,4.6,4.6,4.6,4.6,20149,4.601,4.602,4.6,,56.25,,,,
09:30AM_2020-11-20,4.6,4.6,4.6,4.6,100,4.601,4.601,4.602,,56.25,,,,
09:35AM_2020-11-20,4.6,4.6,4.59,4.6,34900,4.601,4.601,4.601,,56.25,,,,
09:40AM_2020-11-20,4.6,4.6,4.59,4.59,8903,4.599,4.599,4.6,,48.65,,,,
09:45AM_2020-11-20,4.59,4.61,4.59,4.61,16813,4.6,4.601,4.601,,60.22,,,,
09:50AM_2020-11-20,4.6,4.6,4.6,4.6,2655,4.6,4.601,4.601,4.595,53.71,,,,0.0048
09:55AM_2020-11-20,4.6,4.6,4.6,4.6,20921,4.6,4.601,4.601,4.596,53.71,,,,0.0043
10:00AM_2020-11-20,4.59,4.6,4.59,4.6,3024,4.6,4.6,4.601,4.596,53.71,,,,0.0038
10:05AM_2020-11-20,4.6,4.605,4.6,4.605,2900,4.601,4.601,4.601,4.597,56.64,,,,0.0033
10:10AM_2020-11-20,4.6,4.6,4.6,4.6,10800,4.602,4.601,4.601,4.598,53.02,,,,0.004
10:15AM_2020-11-20,4.6,4.6,4.59,4.59,11619,4.599,4.599,4.6,4.599,46.62,,,,-0.0003
10:20AM_2020-11-20,4.599,4.599,4.59,4.59,4700,4.598,4.598,4.599,4.6,46.62,0.0,,,-0.0025
10:25AM_2020-11-20,4.585,4.585,4.58,4.58,1400,4.594,4.597,4.597,4.598,40.89,-0.0,,,-0.0043
10:30AM_2020-11-20,4.58,4.58,4.58,4.58,724,4.591,4.594,4.596,4.597,40.89,-0.0,,,-0.0067
10:45AM_2020-11-20,4.58,4.59,4.58,4.59,5165,4.588,4.593,4.594,4.597,48.26,-0.0,,,-0.0087
10:50AM_2020-11-20,4.59,4.59,4.59,4.59,13100,4.587,4.592,4.593,4.597,48.26,-0.0,,,-0.0098
11:05AM_2020-11-20,4.59,4.59,4.59,4.59,4950,4.587,4.591,4.592,4.596,48.26,-0.0,,,-0.0093
11:10AM_2020-11-20,4.59,4.59,4.59,4.59,3700,4.587,4.589,4.591,4.596,48.26,-0.0,,,-0.0088
11:15AM_2020-11-20,4.59,4.59,4.59,4.59,1192,4.588,4.588,4.589,4.595,48.26,-0.0,,,-0.0064
11:20AM_2020-11-20,4.59,4.59,4.59,4.59,9808,4.59,4.588,4.588,4.594,48.26,-0.0,-0.0,-0.00041097922338837216,-0.0043
11:25AM_2020-11-20,4.59,4.59,4.59,4.59,15750,4.59,4.588,4.588,4.594,48.26,-0.0,-0.0,-0.0002949046669550783,-0.0038
11:30AM_2020-11-20,4.59,4.59,4.58,4.58,11966,4.588,4.588,4.587,4.593,39.9,-0.0,-0.0,-0.0008349491019239803,-0.0044
11:35AM_2020-11-20,4.58,4.585,4.58,4.585,11000,4.587,4.588,4.587,4.592,45.03,-0.0,-0.0,-0.0007987582127430967,-0.0045
11:40AM_2020-11-20,4.59,4.59,4.59,4.59,3300,4.587,4.588,4.588,4.592,49.66,-0.0,-0.0,-0.0004014708405934422,-0.0045
11:45AM_2020-11-20,4.6,4.6,4.6,4.6,4700,4.589,4.589,4.589,4.592,57.38,-0.0,-0.0,0.0005213217032880477,-0.0023
11:50AM_2020-11-20,4.595,4.595,4.59,4.59,300,4.589,4.589,4.589,4.591,49.24,-0.0,-0.0,0.0004475749241251855,-0.0018
11:55AM_2020-11-20,4.6,4.6,4.6,4.6,29400,4.591,4.591,4.591,4.591,55.97,-0.0,-0.0,0.0010284156940426506,-0.0002
12:00PM_2020-11-20,4.6,4.601,4.6,4.6,4920,4.594,4.592,4.592,4.591,55.97,0.0,-0.0,0.001348570019732245,0.0032
12:05PM_2020-11-20,4.61,4.615,4.6,4.615,13342,4.599,4.594,4.594,4.592,64.22,0.0,-0.0,0.00244273940713547,0.0077
12:10PM_2020-11-20,4.61,4.63,4.61,4.62,15944,4.604,4.598,4.597,4.593,66.47,0.0,0.0,0.0033209441373398593,0.0117
12:15PM_2020-11-20,4.63,4.64,4.63,4.64,12141,4.611,4.604,4.602,4.595,73.63,0.01,0.0,0.004967445315037726,0.0158
12:20PM_2020-11-20,4.63,4.63,4.62,4.63,6167,4.617,4.609,4.607,4.597,66.04,0.01,0.0,0.005083335781986736,0.0205
12:25PM_2020-11-20,4.63,4.63,4.62,4.63,7375,4.622,4.614,4.612,4.6,66.04,0.01,0.0,0.004860384626195215,0.023
12:30PM_2020-11-20,4.63,4.64,4.63,4.63,12105,4.627,4.617,4.616,4.602,66.04,0.01,0.01,0.004425663774000209,0.0255
12:35PM_2020-11-20,4.63,4.63,4.61,4.61,5224,4.627,4.619,4.617,4.603,52.51,0.01,0.01,0.0025945583048600515,0.0237
12:40PM_2020-11-20,4.61,4.61,4.61,4.61,25658,4.625,4.621,4.619,4.604,52.51,0.01,0.01,0.0012546553378866235,0.021
