Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
01:55PM_2020-10-26,22.6,22.6,22.6,22.6,100,,,,,,,,
02:10PM_2020-10-26,22.619,22.62,22.619,22.62,200,,,,,,,,
02:15PM_2020-10-26,22.619,22.619,22.619,22.619,100,,,,,,,,
02:20PM_2020-10-26,22.619,22.619,22.619,22.619,1315,,,,,,,,
03:10PM_2020-10-26,22.561,22.561,22.561,22.561,1099,,,,,,,,
03:35PM_2020-10-26,22.54,22.54,22.54,22.54,150,22.593166666666665,,,,,,,
03:45PM_2020-10-26,22.54,22.54,22.54,22.54,2800,22.583166666666667,,,,,,,
03:50PM_2020-10-26,22.581,22.581,22.581,22.581,3400,22.576666666666664,,,,,,,
04:15AM_2020-10-27,22.26,22.26,22.26,22.26,496,22.516833333333327,22.548888888888886,,,,,,
04:40AM_2020-10-27,22.3,22.3,22.3,22.3,300,22.463666666666665,22.515555555555554,22.523999999999997,,,,,
04:50AM_2020-10-27,22.241,22.241,22.241,22.241,2590,22.410333333333327,22.47344444444444,22.4881,,,,,
05:00AM_2020-10-27,22.24,22.24,22.24,22.24,2000,22.36033333333333,22.43133333333333,22.4501,,,,,
05:05AM_2020-10-27,22.21,22.21,22.2,22.21,1092,22.305333333333333,22.385888888888886,22.409200000000002,,,,,
05:15AM_2020-10-27,22.25,22.25,22.239,22.239,1000,22.248333333333335,22.350111111111108,22.3712,,,,,
05:20AM_2020-10-27,22.26,22.26,22.26,22.26,150,22.248333333333335,22.319,22.3411,,23.52024922118379,,,
05:25AM_2020-10-27,22.25,22.25,22.25,22.25,128,22.24,22.286777777777775,22.3121,,23.13221777044538,,,
05:30AM_2020-10-27,22.348000000000003,22.36,22.32,22.36,3742,22.259833333333336,22.26222222222222,22.2941,,35.69890353205221,,,
05:35AM_2020-10-27,22.34,22.34,22.31,22.31,5803,22.271500000000003,22.267777777777777,22.267000000000003,,33.05370341766681,,,
05:40AM_2020-10-27,22.3,22.33,22.3,22.33,9600,22.2915,22.27111111111111,22.274,,35.12446122680883,,,
05:45AM_2020-10-27,22.3,22.3,22.3,22.3,2400,22.301666666666666,22.27766666666667,22.274,22.398999999999997,33.45293600968401,,,
05:50AM_2020-10-27,22.3,22.36,22.3,22.36,4832,22.31833333333334,22.291000000000004,22.285900000000005,22.386999999999997,39.639774699164384,,,
05:55AM_2020-10-27,22.36,22.38,22.36,22.37,2858,22.33833333333334,22.30877777777778,22.298900000000003,22.374499999999998,40.63046289659875,,,
06:00AM_2020-10-27,22.37,22.42,22.37,22.41,10459,22.346666666666675,22.32777777777778,22.318900000000003,22.36405,44.55082262330195,,,
06:05AM_2020-10-27,22.37,22.37,22.32,22.32,3205,22.34833333333334,22.334444444444447,22.327,22.3491,38.4057659968257,,,
06:10AM_2020-10-27,22.3,22.32,22.3,22.3,4755,22.343333333333344,22.340000000000003,22.331000000000003,22.33605,37.17851232816222,,,
06:15AM_2020-10-27,22.3,22.33,22.29,22.33,6690,22.34833333333334,22.33666666666667,22.339000000000006,22.32555,40.26215064378025,-0.04504456597254958,,
06:20AM_2020-10-27,22.41,22.41,22.38,22.38,2718,22.35166666666667,22.34444444444445,22.341,22.317549999999997,45.09906492598661,-0.038697582559720445,,
06:25AM_2020-10-27,22.41,22.41,22.38,22.38,2806,22.353333333333335,22.350000000000005,22.348000000000003,22.307499999999997,45.09906492598661,-0.03328387666579857,,
06:30AM_2020-10-27,22.38,22.599,22.27,22.51,211156,22.37,22.373333333333335,22.366000000000003,22.319999999999997,55.87283193162013,-0.018292695390893954,,
06:35AM_2020-10-27,22.52,22.56,22.26,22.32,189894,22.37,22.36888888888889,22.368000000000002,22.320999999999994,42.68767574092193,-0.021495699287864767,,
06:40AM_2020-10-27,22.32,22.43,22.24,22.27,85078,22.365,22.357777777777777,22.359,22.322449999999996,40.01175478984557,-0.02774881403007612,,
06:45AM_2020-10-27,22.21,22.48,22.13,22.41,98954,22.37833333333333,22.357777777777777,22.363000000000003,22.330949999999994,49.54826709485199,-0.0211636610328938,,
06:50AM_2020-10-27,22.435,22.435,22.26,22.325,63560,22.36916666666666,22.358333333333334,22.3545,22.336699999999997,44.882957636288616,-0.022543798587431496,,
06:55AM_2020-10-27,22.295,22.38,22.26,22.29,21087,22.35416666666666,22.35722222222222,22.3515,22.33925,43.08407606555595,-0.026160216345687104,-0.028270101096990647,0.002109884751303543
07:00AM_2020-10-27,22.285,22.41,22.25,22.41,27064,22.337499999999995,22.366111111111106,22.3625,22.34675,50.42104026617745,-0.019122820385966577,-0.026440644954785836,0.00731782456881926
07:05AM_2020-10-27,22.46,22.46,22.26,22.3,38744,22.334166666666665,22.35722222222222,22.359500000000004,22.34925,44.729000495745304,-0.02216619596868341,-0.02558575515756535,0.0034195591888819404
07:10AM_2020-10-27,22.31,22.4,22.26,22.4,13896,22.355833333333333,22.359444444444442,22.361500000000003,22.35125,50.22970524997372,-0.01632079283868393,-0.023732762693789065,0.007411969855105137
07:15AM_2020-10-27,22.39,22.59,22.39,22.59,34364,22.385833333333334,22.368333333333332,22.382500000000004,22.365249999999996,58.65012115027727,0.0036016260561986257,-0.01826588494379153,0.021867510999990156
07:20AM_2020-10-27,22.57,22.66,22.53,22.61,174467,22.433333333333337,22.400555555555556,22.392500000000005,22.37925,59.42824407791959,0.020764756232455994,-0.010459756708542026,0.03122451294099802
07:25AM_2020-10-27,22.61,22.65,22.5,22.57,70975,22.480000000000004,22.433888888888887,22.417500000000008,22.39275,57.11337479131205,0.03078413450465689,-0.0022109784659022427,0.03299511297055913
07:30AM_2020-10-27,22.579,22.61,22.4,22.405,33795,22.47916666666667,22.433333333333334,22.431000000000004,22.395,48.68841482456735,0.025120865236385015,0.003255390274555209,0.021865474961829806
07:35AM_2020-10-27,22.42,22.46,22.33,22.35,37941,22.4875,22.436111111111114,22.425000000000004,22.394,46.23985930721442,0.016010088855416882,0.005806329990727544,0.010203758864689338
07:40AM_2020-10-27,22.35,22.46,22.35,22.38,39633,22.484166666666667,22.44611111111111,22.430500000000006,22.3925,47.782427069124445,0.011082727430380857,0.006861609478658206,0.00422111795172265
07:45AM_2020-10-27,22.35,22.41,22.17,22.2,37342,22.419166666666666,22.422777777777778,22.421500000000005,22.386499999999998,40.30897080136104,-0.00726301416964148,0.004036684748998269,-0.011299698918639748
07:50AM_2020-10-27,22.18,22.269000000000002,22.16,22.21,24650,22.352500000000003,22.412777777777777,22.401500000000006,22.381999999999998,40.86235846147633,-0.020755968253194368,-0.0009218458514402578,-0.019834122401754112
07:55AM_2020-10-27,22.17,22.24,22.15,22.24,25598,22.297500000000003,22.395,22.395500000000006,22.377499999999998,42.582140234915364,-0.028697673381298472,-0.006477011357411902,-0.02222066202388657
08:00AM_2020-10-27,22.25,22.32,22.19,22.24,32082,22.270000000000007,22.35611111111111,22.379500000000007,22.3705,42.582140234915364,-0.034592768015780706,-0.012100162689085663,-0.022492605326695045
08:05AM_2020-10-27,22.24,22.27,22.2,22.2,22588,22.245000000000005,22.310555555555556,22.340500000000006,22.3615,40.74965137825919,-0.042008095515548405,-0.018081749254378214,-0.02392634626117019
08:10AM_2020-10-27,22.17,22.19,22.07,22.1,25620,22.198333333333338,22.258333333333336,22.289500000000004,22.341,36.518561852446766,-0.055316308280151105,-0.025528661059532793,-0.029787647220618312
08:15AM_2020-10-27,22.07,22.15,22.05,22.13,47198,22.18666666666667,22.227777777777778,22.245500000000003,22.3315,38.57896124026318,-0.06271942302984712,-0.03296681345359566,-0.029752609576251463
08:20AM_2020-10-27,22.11,22.17,22.1,22.11,22053,22.17,22.201111111111114,22.216000000000005,22.323500000000003,37.700455354975745,-0.06940027449437025,-0.04025350566175058,-0.02914676883261967
08:25AM_2020-10-27,22.13,22.25,22.09,22.24,31694,22.17,22.18555555555556,22.205000000000005,22.315,46.265768197428514,-0.0634733031404302,-0.04489746515748651,-0.018575837982943696
08:30AM_2020-10-27,22.25,22.36,22.25,22.29,50283,22.17833333333333,22.19555555555556,22.196000000000005,22.313250000000004,49.1608949959647,-0.05411771814072708,-0.04674151575413462,-0.007376202386592458
08:35AM_2020-10-27,22.28,22.32,22.16,22.16,26652,22.171666666666667,22.190000000000005,22.192000000000007,22.30675,42.71665361512421,-0.05654148809092163,-0.04870151022149202,-0.00783997786942961
08:40AM_2020-10-27,22.16,22.2,22.11,22.19,29698,22.186666666666667,22.18444444444445,22.190000000000005,22.29575,44.52391274296981,-0.05540294331582274,-0.050041796840358164,-0.005361146475464575
08:45AM_2020-10-27,22.18,22.18,22.1,22.14,13063,22.188333333333333,22.173333333333332,22.180000000000007,22.28775,42.13776684283787,-0.05786815247133603,-0.05160706796655374,-0.0062610845047822924
08:50AM_2020-10-27,22.12,22.14,22.08,22.1,11206,22.186666666666667,22.162222222222223,22.166000000000004,22.272750000000002,40.278050185467926,-0.062331001211738624,-0.05375185461559072,-0.008579146596147905
08:55AM_2020-10-27,22.09,22.09,21.96,22.0,20925,22.146666666666665,22.151111111111113,22.146000000000008,22.243250000000003,36.00038224065946,-0.07309441830223307,-0.05762036735291919,-0.015474050949313874
09:00AM_2020-10-27,21.98,22.04,21.95,22.0,36683,22.098333333333333,22.13666666666667,22.136000000000006,22.212750000000003,36.00038224065946,-0.08069431011612593,-0.062235155905560544,-0.01845915421056539
09:05AM_2020-10-27,21.99,22.05,21.97,22.04,22480,22.078333333333333,22.12888888888889,22.127000000000006,22.186250000000005,39.005481331895595,-0.08253816484078769,-0.06629575769260597,-0.016242407148181717
09:10AM_2020-10-27,22.03,22.14,22.029,22.14,29321,22.070000000000004,22.11777777777778,22.130000000000006,22.173000000000002,45.85086273469822,-0.07506496652147021,-0.06804959945837882,-0.007015367063091388
09:15AM_2020-10-27,22.13,22.18,22.11,22.11,23400,22.06500000000001,22.09777777777778,22.117000000000008,22.161,44.2465387248766,-0.07074761779241712,-0.06858920312518649,-0.0021584146672306292
09:20AM_2020-10-27,22.111,22.18,22.05,22.16,26799,22.075000000000006,22.09777777777778,22.104000000000006,22.150000000000002,47.54109710644873,-0.06257023496717196,-0.06738540949358358,0.004815174526411628
09:25AM_2020-10-27,22.16,22.22,22.11,22.22,23595,22.111666666666675,22.101111111111113,22.110000000000007,22.151000000000003,51.26288103211295,-0.05066407765432146,-0.06404114312573117,0.01337706547140971
09:30AM_2020-10-27,22.24,22.29,22.21,22.271,27502,22.15683333333334,22.115666666666673,22.11810000000001,22.154050000000005,54.2350182414484,-0.0366901472507557,-0.05857094395073608,0.02188079669998038
09:35AM_2020-10-27,22.27,22.3,22.19,22.19,21154,22.18183333333334,22.125666666666675,22.12310000000001,22.151550000000004,49.11231781832286,-0.031785328304934524,-0.053213820821575775,0.02142849251664125
09:40AM_2020-10-27,22.19,22.29,22.13,22.26,62457,22.201833333333337,22.15455555555556,22.13910000000001,22.15255,53.22417767318407,-0.0219962498909112,-0.04697030663544286,0.02497405674453166
09:45AM_2020-10-27,22.24,22.25,22.201,22.25,12018,22.225166666666667,22.18233333333334,22.164100000000012,22.155050000000003,52.570662422787905,-0.014873795294278125,-0.04055100436720992,0.025677209072931792
09:50AM_2020-10-27,22.26,22.27,22.17,22.19,99410,22.230166666666666,22.199000000000005,22.18310000000001,22.159550000000003,48.706382526794776,-0.013910347444557658,-0.03522287298267947,0.02131252553812181
09:55AM_2020-10-27,22.2,22.27,22.14,22.14,29513,22.216833333333337,22.199000000000005,22.193100000000012,22.160050000000002,45.692192938268185,-0.01698559089626528,-0.031575416565396634,0.014589825669131355
10:00AM_2020-10-27,22.17,22.18,22.12,22.13,21630,22.19333333333334,22.201222222222228,22.19210000000001,22.16105,45.091170237502325,-0.019999122479266163,-0.02926015774817054,0.009261035268904379
10:05AM_2020-10-27,22.1,22.16,22.09,22.16,12530,22.188333333333336,22.201222222222228,22.197100000000013,22.15705,47.32949101961149,-0.019739078876440885,-0.027355941973824613,0.007616863097383728
10:10AM_2020-10-27,22.13,22.25,22.13,22.18,74000,22.175000000000008,22.196777777777783,22.199100000000012,22.15155,48.827150782132705,-0.017714952647715165,-0.025427744108602726,0.007712791460887561
10:15AM_2020-10-27,22.19,22.23,22.17,22.2,10508,22.16666666666667,22.188888888888894,22.197100000000013,22.15355,50.34759543408252,-0.0143317773671221,-0.023208550760306604,0.008876773393184503
10:20AM_2020-10-27,22.22,22.23,22.12,22.12,51437,22.155000000000005,22.181111111111118,22.18200000000001,22.15005,44.63479286565252,-0.017899582747084253,-0.022146757157662136,0.004247174410577884
10:25AM_2020-10-27,22.15,22.21,22.09,22.12,23527,22.15166666666667,22.165555555555564,22.17500000000001,22.14905,44.63479286565252,-0.020490888013473096,-0.02181558332882433,0.001324695315351232
10:30AM_2020-10-27,22.13,22.13,21.99,22.04,24325,22.13666666666667,22.14222222222223,22.153000000000013,22.14605,39.44413625843844,-0.028669364925729468,-0.023186339648205358,-0.00548302527752411
10:35AM_2020-10-27,22.05,22.059,21.99,22.0,14793,22.110000000000003,22.12111111111112,22.12800000000001,22.14605,37.1197489624136,-0.03794117031366895,-0.026137305781298078,-0.01180386453237087
10:40AM_2020-10-27,22.03,22.05,22.01,22.01,11654,22.081666666666667,22.10666666666667,22.11000000000001,22.146549999999998,38.10178819339756,-0.043975306497230804,-0.029704905924484624,-0.01427040057274618
10:45AM_2020-10-27,22.03,22.03,21.97,21.99,13387,22.04666666666667,22.09111111111112,22.09500000000001,22.14405,36.86183248892863,-0.049797204572698206,-0.03372336565412734,-0.016073838918570865
10:50AM_2020-10-27,21.98,22.06,21.95,22.025,55192,22.030833333333337,22.076111111111118,22.084500000000013,22.138299999999997,40.51041746762044,-0.05099900842587246,-0.03717849420847637,-0.013820514217396093
10:55AM_2020-10-27,22.01,22.1,22.01,22.05,11383,22.019166666666674,22.061666666666675,22.073500000000013,22.135299999999997,43.04228901363641,-0.049365105365811957,-0.03961581643994348,-0.009749288925868474
11:00AM_2020-10-27,22.03,22.1,22.01,22.1,22601,22.029166666666672,22.05055555555556,22.06550000000001,22.132299999999997,47.82503778731124,-0.04353381259378608,-0.04039941567071201,-0.003134396923074073
11:05AM_2020-10-27,22.08,22.13,22.08,22.12,16706,22.049166666666675,22.05055555555556,22.05750000000001,22.127299999999998,49.64641586451177,-0.03687358250067874,-0.039694249036705355,0.0028206665360266184
11:10AM_2020-10-27,22.12,22.18,22.12,22.12,26619,22.06750000000001,22.05055555555556,22.05750000000001,22.119749999999996,49.646415864511766,-0.03123524174396053,-0.03800244757815639,0.0067672058341958635
