Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
07:10AM_2020-10-27,1.4,1.4,1.38,1.38,857,,,,,,,,
07:15AM_2020-10-27,1.401,1.43,1.4,1.43,1599,,,,,,,,
07:20AM_2020-10-27,1.42,1.42,1.4,1.4,1200,,,,,,,,
07:25AM_2020-10-27,1.39,1.39,1.39,1.39,226,,,,,,,,
07:30AM_2020-10-27,1.41,1.42,1.41,1.42,1100,,,,,,,,
07:40AM_2020-10-27,1.44,1.44,1.44,1.44,300,1.41,,,,,,,
07:45AM_2020-10-27,1.41,1.41,1.4,1.4,600,1.413,,,,,,,
07:50AM_2020-10-27,1.42,1.42,1.41,1.415,400,1.411,,,,,,,
08:05AM_2020-10-27,1.38,1.38,1.35,1.35,1800,1.402,1.403,,,,,,
08:10AM_2020-10-27,1.375,1.379,1.375,1.379,200,1.401,1.403,1.4,,,,,
08:15AM_2020-10-27,1.37,1.37,1.35,1.35,1300,1.389,1.394,1.397,,,,,
08:20AM_2020-10-27,1.35,1.35,1.35,1.35,900,1.374,1.388,1.389,,,,,
08:40AM_2020-10-27,1.365,1.365,1.35,1.35,900,1.366,1.384,1.384,,,,,
08:45AM_2020-10-27,1.35,1.35,1.35,1.35,400,1.355,1.376,1.38,,,,,
08:50AM_2020-10-27,1.32,1.335,1.32,1.335,600,1.352,1.364,1.372,,43.24,,,
09:10AM_2020-10-27,1.3,1.3,1.3,1.3,500,1.339,1.353,1.358,,38.85,,,
09:20AM_2020-10-27,1.26,1.26,1.26,1.26,1100,1.324,1.336,1.344,,34.53,,,
09:25AM_2020-10-27,1.26,1.26,1.25,1.25,768,1.308,1.325,1.327,,33.52,,,
09:30AM_2020-10-27,1.21,1.21,1.21,1.21,500,1.284,1.306,1.313,,29.79,,,
10:30AM_2020-10-27,1.24,1.24,1.235,1.235,200,1.265,1.293,1.299,1.35,34.68,,,
10:40AM_2020-10-27,1.24,1.24,1.24,1.24,300,1.249,1.281,1.288,1.343,35.65,,,
10:45AM_2020-10-27,1.25,1.25,1.25,1.25,300,1.241,1.27,1.278,1.334,37.64,,,
10:50AM_2020-10-27,1.25,1.26,1.25,1.26,300,1.241,1.26,1.269,1.327,39.64,,,
10:55AM_2020-10-27,1.265,1.265,1.265,1.265,200,1.243,1.252,1.26,1.32,40.67,,,
11:10AM_2020-10-27,1.27,1.27,1.27,1.27,100,1.253,1.249,1.254,1.313,41.74,,,
11:25AM_2020-10-27,1.28,1.28,1.28,1.28,100,1.261,1.251,1.252,1.305,43.91,-0.05,,
11:30AM_2020-10-27,1.285,1.285,1.28,1.28,200,1.268,1.254,1.254,1.299,43.91,-0.05,,
11:35AM_2020-10-27,1.275,1.275,1.275,1.275,300,1.272,1.262,1.256,1.292,42.98,-0.04,,
11:40AM_2020-10-27,1.265,1.265,1.265,1.265,400,1.273,1.265,1.262,1.288,41.11,-0.04,,
11:45AM_2020-10-27,1.25,1.25,1.25,1.25,1000,1.27,1.266,1.263,1.281,38.4,-0.04,,
12:00PM_2020-10-27,1.27,1.27,1.27,1.27,400,1.27,1.268,1.266,1.277,43.72,-0.04,,
12:05PM_2020-10-27,1.28,1.28,1.28,1.28,300,1.27,1.271,1.269,1.274,46.23,-0.03,,
12:10PM_2020-10-27,1.275,1.275,1.275,1.275,100,1.269,1.272,1.271,1.27,45.14,-0.03,,
12:15PM_2020-10-27,1.28,1.28,1.28,1.28,200,1.27,1.273,1.272,1.267,46.49,-0.03,-0.04,0.011025453864098839
12:30PM_2020-10-27,1.255,1.255,1.24,1.245,2000,1.267,1.269,1.27,1.262,39.23,-0.03,-0.04,0.008667144346330272
12:35PM_2020-10-27,1.24,1.245,1.24,1.245,200,1.266,1.265,1.266,1.259,39.23,-0.03,-0.04,0.0070783577066512934
12:40PM_2020-10-27,1.235,1.235,1.23,1.23,300,1.259,1.26,1.261,1.258,36.4,-0.03,-0.03,0.005081781953537652
12:45PM_2020-10-27,1.245,1.245,1.245,1.245,1709,1.253,1.258,1.258,1.258,40.98,-0.03,-0.03,0.004837223189993675
12:50PM_2020-10-27,1.24,1.24,1.23,1.24,1600,1.248,1.257,1.256,1.259,39.95,-0.03,-0.03,0.004416236621328451
12:55PM_2020-10-27,1.24,1.24,1.23,1.23,600,1.239,1.252,1.254,1.259,37.89,-0.03,-0.03,0.003577583518303444
05:10AM_2020-10-28,1.13,1.13,1.13,1.13,100,1.22,1.236,1.24,1.253,24.38,-0.04,-0.03,-0.003230635075542443
05:15AM_2020-10-28,1.091,1.091,1.091,1.091,223,1.194,1.215,1.221,1.245,21.2,-0.04,-0.03,-0.009523322836890988
06:00AM_2020-10-28,1.07,1.07,1.07,1.07,500,1.168,1.192,1.201,1.236,19.71,-0.05,-0.04,-0.013992589241465077
06:35AM_2020-10-28,1.13,1.13,1.13,1.13,300,1.149,1.179,1.186,1.229,33.98,-0.05,-0.04,-0.011883561424592862
07:05AM_2020-10-28,1.12,1.12,1.12,1.12,1000,1.129,1.165,1.173,1.222,32.93,-0.05,-0.04,-0.010202096382571177
