Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram,Delta_SMA6_SMA20
08:35AM_2020-11-20,40.16,40.16,40.15,40.16,900,,,,,,,,,
08:40AM_2020-11-20,40.17,40.17,40.1,40.1,1762,,,,,,,,,
08:45AM_2020-11-20,40.08,40.08,39.88,39.88,7835,,,,,,,,,
08:50AM_2020-11-20,39.88,40.0,39.88,39.95,1725,,,,,,,,,
08:55AM_2020-11-20,39.94,39.97,39.94,39.95,1701,,,,,,,,,
09:00AM_2020-11-20,39.95,39.96,39.91,39.91,2401,39.992,,,,,,,,
09:05AM_2020-11-20,39.97,39.97,39.93,39.95,714,39.957,,,,,,,,
09:10AM_2020-11-20,39.95,40.01,39.94,40.01,600,39.942,,,,,,,,
09:15AM_2020-11-20,40.0,40.01,39.95,40.0,1053,39.962,39.99,,,,,,,
09:20AM_2020-11-20,40.01,40.05,40.01,40.05,300,39.978,39.978,39.996,,,,,,
09:25AM_2020-11-20,40.06,40.06,40.06,40.06,300,39.997,39.973,39.986,,,,,,
09:30AM_2020-11-20,40.08,40.1,40.07,40.1,600,40.028,39.998,39.986,,,,,,
09:35AM_2020-11-20,40.07,40.07,40.0,40.03,1330,40.042,40.007,40.001,,,,,,
09:40AM_2020-11-20,40.03,40.06,40.02,40.06,541,40.05,40.019,40.012,,,,,,
09:45AM_2020-11-20,40.06,40.06,40.01,40.01,807,40.052,40.03,40.018,,40.0,,,,
09:50AM_2020-11-20,40.03,40.06,40.02,40.06,1200,40.053,40.042,40.033,,44.02,,,,
09:55AM_2020-11-20,40.05,40.08,40.05,40.07,1570,40.055,40.049,40.045,,44.82,,,,
10:00AM_2020-11-20,40.07,40.11,40.06,40.06,2646,40.048,40.056,40.05,,44.14,,,,
10:05AM_2020-11-20,40.04,40.04,40.02,40.02,1500,40.047,40.052,40.052,,41.45,,,,
10:10AM_2020-11-20,40.02,40.065,40.0,40.06,1536,40.047,40.052,40.053,40.024,45.06,,,,0.0222
10:15AM_2020-11-20,40.065,40.07,40.05,40.05,1056,40.053,40.047,40.052,40.019,44.32,,,,0.0343
10:20AM_2020-11-20,40.09,40.16,40.09,40.16,2315,40.07,40.061,40.058,40.022,53.35,,,,0.048
10:25AM_2020-11-20,40.15,40.175,40.14,40.17,1400,40.087,40.073,40.072,40.036,54.07,,,,0.0502
10:30AM_2020-11-20,40.16,40.18,40.13,40.13,4052,40.098,40.087,40.079,40.045,50.67,,,,0.0528
10:35AM_2020-11-20,40.13,40.14,40.13,40.14,500,40.118,40.096,40.092,40.055,51.49,,,,0.0633
10:40AM_2020-11-20,40.14,40.18,40.13,40.18,1200,40.138,40.108,40.104,40.068,54.74,0.06,,,0.0698
10:45AM_2020-11-20,40.17,40.17,40.13,40.13,742,40.152,40.116,40.11,40.077,50.21,0.05,,,0.0742
10:50AM_2020-11-20,40.13,40.14,40.1,40.13,533,40.147,40.128,40.117,40.083,50.21,0.05,,,0.0632
10:55AM_2020-11-20,40.13,40.13,40.11,40.12,936,40.138,40.134,40.127,40.089,49.26,0.05,,,0.0488
11:00AM_2020-11-20,40.1,40.1,40.07,40.08,1511,40.13,40.138,40.129,40.091,45.56,0.04,,,0.039
11:05AM_2020-11-20,40.08,40.08,40.05,40.05,638,40.115,40.126,40.129,40.09,42.96,0.03,,,0.0245
11:10AM_2020-11-20,40.06,40.08,40.06,40.08,484,40.098,40.116,40.121,40.089,46.27,0.03,,,0.0088
11:15AM_2020-11-20,40.05,40.05,40.03,40.03,400,40.082,40.104,40.107,40.089,41.9,0.02,,,-0.0078
11:20AM_2020-11-20,40.04,40.09,40.03,40.09,1192,40.075,40.099,40.103,40.091,48.21,0.02,0.04,-0.018597961701344284,-0.016
11:25AM_2020-11-20,40.07,40.08,40.03,40.08,1500,40.068,40.088,40.097,40.094,47.29,0.02,0.04,-0.016544532725230154,-0.0262
