Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:20AM_2020-11-11,8.35,8.37,8.29,8.3,4010,,,,,,,,
11:25AM_2020-11-11,8.3,8.3,8.21,8.27,4700,,,,,,,,
11:30AM_2020-11-11,8.29,8.34,8.29,8.33,2996,,,,,,,,
11:35AM_2020-11-11,8.27,8.33,8.23,8.33,5992,,,,,,,,
11:40AM_2020-11-11,8.3,8.33,8.2,8.23,12016,,,,,,,,
11:45AM_2020-11-11,8.25,8.25,8.095,8.095,2865,8.259,,,,,,,
11:50AM_2020-11-11,8.08,8.11,8.03,8.11,1057,8.228,,,,,,,
11:55AM_2020-11-11,8.07,8.09,8.0,8.09,4973,8.198,,,,,,,
12:00PM_2020-11-11,8.12,8.12,8.09,8.1,1300,8.159,8.206,,,,,,
12:05PM_2020-11-11,8.1,8.145,8.1,8.14,952,8.128,8.188,8.199,,,,,
12:10PM_2020-11-11,8.15,8.15,8.105,8.125,1707,8.11,8.172,8.182,,,,,
12:15PM_2020-11-11,8.105,8.11,8.005,8.045,3059,8.102,8.141,8.159,,,,,
12:20PM_2020-11-11,8.02,8.02,7.98,7.98,776,8.08,8.102,8.125,,,,,
12:25PM_2020-11-11,7.995,8.03,7.995,8.02,2290,8.068,8.078,8.094,,,,,
12:30PM_2020-11-11,8.01,8.02,7.98,8.015,2838,8.054,8.069,8.072,,26.83,,,
12:35PM_2020-11-11,8.01,8.01,7.985,7.985,2768,8.028,8.056,8.061,,25.49,,,
12:40PM_2020-11-11,7.92,7.95,7.91,7.925,3399,7.995,8.037,8.042,,23.02,,,
12:45PM_2020-11-11,7.91,8.01,7.91,8.0,6772,7.988,8.026,8.034,,31.91,,,
12:50PM_2020-11-11,8.005,8.05,7.98,8.045,7125,7.998,8.016,8.028,,36.64,,,
12:55PM_2020-11-11,8.04,8.07,8.01,8.015,14949,7.998,8.003,8.015,8.107,34.9,,,
05:10AM_2020-11-12,7.78,7.819,7.78,7.819,200,7.965,7.978,7.985,8.083,26.16,,,
05:30AM_2020-11-12,7.781000000000001,7.781000000000001,7.781000000000001,7.781000000000001,100,7.931,7.956,7.959,8.059,24.86,,,
06:30AM_2020-11-12,7.7,7.73,7.36,7.39,26260,7.842,7.886,7.9,8.012,16.03,,,
06:35AM_2020-11-12,7.37,7.74,7.33,7.74,14952,7.798,7.856,7.872,7.982,37.45,,,
06:40AM_2020-11-12,7.78,7.97,7.68,7.945,11002,7.782,7.851,7.864,7.968,46.12,,,
06:45AM_2020-11-12,7.945,8.07,7.775,7.91,10527,7.764,7.849,7.857,7.959,44.97,-0.15,,
06:50AM_2020-11-12,7.89,8.14,7.88,8.14,9476,7.818,7.865,7.878,7.96,53.2,-0.11,,
06:55AM_2020-11-12,8.1,8.11,8.0,8.11,6279,7.873,7.872,7.89,7.961,52.11,-0.09,,
07:00AM_2020-11-12,8.09,8.17,8.02,8.08,32024,7.988,7.879,7.893,7.96,50.98,-0.07,,
07:05AM_2020-11-12,8.085,8.095,7.945,7.975,13380,8.027,7.897,7.889,7.952,47.13,-0.07,,
07:10AM_2020-11-12,8.0,8.005,7.9,7.905,10940,8.02,7.911,7.898,7.941,44.7,-0.07,,
07:15AM_2020-11-12,7.9,7.9,7.81,7.88,6931,8.015,7.965,7.907,7.933,43.83,-0.07,,
07:20AM_2020-11-12,7.88,7.88,7.76,7.78,5766,7.955,7.969,7.946,7.923,40.45,-0.08,,
07:25AM_2020-11-12,7.77,7.87,7.77,7.805,13383,7.904,7.954,7.953,7.912,41.66,-0.08,-0.09,0.006360187675691895
07:30AM_2020-11-12,7.78,7.88,7.78,7.88,5821,7.871,7.951,7.946,7.905,45.26,-0.08,-0.09,0.008372174262087473
07:35AM_2020-11-12,7.885,7.89,7.77,7.81,11528,7.843,7.914,7.936,7.897,42.62,-0.08,-0.08,0.005512223084300064
07:40AM_2020-11-12,7.805,7.805,7.71,7.75,4397,7.818,7.874,7.897,7.888,40.44,-0.08,-0.08,0.00037417223438694636
07:45AM_2020-11-12,7.74,7.77,7.675,7.74,5869,7.794,7.836,7.86,7.875,40.07,-0.09,-0.09,-0.002732371863438235
07:50AM_2020-11-12,7.755,7.76,7.68,7.695,4711,7.78,7.805,7.822,7.857,38.38,-0.09,-0.09,-0.006630147316391444
07:55AM_2020-11-12,7.7,7.7,7.68,7.69,2430,7.761,7.781,7.793,7.841,38.19,-0.1,-0.09,-0.00825170542444481
08:00AM_2020-11-12,7.68,7.77,7.66,7.76,6174,7.741,7.768,7.779,7.838,42.54,-0.09,-0.09,-0.0035564377507172618
08:05AM_2020-11-12,7.74,7.83,7.74,7.83,3672,7.744,7.773,7.774,7.841,46.59,-0.08,-0.09,0.004860066096787713
08:10AM_2020-11-12,7.845,7.845,7.79,7.82,1932,7.756,7.775,7.778,7.862,46.09,-0.08,-0.09,0.010051271467255624
08:15AM_2020-11-12,7.81,7.83,7.805,7.82,2008,7.769,7.768,7.779,7.866,46.09,-0.07,-0.08,0.01356405843049091
08:20AM_2020-11-12,7.84,7.96,7.81,7.96,4786,7.813,7.785,7.787,7.867,54.09,-0.05,-0.08,0.024744256856803745
08:25AM_2020-11-12,7.985,7.985,7.89,7.9,1993,7.848,7.802,7.796,7.866,50.62,-0.04,-0.07,0.02732422583966304
08:30AM_2020-11-12,7.87,7.87,7.855,7.855,1202,7.864,7.814,7.807,7.852,48.13,-0.04,-0.06,0.025273478903673263
08:35AM_2020-11-12,7.835,7.87,7.81,7.82,2864,7.863,7.828,7.815,7.838,46.23,-0.04,-0.06,0.021008365752163458
08:40AM_2020-11-12,7.835,7.84,7.77,7.78,2721,7.856,7.838,7.823,7.823,44.08,-0.04,-0.05,0.015211944401142305
08:45AM_2020-11-12,7.79,7.885,7.79,7.87,1526,7.864,7.851,7.841,7.817,49.74,-0.03,-0.05,0.017021211920335802
08:50AM_2020-11-12,7.88,7.925,7.86,7.87,6306,7.849,7.855,7.852,7.816,49.74,-0.03,-0.05,0.01772034855507957
08:55AM_2020-11-12,7.86,7.91,7.86,7.91,1933,7.851,7.865,7.86,7.817,52.23,-0.02,-0.04,0.020199345054488956
09:00AM_2020-11-12,7.92,7.92,7.87,7.9,2012,7.858,7.874,7.868,7.823,51.54,-0.02,-0.04,0.02042704855843818
09:05AM_2020-11-12,7.905,7.91,7.895,7.905,3812,7.873,7.868,7.877,7.828,51.88,-0.01,-0.03,0.0201424562153202
09:10AM_2020-11-12,7.89,7.9,7.865,7.865,2235,7.887,7.864,7.868,7.827,48.92,-0.01,-0.03,0.016633981957063528
09:15AM_2020-11-12,7.86,7.88,7.855,7.87,1746,7.887,7.866,7.865,7.83,49.31,-0.01,-0.02,0.014122643651672262
09:20AM_2020-11-12,7.89,7.89,7.83,7.83,1714,7.88,7.867,7.862,7.834,46.26,-0.01,-0.02,0.009463956114167883
09:25AM_2020-11-12,7.82,7.83,7.805,7.82,513,7.865,7.871,7.862,7.838,45.5,-0.01,-0.02,0.005596527422059908
09:30AM_2020-11-12,7.835,7.835,7.82,7.82,910,7.852,7.866,7.866,7.845,45.5,-0.02,-0.02,0.0030532024677984576
09:35AM_2020-11-12,7.81,7.81,7.765,7.81,1546,7.836,7.859,7.86,7.851,44.66,-0.02,-0.02,0.0008279898768143931
09:40AM_2020-11-12,7.815,7.825,7.73,7.74,2304,7.815,7.84,7.847,7.85,39.16,-0.02,-0.02,-0.004912133712193904
09:45AM_2020-11-12,7.74,7.74,7.725,7.725,3387,7.791,7.821,7.828,7.844,38.08,-0.03,-0.02,-0.009033261399656302
09:50AM_2020-11-12,7.73,7.73,7.64,7.64,3471,7.759,7.791,7.802,7.835,32.59,-0.04,-0.03,-0.016370245335242187
09:55AM_2020-11-12,7.63,7.75,7.63,7.72,6355,7.743,7.775,7.784,7.83,41.18,-0.04,-0.03,-0.014771023213574406
10:00AM_2020-11-12,7.73,7.74,7.73,7.74,386,7.729,7.761,7.771,7.819,43.14,-0.04,-0.03,-0.011449987803792291
10:05AM_2020-11-12,7.73,7.75,7.68,7.68,7359,7.708,7.744,7.752,7.808,38.96,-0.05,-0.04,-0.012303163613133647
10:10AM_2020-11-12,7.66,7.68,7.64,7.68,1158,7.698,7.728,7.737,7.8,38.96,-0.05,-0.04,-0.011870828033370438
10:15AM_2020-11-12,7.68,7.69,7.65,7.67,1526,7.688,7.712,7.722,7.792,38.24,-0.05,-0.04,-0.011266543184769225
10:20AM_2020-11-12,7.675,7.695,7.63,7.63,1851,7.687,7.692,7.704,7.785,35.44,-0.06,-0.04,-0.012475012659594192
10:25AM_2020-11-12,7.66,7.73,7.66,7.73,9568,7.688,7.691,7.696,7.778,46.09,-0.05,-0.05,-0.005793425446922851
10:30AM_2020-11-12,7.735,7.745,7.71,7.71,3965,7.683,7.689,7.692,7.77,44.51,-0.05,-0.05,-0.0021616786704528046
10:35AM_2020-11-12,7.74,7.79,7.74,7.76,1373,7.697,7.702,7.696,7.762,49.2,-0.04,-0.05,0.003840268408822921
10:40AM_2020-11-12,7.735,7.75,7.735,7.75,567,7.708,7.706,7.707,7.755,48.32,-0.04,-0.04,0.007175366558275734
10:45AM_2020-11-12,7.745,7.745,7.725,7.73,2472,7.718,7.704,7.708,7.746,46.53,-0.03,-0.04,0.00800957335798979
10:50AM_2020-11-12,7.75,7.75,7.735,7.75,3000,7.738,7.712,7.709,7.74,48.58,-0.03,-0.04,0.009766990525957107
10:55AM_2020-11-12,7.765,7.765,7.765,7.765,338,7.744,7.722,7.718,7.735,50.13,-0.02,-0.04,0.01166958208909314
11:00AM_2020-11-12,7.805,7.83,7.785,7.785,811,7.757,7.734,7.728,7.733,52.19,-0.02,-0.03,0.01385592013799504
11:05AM_2020-11-12,7.745,7.745,7.73,7.735,883,7.753,7.746,7.734,7.728,46.96,-0.02,-0.03,0.0116066766218221
11:10AM_2020-11-12,7.735,7.74,7.735,7.74,1716,7.751,7.747,7.746,7.724,47.52,-0.02,-0.03,0.01017872312013137
11:15AM_2020-11-12,7.73,7.735,7.71,7.73,1737,7.751,7.749,7.746,7.72,46.45,-0.02,-0.03,0.008359929644427506
11:20AM_2020-11-12,7.705,7.715,7.7,7.7,6824,7.743,7.743,7.744,7.718,43.31,-0.02,-0.02,0.005096102157197767
11:25AM_2020-11-12,7.7,7.7,7.68,7.68,1678,7.728,7.735,7.736,7.716,41.3,-0.02,-0.02,0.001724212167129098
11:30AM_2020-11-12,7.69,7.69,7.65,7.65,933,7.706,7.726,7.726,7.717,38.42,-0.03,-0.02,-0.0021807557276143745
11:35AM_2020-11-12,7.67,7.68,7.665,7.665,716,7.694,7.717,7.72,7.714,40.64,-0.03,-0.02,-0.003338376400657622
11:40AM_2020-11-12,7.645,7.645,7.6,7.6,2247,7.671,7.698,7.705,7.707,34.77,-0.03,-0.03,-0.0078111329418526255
11:45AM_2020-11-12,7.575,7.575,7.5,7.5,10763,7.633,7.667,7.678,7.698,28.06,-0.05,-0.03,-0.01634309821319506
11:50AM_2020-11-12,7.52,7.52,7.5,7.5,1741,7.599,7.641,7.65,7.689,28.06,-0.06,-0.04,-0.02055302155026352
11:55AM_2020-11-12,7.48,7.57,7.48,7.55,6677,7.578,7.619,7.632,7.683,35.3,-0.06,-0.04,-0.018595553912451476
12:00PM_2020-11-12,7.545,7.545,7.45,7.46,2461,7.546,7.589,7.603,7.674,29.54,-0.07,-0.05,-0.02176718868755153
12:05PM_2020-11-12,7.48,7.48,7.425,7.425,935,7.506,7.559,7.573,7.659,27.64,-0.08,-0.05,-0.02442779981601083
12:10PM_2020-11-12,7.46,7.46,7.46,7.46,100,7.483,7.534,7.549,7.647,32.31,-0.08,-0.06,-0.022105725226869204
12:15PM_2020-11-12,7.495,7.51,7.46,7.46,1504,7.476,7.513,7.527,7.632,32.31,-0.08,-0.06,-0.018965561561906465
12:20PM_2020-11-12,7.465,7.51,7.465,7.51,3628,7.478,7.496,7.513,7.62,38.85,-0.08,-0.07,-0.012243138539409087
12:25PM_2020-11-12,7.495,7.51,7.49,7.495,1725,7.468,7.484,7.496,7.608,37.67,-0.08,-0.07,-0.007748068833505803
12:30PM_2020-11-12,7.47,7.49,7.45,7.49,3028,7.473,7.483,7.485,7.595,37.27,-0.07,-0.07,-0.0042288639628519364
12:35PM_2020-11-12,7.47,7.49,7.45,7.47,3094,7.481,7.48,7.482,7.58,35.62,-0.07,-0.07,-0.002453421320701296
12:40PM_2020-11-12,7.465,7.49,7.455,7.49,4492,7.486,7.473,7.481,7.566,38.55,-0.07,-0.07,0.000694291698002808
12:45PM_2020-11-12,7.485,7.5,7.455,7.455,5251,7.485,7.473,7.471,7.552,35.5,-0.07,-0.07,0.0010255549444543738
12:50PM_2020-11-12,7.48,7.51,7.405,7.415,23963,7.469,7.472,7.467,7.535,32.36,-0.07,-0.07,-0.0007472690956638051
12:55PM_2020-11-12,7.415,7.42,7.35,7.365,6604,7.448,7.461,7.461,7.517,28.91,-0.07,-0.07,-0.004382433379174155
