Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
10:30AM_2020-11-09,1.45,1.45,1.44,1.44,1032,,,,,,,,
10:35AM_2020-11-09,1.44,1.44,1.439,1.439,200,,,,,,,,
10:40AM_2020-11-09,1.42,1.42,1.42,1.42,375,,,,,,,,
11:00AM_2020-11-09,1.42,1.43,1.42,1.43,700,,,,,,,,
11:10AM_2020-11-09,1.43,1.48,1.43,1.48,400,,,,,,,,
11:25AM_2020-11-09,1.48,1.48,1.48,1.48,100,1.448,,,,,,,
11:30AM_2020-11-09,1.47,1.47,1.47,1.47,100,1.453,,,,,,,
11:35AM_2020-11-09,1.465,1.465,1.465,1.465,300,1.458,,,,,,,
11:45AM_2020-11-09,1.475,1.48,1.475,1.48,443,1.468,1.456,,,,,,
11:50AM_2020-11-09,1.48,1.48,1.48,1.48,100,1.476,1.46,1.458,,,,,
11:55AM_2020-11-09,1.48,1.48,1.48,1.48,100,1.476,1.465,1.462,,,,,
12:00PM_2020-11-09,1.49,1.49,1.49,1.49,300,1.478,1.473,1.468,,,,,
12:10PM_2020-11-09,1.49,1.5,1.49,1.5,200,1.483,1.481,1.476,,,,,
12:25PM_2020-11-09,1.5,1.5,1.5,1.5,100,1.488,1.483,1.483,,,,,
12:35PM_2020-11-09,1.51,1.51,1.51,1.51,325,1.493,1.486,1.486,,75.0,,,
12:40PM_2020-11-09,1.54,1.55,1.54,1.55,600,1.505,1.495,1.493,,80.88,,,
12:45PM_2020-11-09,1.55,1.585,1.55,1.585,2063,1.523,1.508,1.504,,84.35,,,
12:50PM_2020-11-09,1.56,1.56,1.54,1.55,1548,1.533,1.516,1.513,,70.56,,,
12:55PM_2020-11-09,1.54,1.54,1.52,1.52,1341,1.536,1.521,1.517,,61.31,,,
06:30AM_2020-11-10,1.46,1.46,1.399,1.399,1200,1.519,1.512,1.508,1.483,39.06,,,
06:35AM_2020-11-10,1.41,1.41,1.41,1.41,300,1.502,1.503,1.501,1.482,41.15,,,
06:40AM_2020-11-10,1.29,1.29,1.28,1.29,500,1.459,1.479,1.481,1.474,29.33,,,
06:45AM_2020-11-10,1.305,1.305,1.305,1.305,2000,1.412,1.458,1.462,1.469,31.96,,,
06:50AM_2020-11-10,1.329,1.36,1.32,1.34,1300,1.377,1.439,1.446,1.464,37.78,,,
06:55AM_2020-11-10,1.33,1.34,1.33,1.33,2100,1.346,1.414,1.428,1.457,36.81,,,
07:00AM_2020-11-10,1.34,1.34,1.34,1.34,600,1.336,1.387,1.407,1.45,38.51,-0.06,,
07:05AM_2020-11-10,1.35,1.35,1.35,1.35,1300,1.326,1.365,1.383,1.444,40.24,-0.06,,
07:15AM_2020-11-10,1.361,1.361,1.32,1.32,500,1.331,1.343,1.36,1.436,36.89,-0.06,,
07:20AM_2020-11-10,1.33,1.33,1.33,1.33,100,1.335,1.335,1.341,1.429,38.72,-0.06,,
07:30AM_2020-11-10,1.31,1.31,1.31,1.31,100,1.33,1.324,1.333,1.42,36.44,-0.06,,
07:45AM_2020-11-10,1.29,1.29,1.29,1.29,200,1.323,1.324,1.321,1.411,34.27,-0.06,,
08:25AM_2020-11-10,1.28,1.28,1.28,1.28,400,1.313,1.321,1.32,1.4,33.2,-0.06,,
08:30AM_2020-11-10,1.27,1.28,1.26,1.27,1000,1.3,1.313,1.316,1.389,32.13,-0.06,,
08:50AM_2020-11-10,1.29,1.29,1.29,1.29,200,1.295,1.309,1.311,1.378,36.56,-0.06,-0.06,-0.0014192578157501134
08:55AM_2020-11-10,1.3,1.3,1.3,1.3,300,1.29,1.304,1.308,1.368,38.71,-0.06,-0.06,0.0009411970541617146
09:00AM_2020-11-10,1.29,1.29,1.28,1.28,550,1.285,1.297,1.302,1.354,36.07,-0.06,-0.06,0.0016174970750027287
09:05AM_2020-11-10,1.25,1.27,1.25,1.25,600,1.278,1.289,1.292,1.338,32.5,-0.06,-0.06,0.0005608854581259926
09:50AM_2020-11-10,1.31,1.31,1.31,1.31,200,1.283,1.287,1.291,1.326,44.37,-0.05,-0.06,0.004215819097904611
09:55AM_2020-11-10,1.32,1.32,1.32,1.32,400,1.292,1.288,1.29,1.316,46.08,-0.05,-0.05,0.00743176847048653
10:00AM_2020-11-10,1.325,1.34,1.325,1.34,675,1.3,1.293,1.293,1.313,49.41,-0.04,-0.05,0.010825223763253074
10:05AM_2020-11-10,1.31,1.31,1.3,1.3,600,1.3,1.296,1.294,1.307,43.6,-0.04,-0.05,0.010298313090330385
10:10AM_2020-11-10,1.3,1.305,1.3,1.305,922,1.304,1.299,1.297,1.308,44.48,-0.04,-0.05,0.01019013744150439
10:25AM_2020-11-10,1.3,1.31,1.3,1.31,510,1.314,1.302,1.301,1.308,45.4,-0.03,-0.04,0.010326862155317917
10:30AM_2020-11-10,1.315,1.33,1.315,1.33,500,1.318,1.305,1.305,1.308,49.02,-0.03,-0.04,0.011543646286003954
10:35AM_2020-11-10,1.31,1.31,1.31,1.31,200,1.316,1.308,1.306,1.307,45.75,-0.03,-0.04,0.01079458804255471
10:45AM_2020-11-10,1.3,1.3,1.3,1.3,100,1.309,1.314,1.308,1.305,44.17,-0.03,-0.04,0.009466218343081749
10:50AM_2020-11-10,1.3,1.3,1.3,1.3,100,1.309,1.313,1.313,1.302,44.17,-0.02,-0.03,0.008460983992527947
10:55AM_2020-11-10,1.3,1.3,1.3,1.3,100,1.308,1.311,1.312,1.301,44.17,-0.02,-0.03,0.007691696370231614
11:00AM_2020-11-10,1.305,1.305,1.305,1.305,600,1.308,1.307,1.31,1.3,45.35,-0.02,-0.03,0.007412180301697921
11:05AM_2020-11-10,1.315,1.315,1.315,1.315,300,1.305,1.308,1.308,1.3,47.73,-0.02,-0.03,0.007756490709652779
11:20AM_2020-11-10,1.3,1.305,1.3,1.305,400,1.304,1.308,1.308,1.301,45.59,-0.02,-0.03,0.007179722259355075
11:35AM_2020-11-10,1.305,1.305,1.305,1.305,300,1.305,1.308,1.308,1.302,45.59,-0.02,-0.02,0.006677687179036017
11:40AM_2020-11-10,1.305,1.305,1.305,1.305,100,1.306,1.305,1.308,1.304,45.59,-0.02,-0.02,0.00623359123583913
12:00PM_2020-11-10,1.31,1.31,1.31,1.31,520,1.308,1.305,1.306,1.305,47.08,-0.01,-0.02,0.006153971368235051
12:25PM_2020-11-10,1.3,1.31,1.3,1.31,515,1.308,1.306,1.306,1.305,47.08,-0.01,-0.02,0.0059738573841059545
12:35PM_2020-11-10,1.3,1.3,1.3,1.3,100,1.306,1.306,1.306,1.306,44.27,-0.01,-0.02,0.005088405239763474
12:40PM_2020-11-10,1.31,1.31,1.3,1.3,200,1.305,1.306,1.306,1.309,44.27,-0.01,-0.02,0.004433856799173672
12:45PM_2020-11-10,1.29,1.29,1.29,1.29,200,1.303,1.304,1.305,1.308,41.42,-0.01,-0.02,0.0033100645428949874
