Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
07:15AM_2020-11-10,1.49,1.49,1.49,1.49,300,,,,,,,,
07:20AM_2020-11-10,1.47,1.47,1.47,1.47,100,,,,,,,,
07:25AM_2020-11-10,1.47,1.47,1.44,1.44,500,,,,,,,,
07:30AM_2020-11-10,1.45,1.47,1.45,1.46,600,,,,,,,,
07:35AM_2020-11-10,1.44,1.44,1.44,1.44,100,,,,,,,,
07:40AM_2020-11-10,1.44,1.44,1.4,1.4,300,1.45,,,,,,,
07:50AM_2020-11-10,1.395,1.4,1.395,1.4,4200,1.44,,,,,,,
07:55AM_2020-11-10,1.395,1.395,1.395,1.395,2200,1.42,,,,,,,
08:00AM_2020-11-10,1.395,1.395,1.395,1.395,500,1.42,1.43,,,,,,
08:05AM_2020-11-10,1.395,1.395,1.395,1.395,1100,1.4,1.42,1.43,,,,,
08:10AM_2020-11-10,1.4,1.41,1.4,1.41,300,1.4,1.42,1.42,,,,,
08:15AM_2020-11-10,1.4,1.4,1.4,1.4,100,1.4,1.41,1.41,,,,,
08:20AM_2020-11-10,1.405,1.405,1.4,1.4,300,1.4,1.4,1.41,,,,,
08:25AM_2020-11-10,1.41,1.41,1.41,1.41,500,1.4,1.4,1.4,,,,,
08:30AM_2020-11-10,1.415,1.415,1.415,1.415,400,1.41,1.4,1.4,,28.57,,,
08:35AM_2020-11-10,1.41,1.41,1.41,1.41,100,1.41,1.4,1.4,,27.72,,,
09:15AM_2020-11-10,1.41,1.41,1.41,1.41,200,1.41,1.41,1.4,,27.72,,,
09:25AM_2020-11-10,1.41,1.41,1.41,1.41,300,1.41,1.41,1.41,,27.72,,,
09:30AM_2020-11-10,1.41,1.41,1.41,1.41,100,1.41,1.41,1.41,,27.72,,,
09:35AM_2020-11-10,1.41,1.41,1.41,1.41,100,1.41,1.41,1.41,1.42,27.72,,,
09:45AM_2020-11-10,1.4,1.42,1.4,1.42,400,1.41,1.41,1.41,1.42,33.47,,,
09:50AM_2020-11-10,1.41,1.41,1.41,1.41,200,1.41,1.41,1.41,1.41,30.83,,,
09:55AM_2020-11-10,1.41,1.41,1.41,1.41,100,1.41,1.41,1.41,1.41,30.83,,,
10:00AM_2020-11-10,1.41,1.43,1.41,1.43,400,1.42,1.41,1.41,1.41,41.54,,,
10:20AM_2020-11-10,1.45,1.49,1.45,1.49,600,1.43,1.42,1.42,1.41,61.03,,,
11:25AM_2020-11-10,1.445,1.445,1.44,1.44,200,1.43,1.43,1.42,1.41,46.97,0.01,,
11:30AM_2020-11-10,1.44,1.44,1.44,1.44,100,1.44,1.43,1.43,1.42,46.97,0.01,,
11:45AM_2020-11-10,1.445,1.445,1.445,1.445,200,1.44,1.43,1.43,1.42,48.35,0.01,,
12:10PM_2020-11-10,1.445,1.445,1.445,1.445,100,1.45,1.44,1.43,1.42,48.35,0.01,,
