Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram,Delta_SMA6_SMA20
08:35AM_2020-11-20,44.0,44.06,43.995,44.045,11768,,,,,,,,,
08:40AM_2020-11-20,44.05,44.09,44.05,44.075,8424,,,,,,,,,
08:45AM_2020-11-20,44.07,44.095,44.0,44.0,11510,,,,,,,,,
08:50AM_2020-11-20,43.97,44.065,43.97,44.065,8894,,,,,,,,,
08:55AM_2020-11-20,44.07,44.15,44.07,44.15,10148,,,,,,,,,
09:00AM_2020-11-20,44.16,44.19,44.13,44.14,13310,44.079,,,,,,,,
09:05AM_2020-11-20,44.145,44.24,44.145,44.24,13188,44.112,,,,,,,,
09:10AM_2020-11-20,44.245,44.43,44.225,44.415,9988,44.168,,,,,,,,
09:15AM_2020-11-20,44.41,44.43,44.355,44.395,22998,44.234,44.169,,,,,,,
09:20AM_2020-11-20,44.395,44.48,44.395,44.475,14606,44.303,44.217,44.2,,,,,,
09:25AM_2020-11-20,44.475,44.475,44.445,44.465,17608,44.355,44.261,44.242,,,,,,
09:30AM_2020-11-20,44.45,44.495,44.41,44.425,11072,44.403,44.308,44.277,,,,,,
09:35AM_2020-11-20,44.39,44.46,44.39,44.44,11596,44.436,44.349,44.321,,,,,,
09:40AM_2020-11-20,44.45,44.455,44.39,44.42,9704,44.437,44.379,44.357,,,,,,
09:45AM_2020-11-20,44.415,44.47,44.395,44.43,8284,44.443,44.412,44.385,,76.19,,,,
09:50AM_2020-11-20,44.415,44.455,44.41,44.435,8008,44.436,44.433,44.414,,76.36,,,,
09:55AM_2020-11-20,44.415,44.6,44.405,44.535,17686,44.448,44.447,44.444,,79.56,,,,
10:00AM_2020-11-20,44.555,44.58,44.485,44.5,23658,44.46,44.458,44.452,,75.7,,,,
10:05AM_2020-11-20,44.5,44.545,44.47,44.53,13302,44.475,44.464,44.466,,76.74,,,,
10:10AM_2020-11-20,44.52,44.54,44.48,44.48,7541,44.485,44.466,44.466,44.333,71.26,,,,0.152
10:15AM_2020-11-20,44.45,44.495,44.45,44.475,11068,44.493,44.472,44.467,44.354,70.71,,,,0.138
10:20AM_2020-11-20,44.49,44.53,44.455,44.515,7288,44.506,44.48,44.476,44.376,72.52,,,,0.1293
10:25AM_2020-11-20,44.535,44.78,44.535,44.78,20466,44.547,44.52,44.51,44.415,80.93,,,,0.1312
10:30AM_2020-11-20,44.81,44.93,44.76,44.895,22004,44.613,44.572,44.558,44.457,83.31,,,,0.1555
10:35AM_2020-11-20,44.865,45.0,44.865,44.94,15833,44.681,44.628,44.609,44.496,84.15,,,,0.1843
10:40AM_2020-11-20,44.945,45.04,44.91,45.04,19894,44.774,44.684,44.669,44.541,85.84,0.24,,,0.2327
10:45AM_2020-11-20,45.02,45.02,44.9,44.92,24890,44.848,44.731,44.708,44.575,75.42,0.25,,,0.2728
10:50AM_2020-11-20,44.895,44.975,44.895,44.895,11858,44.912,44.771,44.747,44.599,73.41,0.24,,,0.3122
10:55AM_2020-11-20,44.865,44.9,44.835,44.885,8660,44.929,44.816,44.783,44.624,72.58,0.24,,,0.3052
11:00AM_2020-11-20,44.885,44.89,44.805,44.825,9724,44.918,44.855,44.817,44.641,67.65,0.22,,,0.276
11:05AM_2020-11-20,44.83,44.885,44.825,44.855,11938,44.903,44.893,44.855,44.661,68.79,0.21,,,0.2423
11:10AM_2020-11-20,44.85,44.88,44.845,44.86,11274,44.873,44.902,44.89,44.683,68.99,0.2,,,0.1906
11:15AM_2020-11-20,44.86,44.885,44.825,44.825,12222,44.858,44.894,44.894,44.702,65.86,0.19,,,0.1555
11:20AM_2020-11-20,44.83,44.91,44.825,44.895,9270,44.858,44.889,44.894,44.726,68.9,0.18,0.22,-0.03681262516848546,0.1318
11:25AM_2020-11-20,44.86,45.17,44.855,45.155,26576,44.903,44.902,44.916,44.762,77.06,0.2,0.22,-0.01870475925164089,0.1405
11:30AM_2020-11-20,45.155,45.225,45.155,45.175,10550,44.961,44.93,44.929,44.799,77.55,0.21,0.21,-0.007059258547576663,0.1618
11:35AM_2020-11-20,45.17,45.23,45.125,45.125,12558,45.006,44.956,44.95,44.828,73.35,0.21,0.21,-0.004525866541319035,0.1773
11:40AM_2020-11-20,45.135,45.135,45.025,45.025,13855,45.033,44.971,44.962,44.855,65.68,0.2,0.21,-0.011017140156716676,0.1786
11:45AM_2020-11-20,45.025,45.13,45.02,45.13,13698,45.084,45.005,44.987,44.885,69.31,0.2,0.21,-0.009716884684115301,0.1994
11:50AM_2020-11-20,45.14,45.3,45.12,45.2,22752,45.135,45.043,45.024,44.921,71.47,0.2,0.21,-0.005812682754508081,0.2143
11:55AM_2020-11-20,45.165,45.19,45.035,45.065,27798,45.12,45.066,45.046,44.95,62.34,0.19,0.2,-0.013550415151853484,0.1698
12:00PM_2020-11-20,45.075,45.18,45.075,45.165,13054,45.118,45.104,45.076,44.983,65.82,0.19,0.2,-0.013151426591064386,0.1356
12:05PM_2020-11-20,45.17,45.17,45.08,45.08,14386,45.111,45.124,45.102,44.998,60.68,0.17,0.19,-0.01944970765265952,0.1131
12:10PM_2020-11-20,45.05,45.06,45.005,45.025,11610,45.111,45.11,45.114,45.004,57.55,0.16,0.19,-0.027656681532691352,0.1066
12:15PM_2020-11-20,45.01,45.01,44.9,44.915,13639,45.075,45.081,45.09,45.003,51.8,0.14,0.18,-0.040076700300000795,0.072
12:20PM_2020-11-20,44.915,44.94,44.88,44.91,16115,45.027,45.057,45.064,44.996,51.54,0.12,0.17,-0.047694098468010315,0.0302
12:25PM_2020-11-20,44.91,44.97,44.91,44.92,13522,45.003,45.046,45.043,44.996,52.05,0.1,0.15,-0.05083602103227047,0.006
12:30PM_2020-11-20,44.92,44.92,44.75,44.77,28208,44.937,45.006,45.018,44.99,44.57,0.08,0.14,-0.061103058055694964,-0.0536
12:35PM_2020-11-20,44.76,44.84,44.755,44.825,25069,44.894,44.964,44.988,44.987,47.55,0.06,0.12,-0.06207587642767466,-0.0931
12:40PM_2020-11-20,44.825,44.835,44.765,44.785,23281,44.854,44.933,44.946,44.985,45.63,0.04,0.11,-0.06309345644494693,-0.1311
