Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram,Delta_SMA6_SMA20
08:35AM_2020-11-20,49.265,49.365,49.265,49.35,8654,,,,,,,,,
08:40AM_2020-11-20,49.35,49.385,49.325,49.385,4836,,,,,,,,,
08:45AM_2020-11-20,49.39,49.46,49.38,49.38,13594,,,,,,,,,
08:50AM_2020-11-20,49.34,49.35,49.26,49.32,7698,,,,,,,,,
08:55AM_2020-11-20,49.315,49.41,49.315,49.385,6766,,,,,,,,,
09:00AM_2020-11-20,49.355,49.37,49.29,49.29,7290,49.352,,,,,,,,
09:05AM_2020-11-20,49.295,49.33,49.26,49.31,8944,49.345,,,,,,,,
09:10AM_2020-11-20,49.33,49.42,49.33,49.395,14424,49.347,,,,,,,,
09:15AM_2020-11-20,49.375,49.395,49.365,49.38,66820,49.347,49.355,,,,,,,
09:20AM_2020-11-20,49.385,49.415,49.37,49.4,13780,49.36,49.361,49.36,,,,,,
09:25AM_2020-11-20,49.4,49.415,49.385,49.39,6664,49.361,49.361,49.364,,,,,,
09:30AM_2020-11-20,49.4,49.41,49.355,49.355,4016,49.372,49.358,49.36,,,,,,
09:35AM_2020-11-20,49.335,49.335,49.1,49.13,6572,49.342,49.337,49.336,,,,,,
09:40AM_2020-11-20,49.14,49.2,49.14,49.16,7718,49.302,49.312,49.32,,,,,,
09:45AM_2020-11-20,49.13,49.135,49.06,49.06,7034,49.249,49.287,49.287,,31.87,,,,
09:50AM_2020-11-20,49.02,49.03,48.92,48.97,18564,49.177,49.249,49.255,,28.43,,,,
09:55AM_2020-11-20,49.0,49.125,49.0,49.09,2600,49.128,49.215,49.233,,38.04,,,,
10:00AM_2020-11-20,49.05,49.095,49.025,49.055,3632,49.077,49.179,49.199,,36.5,,,,
10:05AM_2020-11-20,48.99,48.99,48.95,48.95,1706,49.047,49.129,49.156,,32.28,,,,
10:10AM_2020-11-20,48.95,48.965,48.9,48.93,8478,49.009,49.078,49.109,49.234,31.53,,,,-0.2251
10:15AM_2020-11-20,48.935,48.96,48.93,48.94,7610,48.989,49.032,49.064,49.214,32.38,,,,-0.2246
10:20AM_2020-11-20,48.93,49.04,48.93,49.04,3480,49.001,49.022,49.032,49.196,40.3,,,,-0.1957
10:25AM_2020-11-20,49.08,49.25,49.08,49.25,17324,49.027,49.032,49.044,49.19,52.81,,,,-0.1625
10:30AM_2020-11-20,49.235,49.27,49.195,49.26,5138,49.062,49.054,49.054,49.187,53.31,,,,-0.1253
10:35AM_2020-11-20,49.205,49.205,49.185,49.205,5538,49.104,49.08,49.069,49.178,50.15,,,,-0.0738
10:40AM_2020-11-20,49.2,49.2,49.185,49.19,2134,49.147,49.091,49.091,49.173,49.29,-0.07,,,-0.0255
10:45AM_2020-11-20,49.17,49.195,49.17,49.17,2430,49.186,49.104,49.099,49.166,48.11,-0.06,,,0.0198
10:50AM_2020-11-20,49.18,49.18,49.02,49.17,25808,49.207,49.128,49.11,49.155,48.11,-0.05,,,0.0527
10:55AM_2020-11-20,49.175,49.21,49.125,49.125,13416,49.187,49.15,49.128,49.142,45.28,-0.05,,,0.0447
11:00AM_2020-11-20,49.12,49.205,49.105,49.105,10384,49.161,49.168,49.145,49.127,44.04,-0.05,,,0.0336
11:05AM_2020-11-20,49.07,49.07,49.0,49.0,7408,49.127,49.164,49.151,49.108,38.13,-0.06,,,0.0189
11:10AM_2020-11-20,49.0,49.01,48.97,48.99,9124,49.093,49.135,49.146,49.09,37.62,-0.07,,,0.0038
11:15AM_2020-11-20,48.98,49.0,48.98,48.995,7366,49.064,49.106,49.121,49.083,38.07,-0.07,,,-0.0186
11:20AM_2020-11-20,48.98,49.0,48.98,48.99,18584,49.034,49.082,49.094,49.074,37.77,-0.07,-0.06,-0.01017973057715614,-0.0401
11:25AM_2020-11-20,48.98,49.0,48.965,48.99,4152,49.012,49.059,49.072,49.071,37.77,-0.07,-0.06,-0.008984880610398066,-0.0591
11:30AM_2020-11-20,48.98,49.01,48.88,48.88,25196,48.974,49.027,49.041,49.066,31.54,-0.08,-0.07,-0.014204194574471724,-0.0921
11:35AM_2020-11-20,48.905,48.92,48.9,48.91,7319,48.959,48.998,49.015,49.057,34.7,-0.09,-0.07,-0.01420332999776136,-0.0981
11:40AM_2020-11-20,48.91,48.91,48.89,48.91,11002,48.946,48.974,48.989,49.05,34.7,-0.09,-0.07,-0.012812761618316806,-0.1042
11:45AM_2020-11-20,48.9,48.91,48.815,48.9,18522,48.93,48.952,48.967,49.048,34.09,-0.09,-0.08,-0.011233023473303405,-0.1175
11:50AM_2020-11-20,48.89,48.92,48.89,48.915,18588,48.917,48.942,48.948,49.047,35.91,-0.09,-0.08,-0.007996485939868098,-0.1293
11:55AM_2020-11-20,48.91,48.93,48.885,48.895,14636,48.902,48.932,48.937,49.045,34.54,-0.09,-0.08,-0.006106555917578638,-0.1428
12:00PM_2020-11-20,48.9,48.9,48.795,48.795,22676,48.887,48.909,48.918,49.032,28.66,-0.09,-0.08,-0.010251221679126177,-0.1448
12:05PM_2020-11-20,48.83,48.83,48.745,48.745,15160,48.86,48.882,48.893,49.007,26.26,-0.1,-0.09,-0.014746737141774158,-0.147
12:10PM_2020-11-20,48.74,48.765,48.68,48.69,29131,48.823,48.849,48.863,48.979,23.88,-0.11,-0.09,-0.01951197357314824,-0.1552
12:15PM_2020-11-20,48.695,48.695,48.61,48.63,21247,48.778,48.821,48.827,48.95,21.58,-0.12,-0.1,-0.02447108089887376,-0.1714
12:20PM_2020-11-20,48.6,48.61,48.535,48.55,30134,48.717,48.781,48.794,48.918,18.97,-0.14,-0.11,-0.03051231687772732,-0.2003
12:25PM_2020-11-20,48.545,48.74,48.535,48.725,44804,48.689,48.761,48.775,48.896,36.97,-0.13,-0.11,-0.02057207054368873,-0.2063
12:30PM_2020-11-20,48.715,48.795,48.61,48.61,74400,48.658,48.728,48.745,48.868,31.95,-0.13,-0.12,-0.019596259444048067,-0.2092
12:35PM_2020-11-20,48.61,48.64,48.54,48.55,47038,48.626,48.688,48.71,48.839,29.68,-0.14,-0.12,-0.020735700960493098,-0.2129
12:40PM_2020-11-20,48.545,48.595,48.495,48.585,54940,48.608,48.653,48.677,48.813,32.68,-0.14,-0.12,-0.017031271510751136,-0.2044
