Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram,Delta_SMA6_SMA20
08:15AM_2020-11-20,28.65,28.69,28.65,28.69,1200,,,,,,,,,
08:25AM_2020-11-20,28.73,28.82,28.73,28.74,5674,,,,,,,,,
08:30AM_2020-11-20,28.68,28.68,28.64,28.655,1173,,,,,,,,,
08:35AM_2020-11-20,28.65,28.67,28.63,28.65,2200,,,,,,,,,
08:40AM_2020-11-20,28.66,28.66,28.64,28.64,592,,,,,,,,,
08:45AM_2020-11-20,28.63,28.63,28.63,28.63,850,28.668,,,,,,,,
08:50AM_2020-11-20,28.64,28.69,28.64,28.65,1988,28.661,,,,,,,,
08:55AM_2020-11-20,28.66,28.66,28.66,28.66,300,28.647,,,,,,,,
09:00AM_2020-11-20,28.65,28.66,28.64,28.66,2223,28.648,28.664,,,,,,,
09:05AM_2020-11-20,28.73,28.73,28.73,28.73,165,28.662,28.668,28.671,,,,,,
09:10AM_2020-11-20,28.8,28.8,28.8,28.8,100,28.688,28.675,28.682,,,,,,
09:15AM_2020-11-20,28.77,28.79,28.77,28.79,2810,28.715,28.69,28.687,,,,,,
09:20AM_2020-11-20,28.66,28.66,28.66,28.66,2230,28.717,28.691,28.687,,,,,,
09:25AM_2020-11-20,28.74,28.74,28.74,28.74,400,28.73,28.702,28.696,,,,,,
09:30AM_2020-11-20,28.78,28.79,28.78,28.78,1260,28.75,28.719,28.71,,57.63,,,,
09:35AM_2020-11-20,28.8,28.8,28.781,28.781,1867,28.758,28.733,28.725,,57.7,,,,
09:55AM_2020-11-20,28.815,28.83,28.815,28.83,443,28.764,28.752,28.743,,61.41,,,,
10:00AM_2020-11-20,28.84,28.88,28.84,28.88,500,28.779,28.777,28.765,,64.81,,,,
10:05AM_2020-11-20,28.87,28.88,28.84,28.88,2579,28.815,28.793,28.787,,64.81,,,,
10:10AM_2020-11-20,28.88,28.88,28.83,28.83,1750,28.83,28.797,28.797,28.734,58.81,,,,0.0964
10:15AM_2020-11-20,28.84,28.85,28.84,28.85,1100,28.842,28.803,28.802,28.742,60.39,,,,0.1
10:20AM_2020-11-20,28.89,28.94,28.89,28.94,2175,28.868,28.835,28.817,28.752,66.59,,,,0.1165
10:25AM_2020-11-20,28.895,28.9,28.88,28.88,1011,28.877,28.85,28.839,28.763,59.86,,,,0.1136
10:30AM_2020-11-20,28.9,28.97,28.9,28.97,2450,28.892,28.871,28.862,28.779,65.5,,,,0.1126
10:35AM_2020-11-20,28.96,29.03,28.96,29.03,4065,28.917,28.899,28.887,28.799,68.66,,,,0.1181
10:40AM_2020-11-20,29.03,29.03,29.0,29.0,1100,28.945,28.918,28.909,28.817,65.43,0.11,,,0.1279
10:45AM_2020-11-20,29.05,29.11,29.05,29.11,4671,28.988,28.943,28.937,28.84,70.84,0.12,,,0.1483
10:50AM_2020-11-20,29.15,29.15,29.08,29.08,2778,29.012,28.966,28.957,28.861,67.73,0.13,,,0.1506
10:55AM_2020-11-20,29.06,29.06,29.02,29.02,1429,29.035,28.987,28.971,28.879,61.87,0.12,,,0.1559
11:00AM_2020-11-20,29.07,29.24,29.07,29.23,5791,29.078,29.029,29.011,28.904,71.24,0.13,,,0.1743
11:05AM_2020-11-20,29.215,29.219,29.09,29.09,6496,29.088,29.046,29.035,28.919,60.56,0.13,,,0.1698
11:10AM_2020-11-20,29.06,29.07,29.05,29.07,1930,29.1,29.067,29.048,28.933,59.19,0.13,,,0.1674
11:15AM_2020-11-20,29.12,29.12,29.12,29.12,1925,29.102,29.083,29.072,28.956,61.53,0.12,,,0.1461
11:20AM_2020-11-20,29.11,29.16,29.1,29.12,2764,29.108,29.093,29.087,28.975,61.53,0.12,0.12,-0.0031861187093929905,0.1338
11:25AM_2020-11-20,29.12,29.24,29.12,29.22,14242,29.142,29.118,29.106,28.997,66.04,0.13,0.12,0.0010188268109408843,0.1451
