Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram,Delta_SMA6_SMA20
08:35AM_2020-11-20,12.26,12.26,12.22,12.23,20047,,,,,,,,,
08:40AM_2020-11-20,12.22,12.29,12.22,12.28,36104,,,,,,,,,
08:45AM_2020-11-20,12.28,12.49,12.28,12.48,111921,,,,,,,,,
08:50AM_2020-11-20,12.49,12.49,12.37,12.415,86787,,,,,,,,,
08:55AM_2020-11-20,12.415,12.44,12.395,12.43,32187,,,,,,,,,
09:00AM_2020-11-20,12.42,12.46,12.405,12.445,33082,12.38,,,,,,,,
09:05AM_2020-11-20,12.445,12.445,12.39,12.4,9996,12.408,,,,,,,,
09:10AM_2020-11-20,12.38,12.43,12.35,12.36,27503,12.422,,,,,,,,
09:15AM_2020-11-20,12.35,12.41,12.35,12.365,23914,12.402,12.378,,,,,,,
09:20AM_2020-11-20,12.355,12.37,12.315,12.315,27526,12.386,12.388,12.372,,,,,,
09:25AM_2020-11-20,12.32,12.32,12.28,12.285,30835,12.362,12.388,12.378,,,,,,
09:30AM_2020-11-20,12.285,12.319,12.265,12.275,37958,12.333,12.366,12.377,,,,,,
09:35AM_2020-11-20,12.285,12.37,12.28,12.355,39143,12.326,12.359,12.364,,,,,,
09:40AM_2020-11-20,12.34,12.37,12.305,12.305,21236,12.317,12.345,12.353,,,,,,
09:45AM_2020-11-20,12.31,12.37,12.3,12.36,10582,12.316,12.336,12.346,,59.15,,,,
09:50AM_2020-11-20,12.35,12.359000000000002,12.31,12.32,6959,12.317,12.327,12.334,,55.77,,,,
09:55AM_2020-11-20,12.33,12.335,12.305,12.31,16450,12.321,12.321,12.325,,54.93,,,,
10:00AM_2020-11-20,12.31,12.33,12.27,12.325,14209,12.329,12.317,12.321,,56.0,,,,
10:05AM_2020-11-20,12.32,12.37,12.32,12.35,18355,12.328,12.321,12.32,,57.81,,,,
10:10AM_2020-11-20,12.35,12.38,12.31,12.32,9374,12.331,12.324,12.32,12.346,54.89,,,,-0.0154
10:15AM_2020-11-20,12.32,12.34,12.29,12.29,4644,12.319,12.326,12.321,12.349,52.06,,,,-0.0301
10:20AM_2020-11-20,12.3,12.3,12.22,12.23,25868,12.304,12.312,12.316,12.347,46.86,,,,-0.0426
10:25AM_2020-11-20,12.24,12.25,12.21,12.22,7213,12.289,12.303,12.303,12.334,46.03,,,,-0.0446
10:30AM_2020-11-20,12.21,12.26,12.21,12.25,9295,12.277,12.291,12.297,12.325,48.94,,,,-0.0488
10:35AM_2020-11-20,12.25,12.26,12.23,12.25,4480,12.26,12.283,12.286,12.316,48.94,,,,-0.0565
10:40AM_2020-11-20,12.25,12.26,12.215,12.215,9315,12.242,12.272,12.276,12.305,45.61,-0.05,,,-0.0625
10:45AM_2020-11-20,12.23,12.26,12.2,12.25,26121,12.236,12.264,12.27,12.297,49.32,-0.05,,,-0.0617
10:50AM_2020-11-20,12.25,12.28,12.25,12.25,13922,12.239,12.253,12.262,12.292,49.32,-0.04,,,-0.0528
10:55AM_2020-11-20,12.259,12.28,12.259,12.26,3818,12.246,12.246,12.253,12.287,50.44,-0.04,,,-0.0409
11:00AM_2020-11-20,12.27,12.32,12.27,12.3,7619,12.254,12.247,12.251,12.286,54.75,-0.04,,,-0.0318
11:05AM_2020-11-20,12.31,12.33,12.31,12.33,4615,12.267,12.258,12.256,12.288,57.72,-0.03,,,-0.0207
11:10AM_2020-11-20,12.33,12.34,12.29,12.3,6638,12.282,12.267,12.263,12.289,53.91,-0.02,,,-0.0078
11:15AM_2020-11-20,12.325,12.37,12.325,12.35,5312,12.298,12.278,12.276,12.289,58.79,-0.02,,,0.0091
11:20AM_2020-11-20,12.34,12.37,12.29,12.31,10447,12.308,12.285,12.282,12.289,53.88,-0.02,-0.03,0.018378107894055203,0.0188
11:25AM_2020-11-20,12.31,12.359000000000002,12.31,12.32,10042,12.318,12.297,12.289,12.287,54.89,-0.01,-0.03,0.017112034119779514,0.0308
11:30AM_2020-11-20,12.3,12.305,12.26,12.27,17656,12.313,12.299,12.294,12.285,49.07,-0.01,-0.03,0.012497291344237424,0.0283
11:35AM_2020-11-20,12.27,12.28,12.205,12.275,28026,12.304,12.302,12.297,12.283,49.65,-0.01,-0.02,0.009507067810049855,0.0209
11:40AM_2020-11-20,12.27,12.34,12.27,12.29,36611,12.302,12.305,12.301,12.281,51.42,-0.01,-0.02,0.008308322030503947,0.021
