Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
09:25AM_2020-11-10,130.48,130.49,130.035,130.035,940,,,,,,,,
09:30AM_2020-11-10,129.625,129.915,129.625,129.915,780,,,,,,,,
09:35AM_2020-11-10,129.93,129.93,129.52,129.52,832,,,,,,,,
09:40AM_2020-11-10,129.655,129.655,129.655,129.655,200,,,,,,,,
09:45AM_2020-11-10,129.58,129.81,129.565,129.81,1700,,,,,,,,
09:50AM_2020-11-10,129.76,129.76,129.75,129.75,600,129.78,,,,,,,
09:55AM_2020-11-10,129.505,129.505,129.505,129.505,200,129.69,,,,,,,
10:00AM_2020-11-10,129.4,129.4,129.25,129.25,1214,129.58,,,,,,,
10:10AM_2020-11-10,128.91,128.92,128.88,128.89,1004,129.48,129.59,,,,,,
10:15AM_2020-11-10,128.89,129.22,128.89,129.15,1290,129.39,129.49,129.55,,,,,
10:20AM_2020-11-10,129.145,129.47,129.145,129.47,422,129.34,129.44,129.49,,,,,
10:25AM_2020-11-10,129.155,129.28,129.155,129.28,912,129.26,129.42,129.43,,,,,
10:30AM_2020-11-10,129.26,129.26,128.92,129.05,1052,129.18,129.35,129.38,,,,,
10:35AM_2020-11-10,128.93,129.5,128.93,129.5,602,129.22,129.32,129.37,,,,,
10:40AM_2020-11-10,129.42,129.42,129.42,129.42,240,129.31,129.28,129.33,,40.55,,,
10:45AM_2020-11-10,129.52,129.52,129.52,129.52,200,129.37,129.28,129.3,,42.46,,,
10:50AM_2020-11-10,129.605,129.71,129.605,129.685,804,129.41,129.33,129.32,,45.56,,,
10:55AM_2020-11-10,129.925,129.93,129.925,129.93,470,129.52,129.45,129.39,,49.87,,,
11:00AM_2020-11-10,130.56,130.56,130.56,130.56,108,129.77,129.6,129.56,,58.89,,,
11:05AM_2020-11-10,130.535,130.535,130.535,130.535,202,129.94,129.72,129.7,129.62,58.45,,,
11:15AM_2020-11-10,130.125,130.35,130.125,130.35,503,130.1,129.84,129.78,129.64,55.09,,,
11:20AM_2020-11-10,130.2,130.2,129.955,129.955,830,130.17,129.94,129.85,129.64,48.67,,,
11:25AM_2020-11-10,130.13,130.13,130.13,130.13,264,130.24,130.01,129.96,129.67,51.38,,,
