Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram,Delta_SMA6_SMA20
08:35AM_2020-11-20,6.295,6.32,6.295,6.32,1835,,,,,,,,,
08:40AM_2020-11-20,6.335,6.35,6.335,6.34,1606,,,,,,,,,
08:45AM_2020-11-20,6.35,6.41,6.35,6.4,2752,,,,,,,,,
08:50AM_2020-11-20,6.4,6.42,6.38,6.42,1832,,,,,,,,,
08:55AM_2020-11-20,6.42,6.52,6.42,6.51,5753,,,,,,,,,
09:00AM_2020-11-20,6.48,6.49,6.46,6.47,2638,6.41,,,,,,,,
09:05AM_2020-11-20,6.45,6.49,6.43,6.49,1254,6.438,,,,,,,,
09:10AM_2020-11-20,6.49,6.52,6.49,6.5,1378,6.465,,,,,,,,
09:15AM_2020-11-20,6.46,6.47,6.46,6.47,449,6.477,6.436,,,,,,,
09:20AM_2020-11-20,6.47,6.52,6.47,6.52,799,6.493,6.458,6.444,,,,,,
09:25AM_2020-11-20,6.545,6.55,6.51,6.53,3001,6.497,6.479,6.465,,,,,,
09:30AM_2020-11-20,6.53,6.53,6.44,6.44,2693,6.492,6.483,6.475,,,,,,
09:35AM_2020-11-20,6.48,6.49,6.47,6.48,900,6.49,6.49,6.483,,,,,,
09:40AM_2020-11-20,6.505,6.51,6.495,6.5,754,6.49,6.489,6.491,,,,,,
09:45AM_2020-11-20,6.49,6.505,6.48,6.49,1098,6.493,6.491,6.489,,66.67,,,,
09:50AM_2020-11-20,6.49,6.505,6.455,6.455,1607,6.483,6.487,6.487,,62.08,,,,
09:55AM_2020-11-20,6.43,6.44,6.38,6.41,4960,6.463,6.477,6.479,,56.68,,,,
10:00AM_2020-11-20,6.41,6.41,6.4,6.41,1885,6.458,6.471,6.47,,56.68,,,,
10:05AM_2020-11-20,6.4,6.4,6.34,6.345,2111,6.435,6.451,6.458,,49.47,,,,
10:10AM_2020-11-20,6.35,6.36,6.35,6.35,1990,6.41,6.431,6.441,6.442,50.0,,,,-0.0325
10:15AM_2020-11-20,6.33,6.36,6.33,6.36,400,6.388,6.422,6.424,6.445,51.09,,,,-0.0562
10:20AM_2020-11-20,6.36,6.36,6.35,6.355,2318,6.372,6.408,6.415,6.445,50.5,,,,-0.0736
10:25AM_2020-11-20,6.35,6.37,6.34,6.37,1350,6.365,6.394,6.404,6.444,52.3,,,,-0.0788
10:30AM_2020-11-20,6.36,6.36,6.31,6.34,1589,6.353,6.377,6.388,6.44,48.5,,,,-0.0864
10:35AM_2020-11-20,6.335,6.335,6.3,6.31,1828,6.348,6.361,6.37,6.43,44.98,,,,-0.0823
10:40AM_2020-11-20,6.32,6.325,6.315,6.315,1500,6.342,6.351,6.356,6.422,45.68,-0.05,,,-0.0803
10:45AM_2020-11-20,6.3,6.31,6.29,6.29,1760,6.33,6.337,6.345,6.412,42.72,-0.05,,,-0.082
10:50AM_2020-11-20,6.33,6.41,6.33,6.41,1968,6.339,6.344,6.345,6.408,57.09,-0.05,,,-0.0683
10:55AM_2020-11-20,6.395,6.395,6.37,6.39,800,6.342,6.349,6.349,6.403,54.63,-0.04,,,-0.061
11:00AM_2020-11-20,6.395,6.4,6.39,6.4,694,6.352,6.353,6.354,6.398,55.66,-0.03,,,-0.045
11:05AM_2020-11-20,6.4,6.43,6.4,6.43,1225,6.372,6.362,6.361,6.392,58.69,-0.03,,,-0.02
11:10AM_2020-11-20,6.45,6.45,6.44,6.44,730,6.393,6.369,6.37,6.392,59.67,-0.02,,,0.0008
11:15AM_2020-11-20,6.435,6.445,6.42,6.445,1107,6.419,6.381,6.377,6.391,60.19,-0.02,,,0.0284
11:20AM_2020-11-20,6.45,6.45,6.44,6.44,684,6.424,6.396,6.387,6.388,59.37,-0.01,-0.03,0.022908279118821345,0.0364
11:25AM_2020-11-20,6.42,6.42,6.42,6.42,140,6.429,6.407,6.398,6.384,56.11,-0.01,-0.03,0.019908524912566453,0.0449
11:30AM_2020-11-20,6.42,6.48,6.42,6.47,1247,6.441,6.427,6.414,6.385,61.77,-0.0,-0.02,0.020437098441312876,0.0558
11:35AM_2020-11-20,6.47,6.49,6.47,6.48,809,6.449,6.435,6.433,6.389,62.8,0.0,-0.02,0.020550163907433264,0.0607
11:40AM_2020-11-20,6.48,6.485,6.45,6.45,700,6.451,6.442,6.437,6.39,57.76,0.0,-0.01,0.017797325357941506,0.0603
11:45AM_2020-11-20,6.44,6.475,6.44,6.47,600,6.455,6.449,6.445,6.397,60.06,0.01,-0.01,0.016542821525229255,0.0582
11:50AM_2020-11-20,6.45,6.455,6.43,6.45,1283,6.457,6.452,6.45,6.402,56.73,0.01,-0.01,0.013702797040074991,0.0549
11:55AM_2020-11-20,6.455,6.455,6.44,6.44,1899,6.46,6.452,6.451,6.406,55.09,0.01,-0.0,0.010624822894971556,0.0542
12:00PM_2020-11-20,6.44,6.44,6.44,6.44,1340,6.455,6.451,6.451,6.41,55.09,0.01,-0.0,0.008173019521279096,0.045
12:05PM_2020-11-20,6.455,6.455,6.37,6.37,1984,6.437,6.443,6.443,6.41,44.59,0.0,-0.0,0.0017563510084671085,0.0267
12:10PM_2020-11-20,6.36,6.365,6.34,6.36,4433,6.422,6.437,6.435,6.411,43.32,-0.01,-0.0,-0.0029839890450204607,0.0107
12:15PM_2020-11-20,6.35,6.365,6.35,6.365,1635,6.404,6.425,6.43,6.414,44.18,-0.01,-0.0,-0.0054610763655410805,-0.0096
12:20PM_2020-11-20,6.37,6.375,6.37,6.375,620,6.392,6.413,6.42,6.417,45.94,-0.01,-0.0,-0.0060582124922079275,-0.0251
12:25PM_2020-11-20,6.4,6.405,6.4,6.4,2110,6.385,6.408,6.412,6.422,50.16,-0.01,-0.01,-0.004474655919807962,-0.0373
12:30PM_2020-11-20,6.39,6.43,6.39,6.425,1560,6.382,6.403,6.41,6.423,54.03,-0.01,-0.01,-0.0015970974169289172,-0.0405
12:35PM_2020-11-20,6.43,6.43,6.41,6.42,4836,6.391,6.399,6.405,6.425,53.15,-0.01,-0.01,2.9780248874642333e-05,-0.0337
12:40PM_2020-11-20,6.4,6.41,6.39,6.41,740,6.399,6.396,6.401,6.425,51.33,-0.01,-0.01,0.000468315585883311,-0.0258
