Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
12:55PM_2020-11-09,4.09,4.09,4.06,4.06,6848,,,,,,,,
06:30AM_2020-11-10,4.12,4.14,4.12,4.14,410,,,,,,,,
06:35AM_2020-11-10,4.16,4.18,4.16,4.18,1000,,,,,,,,
06:40AM_2020-11-10,4.16,4.17,4.16,4.17,626,,,,,,,,
06:45AM_2020-11-10,4.18,4.22,4.18,4.22,1699,,,,,,,,
06:50AM_2020-11-10,4.21,4.215,4.19,4.19,700,4.16,,,,,,,
06:55AM_2020-11-10,4.19,4.21,4.19,4.2,944,4.18,,,,,,,
07:00AM_2020-11-10,4.21,4.21,4.21,4.21,100,4.19,,,,,,,
07:05AM_2020-11-10,4.22,4.22,4.22,4.22,240,4.2,4.18,,,,,,
07:15AM_2020-11-10,4.23,4.23,4.23,4.23,300,4.21,4.2,4.18,,,,,
07:25AM_2020-11-10,4.23,4.24,4.23,4.23,2800,4.21,4.21,4.2,,,,,
07:30AM_2020-11-10,4.22,4.22,4.22,4.22,100,4.22,4.21,4.21,,,,,
07:35AM_2020-11-10,4.21,4.21,4.2,4.2,300,4.22,4.21,4.21,,,,,
07:40AM_2020-11-10,4.175,4.175,4.175,4.175,200,4.21,4.21,4.21,,,,,
08:00AM_2020-11-10,4.19,4.19,4.19,4.19,100,4.21,4.21,4.21,,70.31,,,
08:15AM_2020-11-10,4.21,4.21,4.2,4.2,1400,4.2,4.21,4.21,,71.28,,,
08:20AM_2020-11-10,4.18,4.18,4.18,4.18,200,4.19,4.2,4.21,,66.61,,,
08:25AM_2020-11-10,4.19,4.21,4.19,4.2,500,4.19,4.2,4.2,,68.81,,,
08:30AM_2020-11-10,4.19,4.2,4.19,4.2,230,4.19,4.2,4.2,,68.81,,,
08:40AM_2020-11-10,4.17,4.18,4.17,4.18,200,4.19,4.19,4.2,4.19,63.92,,,
09:00AM_2020-11-10,4.17,4.17,4.17,4.17,100,4.19,4.19,4.19,4.2,61.57,,,
09:05AM_2020-11-10,4.18,4.18,4.17,4.17,778,4.18,4.19,4.19,4.2,61.57,,,
09:15AM_2020-11-10,4.16,4.17,4.16,4.17,222,4.18,4.18,4.18,4.2,61.57,,,
09:20AM_2020-11-10,4.17,4.17,4.17,4.17,100,4.18,4.18,4.18,4.2,61.57,,,
09:35AM_2020-11-10,4.165,4.165,4.165,4.165,100,4.17,4.18,4.18,4.19,60.08,,,
09:40AM_2020-11-10,4.14,4.14,4.14,4.14,246,4.16,4.17,4.17,4.19,53.16,-0.01,,
10:05AM_2020-11-10,4.14,4.14,4.14,4.14,200,4.16,4.17,4.17,4.19,53.16,-0.01,,
10:15AM_2020-11-10,4.11,4.12,4.11,4.12,500,4.15,4.16,4.16,4.18,48.03,-0.02,,
10:35AM_2020-11-10,4.12,4.13,4.12,4.13,351,4.14,4.15,4.16,4.18,50.6,-0.02,,
10:40AM_2020-11-10,4.14,4.14,4.14,4.14,100,4.14,4.15,4.15,4.17,53.09,-0.02,,
10:50AM_2020-11-10,4.14,4.14,4.135,4.135,200,4.13,4.15,4.15,4.17,51.69,-0.02,,
10:55AM_2020-11-10,4.14,4.15,4.14,4.15,400,4.14,4.14,4.15,4.17,55.49,-0.02,,
11:00AM_2020-11-10,4.15,4.15,4.15,4.15,400,4.14,4.14,4.14,4.16,55.49,-0.01,,
11:05AM_2020-11-10,4.145,4.145,4.13,4.14,1145,4.14,4.14,4.14,4.16,52.31,-0.01,-0.02,0.0007873745613316482
11:20AM_2020-11-10,4.11,4.11,4.11,4.11,1110,4.14,4.14,4.14,4.16,44.12,-0.02,-0.02,-0.0009614434990868719
11:25AM_2020-11-10,4.12,4.12,4.11,4.11,250,4.13,4.13,4.13,4.15,44.12,-0.02,-0.02,-0.0018638187239690442
11:30AM_2020-11-10,4.11,4.11,4.11,4.11,475,4.13,4.13,4.13,4.15,44.12,-0.02,-0.02,-0.0021841079575830834
11:35AM_2020-11-10,4.11,4.11,4.11,4.11,790,4.12,4.13,4.13,4.15,44.12,-0.02,-0.02,-0.0021177888540357716
