Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
10:20AM_2020-11-10,122.42,122.47,122.42,122.45,948,,,,,,,,
10:25AM_2020-11-10,122.26,122.3,122.25,122.285,800,,,,,,,,
10:30AM_2020-11-10,122.29,122.38,122.29,122.38,1766,,,,,,,,
10:35AM_2020-11-10,122.38,122.55,122.38,122.54,1064,,,,,,,,
10:40AM_2020-11-10,122.59,122.59,122.57,122.57,638,,,,,,,,
10:45AM_2020-11-10,122.69,122.825,122.69,122.82,2064,122.51,,,,,,,
10:50AM_2020-11-10,122.895,122.94,122.87,122.94,1376,122.59,,,,,,,
10:55AM_2020-11-10,122.99,123.15,122.99,123.15,2480,122.73,,,,,,,
11:00AM_2020-11-10,123.15,123.19,122.965,123.0,3152,122.84,122.68,,,,,,
11:10AM_2020-11-10,123.13,123.4,123.0,123.4,10614,122.98,122.79,122.75,,,,,
11:15AM_2020-11-10,123.355,123.41,123.285,123.34,1660,123.11,122.9,122.84,,,,,
11:20AM_2020-11-10,123.685,123.685,123.495,123.495,1696,123.22,123.03,122.96,,,,,
11:25AM_2020-11-10,123.63,123.63,123.345,123.345,3174,123.29,123.12,123.06,,,,,
11:30AM_2020-11-10,123.48,123.48,123.27,123.27,1922,123.31,123.2,123.13,,,,,
11:35AM_2020-11-10,123.34,123.34,123.28,123.28,230,123.36,123.25,123.2,,70.44,,,
11:40AM_2020-11-10,123.31,123.38,123.235,123.38,1459,123.35,123.3,123.26,,71.93,,,
11:45AM_2020-11-10,123.29,123.31,123.18,123.18,1374,123.32,123.3,123.28,,64.89,,,
11:50AM_2020-11-10,123.22,123.26,123.14,123.14,2210,123.27,123.31,123.28,,63.55,,,
11:55AM_2020-11-10,123.06,123.13,122.94,123.02,3870,123.21,123.27,123.29,,59.58,,,
12:00PM_2020-11-10,122.98,122.98,122.865,122.865,2139,123.14,123.22,123.23,122.99,54.81,,,
12:05PM_2020-11-10,122.795,122.84,122.75,122.83,2304,123.07,123.15,123.18,123.01,53.76,,,
12:10PM_2020-11-10,122.91,122.97,122.67,122.78,2261,122.97,123.08,123.11,123.04,52.23,,,
