Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
11:30AM_2020-11-11,36.41,36.455,36.4,36.4,28838,,,,,,,,
11:35AM_2020-11-11,36.41,36.42,36.36,36.37,27718,,,,,,,,
11:40AM_2020-11-11,36.37,36.37,36.27,36.3,28537,,,,,,,,
11:45AM_2020-11-11,36.32,36.34,36.24,36.27,24293,,,,,,,,
11:50AM_2020-11-11,36.28,36.345,36.26,36.34,28601,,,,,,,,
11:55AM_2020-11-11,36.33,36.44,36.325,36.41,22820,36.348,,,,,,,
12:00PM_2020-11-11,36.415,36.445,36.36,36.37,27260,36.343,,,,,,,
12:05PM_2020-11-11,36.36,36.39,36.34,36.36,17110,36.342,,,,,,,
12:10PM_2020-11-11,36.36,36.37,36.315,36.335,30592,36.348,36.351,,,,,,
12:15PM_2020-11-11,36.35,36.395,36.34,36.345,36958,36.36,36.344,36.35,,,,,
12:20PM_2020-11-11,36.345,36.345,36.26,36.26,53628,36.347,36.332,36.336,,,,,
12:25PM_2020-11-11,36.27,36.28,36.21,36.235,78768,36.318,36.325,36.323,,,,,
12:30PM_2020-11-11,36.23,36.31,36.195,36.29,80580,36.304,36.327,36.322,,,,,
12:35PM_2020-11-11,36.29,36.315,36.235,36.29,74925,36.292,36.322,36.324,,,,,
12:40PM_2020-11-11,36.3,36.325,36.27,36.3,94086,36.287,36.309,36.32,,40.57,,,
12:45PM_2020-11-11,36.28,36.375,36.27,36.375,92266,36.292,36.31,36.316,,48.43,,,
12:50PM_2020-11-11,36.38,36.42,36.36,36.41,157150,36.317,36.316,36.32,,51.64,,,
12:55PM_2020-11-11,36.41,36.48,36.4,36.47,348813,36.356,36.331,36.331,,56.63,,,
04:15AM_2020-11-12,36.15,36.15,36.15,36.15,200,36.332,36.309,36.313,,35.56,,,
04:20AM_2020-11-12,36.05,36.05,36.05,36.05,200,36.293,36.286,36.283,36.316,31.6,,,
05:30AM_2020-11-12,35.77,35.77,35.77,35.77,200,36.204,36.234,36.234,36.285,23.66,,,
06:05AM_2020-11-12,35.9,35.9,35.9,35.9,200,36.125,36.191,36.2,36.262,32.18,,,
06:30AM_2020-11-12,35.82,35.98,35.755,35.77,63528,36.018,36.133,36.148,36.235,28.73,,,
06:35AM_2020-11-12,35.76,35.83,35.67,35.82,64778,35.91,36.079,36.101,36.212,31.76,,,
06:40AM_2020-11-12,35.815,35.935,35.815,35.92,49916,35.872,36.029,36.063,36.192,37.49,,,
06:45AM_2020-11-12,35.92,36.125,35.85,36.02,49532,35.867,35.986,36.028,36.172,42.67,-0.18,,
06:50AM_2020-11-12,36.02,36.04,35.92,36.015,44237,35.908,35.935,35.988,36.154,42.48,-0.17,,
06:55AM_2020-11-12,36.035,36.17,36.0,36.14,32300,35.948,35.934,35.955,36.143,48.63,-0.15,,
07:00AM_2020-11-12,36.13,36.14,36.0,36.07,39987,35.998,35.936,35.947,36.13,45.69,-0.13,,
07:05AM_2020-11-12,36.1,36.22,36.075,36.18,63207,36.058,35.982,35.96,36.122,50.73,-0.11,,
07:10AM_2020-11-12,36.18,36.22,36.14,36.165,28286,36.098,36.011,36.0,36.117,50.05,-0.1,,
07:15AM_2020-11-12,36.16,36.26,36.135,36.24,35560,36.135,36.063,36.034,36.117,53.43,-0.08,,
07:20AM_2020-11-12,36.26,36.29,36.06,36.07,53580,36.144,36.091,36.064,36.106,45.86,-0.08,,
07:25AM_2020-11-12,36.09,36.09,35.995,36.005,54764,36.122,36.101,36.082,36.092,43.33,-0.08,-0.12,0.04142092725421283
07:30AM_2020-11-12,36.01,36.05,35.94,35.96,40065,36.103,36.094,36.086,36.075,41.62,-0.08,-0.11,0.029593964054923094
07:35AM_2020-11-12,35.975,36.05,35.965,35.975,182591,36.069,36.089,36.082,36.055,42.44,-0.08,-0.11,0.022606333338897777
07:40AM_2020-11-12,35.975,36.06,35.955,36.045,54647,36.049,36.079,36.085,36.037,46.21,-0.08,-0.1,0.022476652722081034
07:45AM_2020-11-12,36.04,36.06,35.95,35.96,37850,36.003,36.067,36.067,36.011,42.56,-0.08,-0.1,0.01670923370924489
07:50AM_2020-11-12,35.96,36.07,35.905,36.065,59702,36.002,36.054,36.066,36.007,48.03,-0.07,-0.09,0.01979779952759661
07:55AM_2020-11-12,36.06,36.08,35.975,36.005,47289,36.002,36.036,36.049,36.005,45.37,-0.07,-0.09,0.017700179625661838
08:00AM_2020-11-12,35.99,35.99,35.82,35.95,478344,36.0,36.004,36.027,36.014,43.02,-0.07,-0.08,0.012740665718114302
08:05AM_2020-11-12,35.925,35.98,35.92,35.95,54078,35.996,35.991,35.998,36.016,43.02,-0.07,-0.08,0.009728290961824315
08:10AM_2020-11-12,35.94,36.075,35.93,36.055,1045492,35.998,35.996,35.997,36.03,48.88,-0.06,-0.08,0.01477294092355233
08:15AM_2020-11-12,36.065,36.09,36.02,36.06,37472,36.014,36.007,36.002,36.043,49.15,-0.05,-0.07,0.018187692098748556
08:20AM_2020-11-12,36.05,36.18,36.04,36.155,62474,36.029,36.027,36.022,36.054,54.08,-0.04,-0.07,0.026103983706030454
08:25AM_2020-11-12,36.155,36.165,35.96,35.99,69806,36.027,36.021,36.024,36.053,45.78,-0.04,-0.06,0.019774679707956773
08:30AM_2020-11-12,35.985,36.06,35.955,35.955,76882,36.028,36.021,36.014,36.05,44.23,-0.05,-0.06,0.013099530742987933
08:35AM_2020-11-12,35.965,36.095,35.955,36.07,37020,36.048,36.021,36.025,36.046,50.2,-0.04,-0.05,0.016100328284122306
08:40AM_2020-11-12,36.05,36.12,36.04,36.045,17069,36.046,36.026,36.024,36.045,48.97,-0.03,-0.05,0.016037346035970027
