Timestamp,Open,High,Low,Close,Volume,SMA-6,SMA-9,SMA-10,SMA-20,RSI,MACD,Signal,Histogram
07:35AM_2020-11-11,30.39,31.065,30.39,31.065,1018,,,,,,,,
07:40AM_2020-11-11,31.025,31.18,30.84,30.89,1265,,,,,,,,
07:45AM_2020-11-11,30.9,31.000999999999998,30.9,31.000999999999998,235,,,,,,,,
07:50AM_2020-11-11,31.051,31.051,30.46,30.46,1832,,,,,,,,
07:55AM_2020-11-11,30.49,30.86,30.44,30.79,735,,,,,,,,
08:00AM_2020-11-11,30.901,30.901,30.901,30.901,100,30.851,,,,,,,
08:05AM_2020-11-11,30.81,30.81,30.645,30.645,400,30.781,,,,,,,
08:10AM_2020-11-11,30.67,30.67,30.62,30.62,202,30.736,,,,,,,
08:15AM_2020-11-11,30.565,30.59,30.55,30.59,721,30.668,30.774,,,,,,
08:20AM_2020-11-11,30.585,30.65,30.56,30.56,1168,30.684,30.717,30.752,,,,,
08:25AM_2020-11-11,30.6,30.6,30.57,30.57,532,30.648,30.682,30.703,,,,,
08:30AM_2020-11-11,30.56,30.57,30.54,30.54,320,30.588,30.631,30.668,,,,,
08:35AM_2020-11-11,30.91,30.91,30.9,30.9,221,30.63,30.68,30.658,,,,,
08:45AM_2020-11-11,30.86,30.86,30.86,30.86,100,30.67,30.687,30.698,,,,,
08:50AM_2020-11-11,30.74,30.74,30.445,30.49,2091,30.653,30.642,30.668,,38.11,,,
09:10AM_2020-11-11,30.67,30.76,30.6,30.6,1200,30.66,30.637,30.638,,41.0,,,
09:30AM_2020-11-11,30.561,30.561,30.43,30.500999999999998,944,30.648,30.623,30.623,,39.23,,,
09:35AM_2020-11-11,30.41,30.41,30.21,30.22,560,30.595,30.582,30.583,,34.64,,,
09:45AM_2020-11-11,30.095,30.13,30.08,30.08,300,30.458,30.529,30.532,,32.6,,,
09:55AM_2020-11-11,29.75,29.75,29.75,29.75,102,30.274,30.438,30.451,30.602,28.35,,,
10:00AM_2020-11-11,29.54,29.54,29.54,29.54,100,30.115,30.327,30.348,30.525,26.03,,,
10:05AM_2020-11-11,29.605,29.605,29.605,29.605,300,29.949,30.183,30.255,30.461,28.0,,,
10:10AM_2020-11-11,29.675,29.675,29.62,29.62,340,29.802,30.045,30.127,30.392,28.47,,,
10:15AM_2020-11-11,29.665,29.75,29.665,29.75,215,29.724,29.963,30.016,30.357,32.6,,,
10:20AM_2020-11-11,29.8,29.8,29.8,29.8,205,29.678,29.874,29.947,30.307,34.17,,,
10:35AM_2020-11-11,29.81,29.81,29.8,29.8,224,29.686,29.796,29.867,30.252,34.17,-0.42,,
10:40AM_2020-11-11,29.86,30.09,29.86,30.09,1118,29.778,29.782,29.826,30.224,43.11,-0.38,,
10:55AM_2020-11-11,30.325,30.325,30.325,30.325,237,29.898,29.809,29.836,30.21,49.14,-0.33,,
11:00AM_2020-11-11,30.36,30.36,30.36,30.36,200,30.021,29.877,29.864,30.198,49.99,-0.28,,
11:05AM_2020-11-11,30.465,30.465,30.465,30.465,105,30.14,29.979,29.936,30.193,52.55,-0.23,,
11:10AM_2020-11-11,30.47,30.63,30.47,30.63,548,30.278,30.093,30.044,30.196,56.33,-0.17,,
11:15AM_2020-11-11,30.71,30.8,30.5,30.5,2117,30.395,30.191,30.134,30.194,52.76,-0.14,,
11:20AM_2020-11-11,30.33,30.36,30.33,30.36,288,30.44,30.259,30.208,30.167,49.15,-0.12,,
11:25AM_2020-11-11,30.32,30.33,30.32,30.33,315,30.441,30.318,30.266,30.141,48.39,-0.11,-0.24,0.13554086100970705
11:30AM_2020-11-11,30.32,30.32,30.185,30.185,401,30.412,30.361,30.304,30.126,44.76,-0.11,-0.21,0.10823326869197716
11:35AM_2020-11-11,30.21,30.21,30.21,30.21,100,30.369,30.374,30.345,30.106,45.52,-0.1,-0.19,0.08898870073052606
11:45AM_2020-11-11,30.35,30.37,30.35,30.37,450,30.326,30.379,30.373,30.1,50.23,-0.09,-0.17,0.08421927364738441
11:50AM_2020-11-11,30.44,30.46,30.43,30.43,340,30.314,30.387,30.384,30.11,51.9,-0.07,-0.15,0.08219888654327262
11:55AM_2020-11-11,30.37,30.37,30.27,30.27,661,30.299,30.365,30.375,30.12,47.32,-0.07,-0.13,0.06778022254134874
12:00PM_2020-11-11,30.23,30.23,30.175,30.175,329,30.273,30.314,30.346,30.141,44.79,-0.07,-0.12,0.05034007227755587
12:05PM_2020-11-11,30.175,30.27,30.16,30.27,1147,30.288,30.289,30.31,30.177,47.8,-0.07,-0.11,0.04393097537393027
12:10PM_2020-11-11,30.24,30.24,30.205,30.205,200,30.287,30.272,30.28,30.207,45.96,-0.07,-0.1,0.03446095066963843
12:20PM_2020-11-11,30.29,30.29,30.29,30.29,100,30.273,30.267,30.273,30.241,48.74,-0.06,-0.09,0.033062936158724326
12:25PM_2020-11-11,30.3,30.3,30.27,30.27,400,30.247,30.277,30.267,30.267,48.11,-0.06,-0.09,0.030021375666668848
12:30PM_2020-11-11,30.295,30.37,30.295,30.37,342,30.263,30.294,30.286,30.295,51.47,-0.04,-0.08,0.0336988108916116
12:40PM_2020-11-11,30.51,30.570999999999998,30.44,30.44,1245,30.308,30.302,30.309,30.327,53.74,-0.03,-0.07,0.03940346891110999
12:45PM_2020-11-11,30.46,30.485,30.44,30.485,401,30.343,30.308,30.32,30.347,55.18,-0.01,-0.06,0.04439445323292757
12:50PM_2020-11-11,30.58,30.59,30.43,30.48,1911,30.389,30.332,30.325,30.355,54.98,0.0,-0.04,0.04538441793195772
12:55PM_2020-11-11,30.5,30.87,30.5,30.87,2060,30.486,30.409,30.386,30.38,65.71,0.04,-0.03,0.06891926239788825
