Symbol, QTY, Current_Price[$], Market_Value[$], Cost_Basis[$], Unrealized_P/L[$] 
XLNX, 22, 124.24, 2733.28, 2717, 16.28
VRTX, 14, 212.87, 2980.18, 2975.98, 4.2
TWTR, 15, 51.21, 768.15, 765.9, 2.25
TMUS, 25, 113.29, 2832.25, 2832.5, -0.25
SIRI, 468, 5.92, 2770.56, 2770.56, 0
SCKT, 1127, 2.44, 2749.88, 2761.15, -11.27
NIO, 25, 28.21, 705.25, 695.75, 9.5
MU, 108, 52.11, 5627.88, 5620.32, 7.56
MRNA, 37, 70.52, 2609.24, 2598.88, 10.36
GILD, 47, 60.01, 2820.47, 2820, 0.47
FOXA, 106, 26.26, 2783.56, 2783.56, 0
FOX, 105, 26.12, 2742.6, 2738.4, 4.2
ETSY, 20, 145.4, 2908, 2898.6, 9.4
CVNA, 14, 207.48, 2904.72, 2911.3, -6.58
CHTR, 5, 585.38, 2926.9, 2923.15, 3.75
BIDU, 21, 134.49, 2824.29, 2819.46, 4.83
