Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,037833100,AAPL ,"156,882,671","18,334,877,759.77",13.221,Apple Inc,Common Stock,Information Technology,10/21/2020
QQQ,594918104,MSFT ,"69,418,546","14,911,103,680.80",10.752,Microsoft Corp,Common Stock,Information Technology,10/21/2020
QQQ,023135106,AMZN ,"4,594,678","14,633,773,749.32",10.552,Amazon.com Inc,Common Stock,Consumer Discretionary,10/21/2020
QQQ,30303M102,FB ,"22,054,674","6,147,299,284.02",4.433,Facebook Inc,Common Stock,Communication Services,10/21/2020
QQQ,02079K305,GOOGL ,"3,162,394","5,015,525,260.06",3.617,Alphabet Inc,Common Stock,Communication Services,10/21/2020
QQQ,02079K107,GOOG ,"3,060,381","4,876,135,651.11",3.516,Alphabet Inc,Common Stock,Communication Services,10/21/2020
QQQ,88160R101,TSLA ,"10,903,375","4,608,202,410.00",3.323,Tesla Inc,Common Stock,Consumer Discretionary,10/21/2020
QQQ,67066G104,NVDA ,"7,219,665","3,905,766,568.35",2.816,NVIDIA Corp,Common Stock,Information Technology,10/21/2020
QQQ,70450Y103,PYPL ,"13,729,107","2,925,260,828.49",2.109,PayPal Holdings Inc,Common Stock,Information Technology,10/21/2020
QQQ,00724F101,ADBE ,"5,612,708","2,783,678,659.68",2.007,Adobe Inc,Common Stock,Information Technology,10/21/2020
QQQ,458140100,INTC ,"49,765,514","2,662,454,999.00",1.920,Intel Corp,Common Stock,Information Technology,10/21/2020
QQQ,64110L106,NFLX ,"5,160,420","2,523,703,401.00",1.820,Netflix Inc,Common Stock,Communication Services,10/21/2020
QQQ,20030N101,CMCSA ,"53,342,033","2,374,787,309.16",1.712,Comcast Corp,Common Stock,Communication Services,10/21/2020
QQQ,713448108,PEP ,"16,201,915","2,261,787,334.00",1.631,PepsiCo Inc,Common Stock,Consumer Staples,10/21/2020
QQQ,22160K105,COST ,"5,166,357","1,951,953,001.74",1.408,Costco Wholesale Corp,Common Stock,Consumer Staples,10/21/2020
QQQ,17275R102,CSCO ,"49,406,185","1,929,805,586.10",1.392,Cisco Systems Inc,Common Stock,Information Technology,10/21/2020
QQQ,11135F101,AVGO ,"4,678,106","1,740,489,337.30",1.255,Broadcom Inc,Common Stock,Information Technology,10/21/2020
QQQ,747525103,QCOM ,"13,202,168","1,697,138,696.40",1.224,QUALCOMM Inc,Common Stock,Information Technology,10/21/2020
QQQ,872590104,TMUS ,"14,483,958","1,628,286,558.36",1.174,T-Mobile US Inc,Common Stock,Communication Services,10/21/2020
QQQ,031162100,AMGN ,"6,853,391","1,569,220,937.27",1.132,Amgen Inc,Common Stock,Health Care,10/21/2020
QQQ,882508104,TXN ,"10,717,734","1,566,182,469.42",1.129,Texas Instruments Inc,Common Stock,Information Technology,10/21/2020
QQQ,16119P108,CHTR ,"2,397,548","1,451,307,730.84",1.047,Charter Communications Inc,Common Stock,Communication Services,10/21/2020
QQQ,855244109,SBUX ,"13,678,783","1,207,426,175.41",0.871,Starbucks Corp,Common Stock,Consumer Discretionary,10/21/2020
QQQ,98980L101,ZM ,"2,130,907","1,093,560,163.33",0.789,Zoom Video Communications Inc,Common Stock,Information Technology,10/21/2020
QQQ,007903107,AMD ,"13,737,955","1,088,046,036.00",0.785,Advanced Micro Devices Inc,Common Stock,Information Technology,10/21/2020
QQQ,461202103,INTU ,"3,063,469","1,019,491,848.51",0.735,Intuit Inc,Common Stock,Information Technology,10/21/2020
QQQ,46120E602,ISRG ,"1,369,385","997,569,584.80",0.719,Intuitive Surgical Inc,Common Stock,Health Care,10/21/2020
